client,asset_id,depr_book_id,trans_type,total_amount,total_cur_amount,max_trans_date,min_trans_date,transaction_count,_edge_case
CM,AHOC0001,FINBOOK,CA,52145.09,52145.09,2017-11-10,2017-11-10,1,
CM,AHOC0001,FINBOOK,ND,-36868.97,-36868.97,2026-03-09,2017-12-10,21,
CF,AHOC0002,TAXBOOK,CA,190583.72,190583.72,2017-05-20,2017-05-20,3,
CF,AHOC0002,TAXBOOK,ND,-43857.75,-43857.75,2026-03-09,2017-06-19,46,
CF,AHOC0002,FINBOOK,CA,190583.72,190583.72,2017-05-20,2017-05-20,3,
CF,AHOC0002,FINBOOK,ND,-107085.51,-107085.51,2026-03-09,2017-06-19,91,
CA,AHOC0003,FINBOOK,CA,317854.17,317854.17,2017-01-31,2017-01-31,3,
CA,AHOC0003,FINBOOK,ND,-133794.94,-133794.94,2026-03-09,2017-03-02,9,
CM,AHOC0004,FINBOOK,CA,321783.08,321783.08,2020-09-29,2020-09-29,1,
CM,AHOC0004,FINBOOK,ND,-253848.99,-253848.99,2026-03-09,2020-10-29,20,
CM,AHOC0004,FINBOOK,SA,67934.09,67934.09,2025-11-16,2025-11-16,1,
CM,AHOC0005,FINBOOK,CA,126455.65,126455.65,2021-07-11,2021-07-11,4,
CM,AHOC0005,FINBOOK,ND,-12973.88,-12973.88,2026-03-09,2021-08-10,93,
CF,AHOC0006,FINBOOK,CA,149923.95,149923.95,2017-07-01,2017-07-01,3,
CF,AHOC0006,FINBOOK,ND,-43712.1,-43712.1,2026-03-09,2017-07-31,31,
CF,AHOC0006,FINBOOK,SA,106211.85,106211.85,2024-07-08,2024-07-08,1,
CA,AHOC0007,FINBOOK,CA,383151.38,383151.38,2024-10-22,2024-10-22,3,
CA,AHOC0007,FINBOOK,ND,-172602.06,-172602.06,2026-03-09,2024-11-21,67,
CA,AHOC0008,FINBOOK,CA,110888.47,110888.47,2018-11-11,2018-11-11,5,
CA,AHOC0008,FINBOOK,ND,-53019.86,-53019.86,2026-03-09,2018-12-11,101,
CF,AHOC0009,FINBOOK,CA,234045.31,234045.31,2021-01-06,2021-01-06,4,
CF,AHOC0009,FINBOOK,ND,-49651.74,-49651.74,2026-03-09,2021-02-05,24,
CA,AHOC0010,FINBOOK,CA,26243.58,26243.58,2025-11-17,2025-11-17,1,
CA,AHOC0010,FINBOOK,ND,-23310.78,-23310.78,2026-03-09,2025-12-17,34,
CA,AHOC0010,FINBOOK,SA,2932.8,2932.8,2025-12-12,2025-12-12,1,
CF,AHOC0011,TAXBOOK,CA,331273.78,331273.78,2025-01-23,2025-01-23,5,
CF,AHOC0011,TAXBOOK,ND,-190686.26,-190686.26,2026-03-09,2025-02-22,80,
CF,AHOC0011,FINBOOK,CA,331273.78,331273.78,2025-01-23,2025-01-23,5,
CF,AHOC0011,FINBOOK,ND,-74850.05,-74850.05,2026-03-09,2025-02-22,66,
CA,AHOC0012,FINBOOK,CA,335193.26,335193.26,2019-03-05,2019-03-05,3,
CA,AHOC0012,FINBOOK,ND,-69038.17,-69038.17,2026-03-09,2019-04-04,45,
CA,AHOC0013,FINBOOK,CA,306227.21,306227.21,2024-02-23,2024-02-23,3,
CA,AHOC0013,FINBOOK,ND,-80500.35,-80500.35,2026-03-09,2024-03-24,82,
CM,AHOC0014,FINBOOK,CA,212364.31,212364.31,2017-04-28,2017-04-28,2,
CM,AHOC0014,FINBOOK,ND,-113927.56,-113927.56,2026-03-09,2017-05-28,107,
CM,AHOC0015,FINBOOK,CA,20907.54,20907.54,2025-03-26,2025-03-26,1,
CM,AHOC0015,FINBOOK,ND,-5090.75,-5090.75,2026-03-09,2025-04-25,119,
CF,AHOC0016,FINBOOK,CA,191888.32,191888.32,2019-03-28,2019-03-28,3,
CF,AHOC0016,FINBOOK,ND,-73093.5,-73093.5,2026-03-09,2019-04-27,66,
CF,AHOC0016,FINBOOK,SA,118794.82,118794.82,2020-07-07,2020-07-07,1,
CM,AHOC0017,FINBOOK,CA,290714.28,290714.28,2019-03-05,2019-03-05,1,
CM,AHOC0017,FINBOOK,ND,-149990.04,-149990.04,2026-03-09,2019-04-04,104,
CM,AHOC0018,TAXBOOK,CA,460464.66,460464.66,2021-01-27,2021-01-27,5,
CM,AHOC0018,TAXBOOK,ND,-269523.44,-269523.44,2026-03-09,2021-02-26,42,
CM,AHOC0018,TAXBOOK,SA,190941.22,190941.22,2024-11-15,2024-11-15,1,
CM,AHOC0018,FINBOOK,CA,460464.66,460464.66,2021-01-27,2021-01-27,4,
CM,AHOC0018,FINBOOK,ND,-295551.25,-295551.25,2026-03-09,2021-02-26,116,
CM,AHOC0018,FINBOOK,SA,164913.41,164913.41,2024-11-15,2024-11-15,1,
CF,AHOC0019,FINBOOK,CA,479956.17,479956.17,2025-03-18,2025-03-18,5,
CF,AHOC0019,FINBOOK,ND,-374265.1,-374265.1,2026-03-09,2025-04-17,10,
CM,AHOC0020,FINBOOK,CA,74638.1,74638.1,2020-09-24,2020-09-24,2,
CM,AHOC0020,FINBOOK,ND,-55316.78,-55316.78,2026-03-09,2020-10-24,86,
CM,AHOC0021,FINBOOK,CA,359917.71,359917.71,2023-03-05,2023-03-05,3,
CM,AHOC0021,FINBOOK,ND,-103510.48,-103510.48,2026-03-09,2023-04-04,43,
CM,AHOC0022,FINBOOK,CA,107762.49,107762.49,2018-01-02,2018-01-02,4,
CM,AHOC0022,FINBOOK,ND,-84351.99,-84351.99,2026-03-09,2018-02-01,107,
CM,AHOC0023,FINBOOK,CA,137194.72,137194.72,2021-09-22,2021-09-22,1,
CM,AHOC0023,FINBOOK,ND,-84264.96,-84264.96,2026-03-09,2021-10-22,18,
CA,AHOC0024,FINBOOK,CA,380853.62,380853.62,2019-12-04,2019-12-04,1,
CA,AHOC0024,FINBOOK,ND,-327415.81,-327415.81,2026-03-09,2020-01-03,26,
CM,AHOC0025,TAXBOOK,CA,109764.31,109764.31,2022-08-22,2022-08-22,5,
CM,AHOC0025,TAXBOOK,ND,-79700.77,-79700.77,2026-03-09,2022-09-21,45,
CM,AHOC0025,FINBOOK,CA,109764.31,109764.31,2022-08-22,2022-08-22,4,
CM,AHOC0025,FINBOOK,ND,-45807.23,-45807.23,2026-03-09,2022-09-21,92,
CM,AHOC0026,FINBOOK,CA,424938.24,424938.24,2020-01-22,2020-01-22,4,
CM,AHOC0026,FINBOOK,ND,-190567.63,-190567.63,2026-03-09,2020-02-21,94,
CF,AHOC0027,FINBOOK,CA,375487.66,375487.66,2026-02-27,2026-02-27,3,
CF,AHOC0027,FINBOOK,ND,-204502.9,-204502.9,2026-03-29,2026-03-29,67,
CF,AHOC0027,FINBOOK,SA,170984.76,170984.76,2026-03-18,2026-03-18,1,
CA,AHOC0028,FINBOOK,CA,238570.46,238570.46,2018-12-27,2018-12-27,3,
CA,AHOC0028,FINBOOK,ND,-91002.33,-91002.33,2026-03-09,2019-01-26,59,
CF,AHOC0029,FINBOOK,CA,475487.9,475487.9,2024-08-10,2024-08-10,1,
CF,AHOC0029,FINBOOK,ND,-418161.15,-418161.15,2026-03-09,2024-09-09,71,
CA,AHOC0030,TAXBOOK,CA,142885.32,142885.32,2016-06-02,2016-06-02,4,
CA,AHOC0030,TAXBOOK,ND,-48278.45,-48278.45,2026-03-09,2016-07-02,76,
CA,AHOC0030,FINBOOK,CA,142885.32,142885.32,2016-06-02,2016-06-02,3,
CA,AHOC0030,FINBOOK,ND,-24025.41,-24025.41,2026-03-09,2016-07-02,32,
CF,AHOC0031,FINBOOK,CA,473847.51,473847.51,2024-07-16,2024-07-16,3,
CF,AHOC0031,FINBOOK,ND,-59757.8,-59757.8,2026-03-09,2024-08-15,37,
CM,AHOC0032,FINBOOK,CA,330930.34,330930.34,2019-04-08,2019-04-08,3,
CM,AHOC0032,FINBOOK,ND,-149356.39,-149356.39,2026-03-09,2019-05-08,60,
CM,AHOC0032,FINBOOK,SA,181573.95,181573.95,2025-11-22,2025-11-22,1,
CM,AHOC0033,FINBOOK,CA,299420.29,299420.29,2021-02-23,2021-02-23,2,
CM,AHOC0033,FINBOOK,ND,-142644.02,-142644.02,2026-03-09,2021-03-25,84,
CF,AHOC0034,FINBOOK,CA,235535.19,235535.19,2021-10-02,2021-10-02,1,
CF,AHOC0034,FINBOOK,ND,-206363.63,-206363.63,2026-03-09,2021-11-01,52,
CA,AHOC0035,TAXBOOK,CA,181527.9,181527.9,2018-05-19,2018-05-19,1,
CA,AHOC0035,TAXBOOK,ND,-85165.32,-85165.32,2026-03-09,2018-06-18,16,
CA,AHOC0035,FINBOOK,CA,181527.9,181527.9,2018-05-19,2018-05-19,5,
CA,AHOC0035,FINBOOK,ND,-134230.98,-134230.98,2026-03-09,2018-06-18,91,
CM,AHOC0036,FINBOOK,CA,208329.68,208329.68,2021-12-31,2021-12-31,1,
CM,AHOC0036,FINBOOK,ND,-67971.97,-67971.97,2026-03-09,2022-01-30,39,
CM,AHOC0036,FINBOOK,SA,140357.71,140357.71,2023-07-21,2023-07-21,1,
CM,AHOC0037,FINBOOK,CA,166887.54,166887.54,2022-04-25,2022-04-25,4,
CM,AHOC0037,FINBOOK,ND,-148651.94,-148651.94,2026-03-09,2022-05-25,102,
CM,AHOC0037,FINBOOK,SA,18235.6,18235.6,2024-04-15,2024-04-15,1,
CA,AHOC0038,FINBOOK,CA,434980.46,434980.46,2022-11-17,2022-11-17,5,
CA,AHOC0038,FINBOOK,ND,-175735.38,-175735.38,2026-03-09,2022-12-17,41,
CF,AHOC0039,TAXBOOK,CA,498715.54,498715.54,2023-05-15,2023-05-15,4,
CF,AHOC0039,TAXBOOK,ND,-297118.91,-297118.91,2026-03-09,2023-06-14,31,
CF,AHOC0039,TAXBOOK,SA,201596.63,201596.63,2025-01-01,2025-01-01,1,
CF,AHOC0039,FINBOOK,CA,498715.54,498715.54,2023-05-15,2023-05-15,3,
CF,AHOC0039,FINBOOK,ND,-192888.55,-192888.55,2026-03-09,2023-06-14,56,
CF,AHOC0039,FINBOOK,SA,305826.99,305826.99,2025-01-01,2025-01-01,1,
CF,AHOC0040,FINBOOK,CA,333753.52,333753.52,2019-02-13,2019-02-13,3,
CF,AHOC0040,FINBOOK,ND,-86566.85,-86566.85,2026-03-09,2019-03-15,50,
CF,AHOC0040,FINBOOK,SA,247186.67,247186.67,2022-01-09,2022-01-09,1,
CA,AHOC0041,FINBOOK,CA,11947.86,11947.86,2024-02-06,2024-02-06,2,
CA,AHOC0041,FINBOOK,ND,-7199.76,-7199.76,2026-03-09,2024-03-07,116,
CA,AHOC0042,FINBOOK,CA,45976.55,45976.55,2024-06-15,2024-06-15,4,
CA,AHOC0042,FINBOOK,ND,-40179.24,-40179.24,2026-03-09,2024-07-15,38,
CF,AHOC0043,FINBOOK,CA,430210.16,430210.16,2024-10-09,2024-10-09,3,
CF,AHOC0043,FINBOOK,ND,-244207.97,-244207.97,2026-03-09,2024-11-08,106,
CF,AHOC0043,FINBOOK,SA,186002.19,186002.19,2025-05-28,2025-05-28,1,
CF,AHOC0044,FINBOOK,CA,457712.7,457712.7,2022-07-22,2022-07-22,4,
CF,AHOC0044,FINBOOK,ND,-88291.13,-88291.13,2026-03-09,2022-08-21,31,
CF,AHOC0046,FINBOOK,CA,31214.49,31214.49,2023-06-30,2023-06-30,5,
CF,AHOC0046,FINBOOK,ND,-8245.76,-8245.76,2026-03-09,2023-07-30,107,
CA,AHOC0047,TAXBOOK,CA,394533.23,394533.23,2024-12-04,2024-12-04,5,
CA,AHOC0047,TAXBOOK,ND,-226830.1,-226830.1,2026-03-09,2025-01-03,58,
CA,AHOC0047,FINBOOK,CA,394533.23,394533.23,2024-12-04,2024-12-04,3,
CA,AHOC0047,FINBOOK,ND,-44434.25,-44434.25,2026-03-09,2025-01-03,34,
CM,AHOC0048,FINBOOK,CA,261204.16,261204.16,2026-01-05,2026-01-05,5,
CM,AHOC0048,FINBOOK,ND,-57116.75,-57116.75,2026-03-09,2026-02-04,17,
CM,AHOC0049,FINBOOK,CA,148153.98,148153.98,2022-12-22,2022-12-22,1,
CM,AHOC0049,FINBOOK,ND,-51859.62,-51859.62,2026-03-09,2023-01-21,41,
CF,AHOC0050,TAXBOOK,CA,47521.82,47521.82,2017-04-29,2017-04-29,2,
CF,AHOC0050,TAXBOOK,ND,-10634.63,-10634.63,2026-03-09,2017-05-29,62,
CF,AHOC0050,TAXBOOK,SA,36887.19,36887.19,2018-04-17,2018-04-17,1,
CF,AHOC0050,FINBOOK,CA,47521.82,47521.82,2017-04-29,2017-04-29,4,
CF,AHOC0050,FINBOOK,ND,-37754.84,-37754.84,2026-03-09,2017-05-29,93,
CF,AHOC0050,FINBOOK,SA,9766.98,9766.98,2018-04-17,2018-04-17,1,
CA,AHOC0051,FINBOOK,CA,287475.9,287475.9,2017-08-02,2017-08-02,3,
CA,AHOC0051,FINBOOK,ND,-109476.21,-109476.21,2026-03-09,2017-09-01,24,
CA,AHOC0051,FINBOOK,SA,177999.69,177999.69,2020-09-22,2020-09-22,1,
CM,AHOC0052,FINBOOK,CA,373309.77,373309.77,2016-07-31,2016-07-31,1,
CM,AHOC0052,FINBOOK,ND,-118593.9,-118593.9,2026-03-09,2016-08-30,85,
