client,asset_id,depr_book_id,trans_type,total_amount,total_cur_amount,max_trans_date,min_trans_date,transaction_count,_edge_case
LA,AHOL0001,FINBOOK,CA,429150.41,429150.41,2019-04-25,2019-04-25,4,
LA,AHOL0001,FINBOOK,ND,-91725.45,-91725.45,2026-03-09,2019-05-25,81,
LA,AHOL0002,FINBOOK,CA,202022.54,202022.54,2024-11-10,2024-11-10,1,
LA,AHOL0002,FINBOOK,ND,-148798.15,-148798.15,2026-03-09,2024-12-10,51,
LA,AHOL0003,FINBOOK,CA,289388.89,289388.89,2019-06-10,2019-06-10,4,
LA,AHOL0003,FINBOOK,ND,-75777.8,-75777.8,2026-03-09,2019-07-10,89,
LA,AHOL0003,FINBOOK,SA,213611.09,213611.09,2025-08-18,2025-08-18,1,
LA,AHOL0004,TAXBOOK,CA,125944.25,125944.25,2023-08-09,2023-08-09,2,
LA,AHOL0004,TAXBOOK,ND,-60725.3,-60725.3,2026-03-09,2023-09-08,30,
LA,AHOL0004,FINBOOK,CA,125944.25,125944.25,2023-08-09,2023-08-09,2,
LA,AHOL0004,FINBOOK,ND,-64931.24,-64931.24,2026-03-09,2023-09-08,57,
LA,AHOL0005,FINBOOK,CA,150328.41,150328.41,2020-06-06,2020-06-06,2,
LA,AHOL0005,FINBOOK,ND,-125661.82,-125661.82,2026-03-09,2020-07-06,79,
LA,AHOL0006,FINBOOK,CA,192631.92,192631.92,2022-11-27,2022-11-27,3,
LA,AHOL0006,FINBOOK,ND,-50923.51,-50923.51,2026-03-09,2022-12-27,78,
LA,AHOL0007,TAXBOOK,CA,193556.9,193556.9,2018-12-16,2018-12-16,4,
LA,AHOL0007,TAXBOOK,ND,-97802.07,-97802.07,2026-03-09,2019-01-15,81,
LA,AHOL0007,FINBOOK,CA,193556.9,193556.9,2018-12-16,2018-12-16,4,
LA,AHOL0007,FINBOOK,ND,-167148.46,-167148.46,2026-03-09,2019-01-15,99,
LA,AHOL0008,FINBOOK,CA,77187.54,77187.54,2022-04-25,2022-04-25,2,
LA,AHOL0008,FINBOOK,ND,-11294.45,-11294.45,2026-03-09,2022-05-25,12,
LA,AHOL0009,FINBOOK,CA,370588.43,370588.43,2024-08-09,2024-08-09,3,
LA,AHOL0009,FINBOOK,ND,-254352.88,-254352.88,2026-03-09,2024-09-08,16,
LA,AHOL0010,FINBOOK,CA,487550.24,487550.24,2019-03-30,2019-03-30,1,
