client,asset_id,depr_book_id,status,depr_method,depr_percent,lifetime,res_value,res_val_flag,salvage_amount,cap_date_from,cap_period_from,cap_flag,date_from,date_to,depr_period,depr_limit,depr_max_perc,nbv_rounding,switch,period_exact,frequency,index_id,index_code,repl_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CM,AHOC0001,FINBOOK,N,LIN,,38.0,0.0,0,0.0,2017-11-10,201711,1,2017-10-18,,202603,0.0,,false,false,true,M,,,,CC195,DEPT37,PROJ4811,,,,,2026-02-16,francisdavidson,
CF,AHOC0002,TAXBOOK,N,BAL,26.65,,0.0,0,0.0,2017-05-20,201705,1,2017-05-18,,202603,0.0,,true,false,true,M,,,,CC926,DEPT15,PROJ8527,,,,,2026-02-20,wrightryan,
CF,AHOC0002,FINBOOK,N,LIN,,27.0,0.0,0,0.0,2017-05-20,201705,1,2017-05-18,,202603,0.0,,false,false,true,M,,,,CC926,DEPT15,PROJ8527,,,,,2026-02-20,wrightryan,
CA,AHOC0003,FINBOOK,N,EXP,,,0.0,0,0.0,2017-01-31,201701,1,2017-01-12,,202601,0.0,,true,false,true,M,,,,CC488,DEPT44,PROJ4598,,,,,2026-03-11,moorefrancesca,
CM,AHOC0004,FINBOOK,C,SYD,,26.0,0.0,0,0.0,2020-09-29,202009,1,2020-09-01,2025-11-16,202603,0.0,,true,false,true,M,,,,CC651,DEPT43,PROJ8019,,,,,2026-02-26,zwright,
CM,AHOC0005,FINBOOK,N,EXP,,,0.0,0,0.0,2021-07-11,202107,1,2021-06-25,,202602,0.0,,false,false,true,M,,,,CC838,DEPT24,PROJ9797,,,,,2026-03-20,jcook,
CF,AHOC0006,FINBOOK,T,LIN,,41.0,0.0,0,0.0,2017-07-01,201707,1,2017-06-04,2024-07-08,202603,0.0,,false,false,true,M,IDX1,,,CC880,DEPT30,PROJ9837,,,,,2026-03-23,palmersarah,
CA,AHOC0007,FINBOOK,N,SYD,,16.0,0.0,0,0.0,2024-10-22,202410,1,2024-10-05,,202601,0.0,,true,false,true,M,,,,CC269,DEPT43,PROJ9645,,,,,2026-03-01,ywilkinson,
CA,AHOC0008,FINBOOK,N,BAL,12.8,,0.0,0,0.0,2018-11-11,201811,1,2018-10-24,,202602,0.0,,true,false,true,M,,,,CC169,DEPT14,PROJ6413,,,,,2025-12-23,melissa31,
CF,AHOC0009,FINBOOK,N,EXP,,,0.0,0,0.0,2021-01-06,202101,1,2020-12-24,,202602,0.0,,true,false,true,M,,,,CC200,DEPT17,PROJ7596,,,,,2026-03-17,davisoliver,
CA,AHOC0010,FINBOOK,C,SYD,,33.0,0.0,0,0.0,2025-11-17,202511,1,2025-10-31,2025-12-12,202603,0.0,,false,false,true,M,,,,CC871,DEPT40,PROJ3724,,,,,2026-02-04,ben55,
CF,AHOC0011,TAXBOOK,N,BAL,6.92,,0.0,0,0.0,2025-01-23,202501,1,2025-01-06,,202603,0.0,,true,false,true,M,,,,CC159,DEPT84,PROJ9883,,,,,2025-12-21,johnronald,
CF,AHOC0011,FINBOOK,N,EXP,,,0.0,0,0.0,2025-01-23,202501,1,2025-01-06,,202603,0.0,,true,false,true,M,,,,CC159,DEPT84,PROJ9883,,,,,2025-12-21,johnronald,
CA,AHOC0012,FINBOOK,N,LIN,,3.0,0.0,0,0.0,2019-03-05,201903,1,2019-02-27,,202602,0.0,,true,false,true,M,,,,CC760,DEPT48,PROJ8491,,,,,2026-01-23,olamb,
CA,AHOC0013,FINBOOK,N,LIN,,50.0,0.0,0,0.0,2024-02-23,202402,1,2024-02-14,,202602,0.0,,true,false,true,M,,,,CC206,DEPT27,PROJ5333,,,,,2025-12-28,william30,
CM,AHOC0014,FINBOOK,N,SYD,,38.0,0.0,0,0.0,2017-04-28,201704,1,2017-04-08,,202602,0.0,,false,false,true,M,,,,CC752,DEPT43,PROJ3647,,,,,2026-03-18,kirstyhawkins,
CM,AHOC0015,FINBOOK,N,BAL,30.92,,0.0,0,0.0,2025-03-26,202503,1,2025-02-27,,202603,0.0,,true,false,true,M,,,,CC462,DEPT81,PROJ7658,,,,,2026-03-03,pyoung,
CF,AHOC0016,FINBOOK,C,BAL,11.24,,0.0,0,0.0,2019-03-28,201903,1,2019-03-23,2020-07-07,202602,0.0,,true,false,true,M,,,,CC936,DEPT68,PROJ6728,,,,,2026-01-22,chelseapowell,
CM,AHOC0017,FINBOOK,N,LIN,,27.0,0.0,0,0.0,2019-03-05,201903,1,2019-02-28,,202601,0.0,,true,false,true,M,,,,CC905,DEPT50,PROJ8149,,,,,2026-03-01,ievans,
CM,AHOC0018,TAXBOOK,T,EXP,,,0.0,0,0.0,2021-01-27,202101,1,2021-01-25,2024-11-15,202602,0.0,,true,false,true,M,,,,CC407,DEPT74,PROJ6067,,,,,2026-03-09,gouldsam,
CM,AHOC0018,FINBOOK,T,SYD,,23.0,0.0,0,0.0,2021-01-27,202101,1,2021-01-25,2024-11-15,202602,0.0,,false,false,true,M,,,,CC407,DEPT74,PROJ6067,,,,,2026-03-09,gouldsam,
