client,asset_id,depr_book_id,status,depr_method,depr_percent,lifetime,res_value,res_val_flag,salvage_amount,cap_date_from,cap_period_from,cap_flag,date_from,date_to,depr_period,depr_limit,depr_max_perc,nbv_rounding,switch,period_exact,frequency,index_id,index_code,repl_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
LA,AHOL0001,FINBOOK,N,BAL,11.99,,0.0,0,0.0,2019-04-25,201904,1,2019-03-26,,202602,0.0,,false,false,true,M,,,,CC383,DEPT93,PROJ3078,,,,,2026-03-13,fullerjoanne,
LA,AHOL0002,FINBOOK,N,LIN,,49.0,0.0,0,0.0,2024-11-10,202411,1,2024-11-08,,202603,0.0,,false,false,true,M,,,,CC565,DEPT72,PROJ6362,,,,,2026-02-26,hayeslynne,
LA,AHOL0003,FINBOOK,C,SYD,,4.0,0.0,0,0.0,2019-06-10,201906,1,2019-05-31,2025-08-18,202603,0.0,,true,false,true,M,,C1,,CC798,DEPT16,PROJ1752,,,,,2025-12-26,ybutler,
LA,AHOL0004,TAXBOOK,N,EXP,,,0.0,0,0.0,2023-08-09,202308,1,2023-07-29,,202601,0.0,,true,false,true,M,,,,CC153,DEPT60,PROJ6005,,,,,2026-03-16,cprice,
LA,AHOL0004,FINBOOK,N,BAL,17.02,,0.0,0,0.0,2023-08-09,202308,1,2023-07-29,,202603,0.0,,true,true,true,M,,,,CC153,DEPT60,PROJ6005,,,,,2026-03-16,cprice,
LA,AHOL0005,FINBOOK,N,LIN,,42.0,0.0,0,0.0,2020-06-06,202006,1,2020-05-09,,202602,0.0,,true,false,true,M,,,,CC236,DEPT92,PROJ3340,,,,,2025-12-22,johnnigel,
LA,AHOL0006,FINBOOK,N,EXP,,,0.0,0,0.0,2022-11-27,202211,1,2022-11-04,,202602,0.0,,true,false,true,M,,,,CC760,DEPT20,PROJ5065,,,,,2026-02-22,irene12,
LA,AHOL0007,TAXBOOK,N,LIN,,3.0,0.0,0,0.0,2018-12-16,201812,1,2018-12-01,,202603,0.0,,true,false,true,M,IDX1,,,CC112,DEPT56,PROJ6185,,,,,2025-12-30,paulhanson,
LA,AHOL0007,FINBOOK,N,SYD,,39.0,0.0,0,0.0,2018-12-16,201812,1,2018-12-01,,202602,0.0,,false,false,true,M,,,,CC112,DEPT56,PROJ6185,,,,,2025-12-30,paulhanson,
LA,AHOL0008,FINBOOK,N,SYD,,40.0,0.0,0,0.0,2022-04-25,202204,1,2022-04-06,,202602,0.0,,true,false,true,M,,,,CC927,DEPT29,PROJ9788,,,,,2026-01-24,barnesdiana,
LA,AHOL0009,FINBOOK,N,EXP,,,0.0,0,0.0,2024-08-09,202408,1,2024-07-19,,202603,0.0,,false,false,true,M,,,,CC267,DEPT73,PROJ6680,,,,,2026-02-18,arthurgreenwood,
LA,AHOL0010,FINBOOK,N,BAL,12.14,,0.0,0,0.0,2019-03-30,201903,1,2019-03-08,,202603,0.0,,true,false,true,M,,C1,,CC611,DEPT82,PROJ3734,,,,,2026-01-30,oclark,
