client,asset_id,asset_group,description,short_info,status,wf_state,cap_date_from,cap_period_from,date_from,date_to,apar_id,parent_asset,grant_flag,org_amount,org_amt_date,base_amount,std_amount,ins_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CM,AHOC0001,SOFT,Sharable bifurcated algorithm,harum,N,N,2017-11-10,201711,2017-10-18,,SUPP7912,,1,52145.09,2017-11-10,52145.09,52145.09,57359.6,CC195,DEPT37,PROJ4811,,,,,2026-02-16,francisdavidson,
CF,AHOC0002,VEH,Customer-focused systematic support,quisquam,N,,2017-05-20,201705,2017-05-18,,,,0,190583.72,2017-05-20,190583.72,190583.72,209642.09,CC926,DEPT15,PROJ8527,,,,,2026-02-20,wrightryan,
CA,AHOC0003,SOFT,Assimilated background data-warehouse,eveniet,N,N,2017-01-31,201701,2017-01-12,,,,0,317854.17,2017-01-31,317854.17,317854.17,349639.59,CC488,DEPT44,PROJ4598,,,,,2026-03-11,moorefrancesca,
CM,AHOC0004,FURN,Total needs-based instruction set,est,C,,2020-09-29,202009,2020-09-01,2025-11-16,SUPP5040,,0,321783.08,2020-09-29,321783.08,321783.08,353961.39,CC651,DEPT43,PROJ8019,,,,,2026-02-26,zwright,
CM,AHOC0005,SOFT,Adaptive well-modulated workforce,dolore,N,,2021-07-11,202107,2021-06-25,,,,1,126455.65,2021-07-11,126455.65,126455.65,139101.21,CC838,DEPT24,PROJ9797,,,,,2026-03-20,jcook,
CF,AHOC0006,SOFT,Extended well-modulated Graphical User Interface,corporis,T,N,2017-07-01,201707,2017-06-04,2024-07-08,,,0,149923.95,2017-07-01,149923.95,149923.95,164916.35,CC880,DEPT30,PROJ9837,,,,,2026-03-23,palmersarah,
CA,AHOC0007,FURN,Monitored real-time firmware,aperiam,N,,2024-10-22,202410,2024-10-05,,,,0,383151.38,2024-10-22,383151.38,383151.38,421466.52,CC269,DEPT43,PROJ9645,,,,,2026-03-01,ywilkinson,
CA,AHOC0008,IT_EQ,Configurable neutral frame,sunt,N,,2018-11-11,201811,2018-10-24,,,,0,110888.47,2018-11-11,110888.47,110888.47,121977.32,CC169,DEPT14,PROJ6413,,,,,2025-12-23,melissa31,
CF,AHOC0009,IT_EQ,Balanced stable emulation,illum,N,,2021-01-06,202101,2020-12-24,,,,0,234045.31,2021-01-06,234045.31,234045.31,257449.84,CC200,DEPT17,PROJ7596,,,,,2026-03-17,davisoliver,
CA,AHOC0010,SOFT,Multi-tiered even-keeled knowledgebase,tempora,C,,2025-11-17,202511,2025-10-31,2025-12-12,,,0,26243.58,2025-11-17,26243.58,26243.58,28867.94,CC871,DEPT40,PROJ3724,,,,,2026-02-04,ben55,
CF,AHOC0011,BLDG,Expanded static flexibility,voluptates,N,N,2025-01-23,202501,2025-01-06,,SUPP5861,,0,331273.78,2025-01-23,331273.78,331273.78,364401.16,CC159,DEPT84,PROJ9883,,,,,2025-12-21,johnronald,
CA,AHOC0012,VEH,Public-key upward-trending encryption,dolorem,N,N,2019-03-05,201903,2019-02-27,,SUPP7484,,0,335193.26,2019-03-05,335193.26,335193.26,368712.59,CC760,DEPT48,PROJ8491,,,,,2026-01-23,olamb,
