client,asset_id,description,short_info,long_info,asset_group,status,date_from,date_to,cap_date_from,cap_period_from,base_amount,org_amount,org_amt_date,std_amount,std_amt_date,ins_amount,grant_flag,parent_asset,at_attr_id,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,apar_id,period_from,period_to,wf_state,last_update,_edge_case
HOL,ATHOL00001,Up-sized actuating forecast,expedite extensible convergenc,Neque distinctio omnis dolore.,FURN,N,2019-09-22,,2019-11-15,201911,49238.51,78474.63,2019-09-22,81406.77,2019-09-22,77666.9,0,,HERIT,CC020,SUB01,,,,,,SUP0003,201909,,T,2025-10-26,
HOL,ATHOL00002,Customer-focused grid-enabled open architecture,disintermediate one-to-one nic,Dolorem inventore natus quisquam numquam perferendis nam.,PLANT,N,2017-04-20,,2017-06-06,201706,157999.99,203036.44,2017-04-20,209940.22,2017-04-20,195792.8,0,,INFRA,CC020,SUB01,,,,,,SUP0010,201704,,T,2026-01-20,
HOL,ATHOL00003,Robust stable solution,empower proactive ROI,Praesentium est excepturi ab sit.,FURN,N,2019-09-21,,2019-11-05,201911,19858.91,26348.34,2019-09-21,27174.29,2019-09-21,23442.06,0,,HERIT,CC003,SUB03,,,,,,SUP0004,201909,,T,2025-08-08,
HOL,ATHOL00004,Re-contextualized stable initiative,optimize B2B functionalities,At minus fugiat.,LAND,N,2022-08-28,,2022-09-25,202209,186270.01,201901.73,2022-08-28,206302.98,2022-08-28,214648.29,0,,LEASE,CC001,SUB02,,,,,,SUP0009,202208,,T,2026-03-13,
HOL,ATHOL00005,Persevering global complexity,disintermediate extensible vor,Nisi sunt culpa quidem amet aspernatur ipsam.,FURN,N,2024-10-07,,2024-11-15,202411,155653.85,230423.61,2024-10-07,247468.63,2024-10-07,236536.39,0,,INFRA,CC001,SUB02,,,,,,SUP0001,202410,,T,2025-05-04,
HOL,ATHOL00006,Optimized mobile portal,grow next-generation niches,Quidem beatae inventore eligendi perspiciatis.,PLANT,N,2024-08-02,,2024-10-08,202410,38460.17,54175.65,2024-08-02,50463.63,2024-08-02,50093.78,0,,LEASE,CC020,SUB01,,,,,,SUP0002,202408,,T,2025-06-06,
HOL,ATHOL00007,Pre-emptive multi-tasking secured line,monetize revolutionary e-servi,Voluptates amet dignissimos veniam quisquam quisquam.,IFRS16,N,2017-12-25,,2018-03-14,201803,6984.71,12915.74,2017-12-25,13334.05,2017-12-25,12841.66,0,,INFRA,CC004,SUB03,,,,,,SUP0007,201712,,T,2025-12-06,
HOL,ATHOL00008,Implemented fresh-thinking capability,implement rich e-commerce,Consectetur minus dolorem nam.,IFRS16,N,2017-06-30,,2017-08-13,201708,69143.53,107763.45,2017-06-30,108343.95,2017-06-30,99505.3,0,,OPER,CC004,SUB01,,,,,,SUP0001,201706,,T,2025-07-01,
HOL,ATHOL00009,Synchronized heuristic archive,strategize revolutionary e-com,Itaque aspernatur est.,IT_SW,N,2019-08-07,,2019-09-03,201909,169318.61,191953.71,2019-08-07,185355.2,2019-08-07,154156.48,0,,INFRA,CC002,SUB02,,,,,,SUP0013,201908,,T,2025-12-16,
HOL,ATHOL00010,Optimized object-oriented initiative,unleash next-generation techno,Illo vitae cupiditate veniam.,PLANT,N,2024-02-10,,2024-03-10,202403,114873.81,125315.46,2024-02-10,114590.35,2024-02-10,143449.33,0,,HERIT,CC004,SUB01,,,,,,SUP0015,202402,,T,2025-04-27,
HOL,ATHOL00011,Persevering system-worthy hierarchy,evolve user-centric platforms,Ipsa id aspernatur sit quia.,VEHICLE,N,2019-09-24,,2019-12-06,201912,75562.47,107606.43,2019-09-24,103076.53,2019-09-24,103518.78,0,,LEASE,CC002,SUB04,,,,,,SUP0012,201909,,T,2025-05-03,
HOL,ATHOL00012,Face-to-face full-range time-frame,leverage intuitive mindshare,Minus deserunt quod expedita.,BLDG,N,2021-02-11,,2021-02-24,202102,48625.39,61207.46,2021-02-11,59931.49,2021-02-11,56562.42,0,,LEASE,CC002,SUB03,,,,,,SUP0006,202102,,T,2025-04-27,
HOL,ATHOL00013,Stand-alone client-server encoding,transform B2B portals,Cupiditate corrupti quis asperiores veritatis.,PLANT,N,2021-12-10,,2022-03-01,202203,21856.29,28949.65,2021-12-10,28087.53,2021-12-10,34255.81,0,,OPER,CC002,SUB01,,,,,,SUP0005,202112,,T,2025-07-28,
HOL,ATHOL00014,Self-enabling modular Local Area Network,engineer customized methodolog,Officia voluptates eum voluptas et ipsam iusto.,BLDG,N,2018-06-07,,2018-06-29,201806,132718.96,150798.55,2018-06-07,141061.37,2018-06-07,167256.59,0,,INFRA,CC004,SUB04,,,,,,SUP0019,201806,,T,2026-02-11,
HOL,ATHOL00015,Self-enabling exuding utilization,empower leading-edge convergen,Asperiores iure alias fuga enim officia voluptate.,PLANT,N,2023-05-06,,2023-07-24,202307,79962.83,81140.46,2023-05-06,75476.16,2023-05-06,67128.68,0,,INFRA,CC010,SUB03,,,,,,SUP0009,202305,,T,2026-01-15,
HOL,ATHOL00016,Cross-group reciprocal policy,deliver integrated bandwidth,Mollitia recusandae tempore ipsum repellat officiis eum labore.,IFRS16,N,2016-11-06,,2016-12-21,201612,83263.68,127080.55,2016-11-06,115328.32,2016-11-06,120408.19,0,,LEASE,CC001,SUB01,,,,,,SUP0020,201611,,T,2026-01-17,
HOL,ATHOL00017,Distributed analyzing knowledge user,transform cross-platform infra,Officia aliquam provident voluptatibus minima non facilis.,LAND,N,2021-11-26,,2022-01-14,202201,90108.82,115946.56,2021-11-26,114780.92,2021-11-26,130315.4,0,,OPER,CC003,SUB04,,,,,,SUP0017,202111,,T,2025-06-04,
HOL,ATHOL00018,Horizontal human-resource installation,revolutionize cross-platform m,Amet occaecati ex ex nam harum dolorum sed.,PLANT,N,2016-11-29,,2017-01-25,201701,24996.04,26323.72,2016-11-29,28863.36,2016-11-29,21946.92,0,,OPER,CC001,SUB02,,,,,,SUP0015,201611,,T,2025-10-29,
HOL,ATHOL00019,Robust coherent groupware,evolve B2B convergence,Voluptas praesentium hic nisi vel.,IT_SW,N,2022-02-04,,2022-04-11,202204,104097.09,152646.45,2022-02-04,149209.36,2022-02-04,169404.88,0,,OFFICE,CC001,SUB03,,,,,,SUP0003,202202,,T,2025-09-03,
HOL,ATHOL00020,Integrated next generation implementation,visualize open-source channels,Atque perferendis magni accusantium est veritatis exercitationem.,FURN,N,2017-04-12,,2017-06-22,201706,108995.6,169755.65,2017-04-12,164098.1,2017-04-12,175373.85,0,,OPER,CC003,SUB03,,,,,,SUP0013,201704,,T,2025-05-24,
HOL,ATHOL00021,Visionary mobile core,enhance global eyeballs,Eos ratione magni molestiae.,VEHICLE,N,2022-11-22,,2023-02-20,202302,153569.13,234531.55,2022-11-22,241262.29,2022-11-22,218440.49,0,,OPER,CC010,SUB01,,,,,,SUP0014,202211,,T,2025-12-04,
