client,asset_id,depr_book_id,trans_type,trans_date,at_trans_date,fiscal_year,amount,dc_flag,_edge_case
CM,AHOC0001,FINBOOK,CA,2017-11-10,2017-11-10,2017,52145.09,1,
CM,AHOC0001,FINBOOK,ND,2017-12-10,2017-12-10,2017,-521.45,-1,
CM,AHOC0001,FINBOOK,ND,2018-01-09,2018-01-09,2018,-521.45,-1,
CM,AHOC0001,FINBOOK,ND,2018-02-08,2018-02-08,2018,-521.45,-1,
CF,AHOC0002,TAXBOOK,CA,2017-05-20,2017-05-20,2017,190583.72,1,
CF,AHOC0002,TAXBOOK,ND,2017-06-19,2017-06-19,2017,-1905.84,-1,
CF,AHOC0002,TAXBOOK,ND,2017-07-19,2017-07-19,2017,-1905.84,-1,
CF,AHOC0002,TAXBOOK,ND,2017-08-18,2017-08-18,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,CA,2017-05-20,2017-05-20,2017,190583.72,1,
CF,AHOC0002,FINBOOK,ND,2017-06-19,2017-06-19,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,ND,2017-07-19,2017-07-19,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,ND,2017-08-18,2017-08-18,2017,-1905.84,-1,
CA,AHOC0003,FINBOOK,CA,2017-01-31,2017-01-31,2017,317854.17,1,
CA,AHOC0003,FINBOOK,ND,2017-03-02,2017-03-02,2017,-3178.54,-1,
CA,AHOC0003,FINBOOK,ND,2017-04-01,2017-04-01,2017,-3178.54,-1,
CA,AHOC0003,FINBOOK,ND,2017-05-01,2017-05-01,2017,-3178.54,-1,
CM,AHOC0004,FINBOOK,CA,2020-09-29,2020-09-29,2020,321783.08,1,
CM,AHOC0004,FINBOOK,ND,2020-10-29,2020-10-29,2020,-3217.83,-1,
CM,AHOC0004,FINBOOK,ND,2020-11-28,2020-11-28,2020,-3217.83,-1,
CM,AHOC0004,FINBOOK,ND,2020-12-28,2020-12-28,2020,-3217.83,-1,
CM,AHOC0004,FINBOOK,SA,2025-11-16,2025-11-16,2025,160891.54,-1,
