client,asset_id,depr_book_id,trans_type,total_amount,total_cur_amount,max_trans_date,min_trans_date,transaction_count,_edge_case
CM,AHOC0001,FINBOOK,CA,52145.09,52145.09,2017-12-22,2017-12-22,1,
CM,AHOC0001,FINBOOK,ND,-36868.97,-36868.97,2026-04-20,2018-01-21,21,
CF,AHOC0002,TAXBOOK,CA,190583.72,190583.72,2017-07-01,2017-07-01,3,
CF,AHOC0002,TAXBOOK,ND,-43857.75,-43857.75,2026-04-20,2017-07-31,46,
CF,AHOC0002,FINBOOK,CA,190583.72,190583.72,2017-07-01,2017-07-01,3,
CF,AHOC0002,FINBOOK,ND,-107085.51,-107085.51,2026-04-20,2017-07-31,91,
CA,AHOC0003,FINBOOK,CA,317854.17,317854.17,2017-03-14,2017-03-14,3,
CA,AHOC0003,FINBOOK,ND,-133794.94,-133794.94,2026-04-20,2017-04-13,9,
CM,AHOC0004,FINBOOK,CA,321783.08,321783.08,2020-11-10,2020-11-10,1,
CM,AHOC0004,FINBOOK,ND,-253848.99,-253848.99,2026-04-20,2020-12-10,20,
CM,AHOC0004,FINBOOK,SA,67934.09,67934.09,2025-12-28,2025-12-28,1,
CM,AHOC0005,FINBOOK,CA,126455.65,126455.65,2021-08-22,2021-08-22,4,
CM,AHOC0005,FINBOOK,ND,-12973.88,-12973.88,2026-04-20,2021-09-21,93,
CF,AHOC0006,FINBOOK,CA,149923.95,149923.95,2017-08-12,2017-08-12,3,
CF,AHOC0006,FINBOOK,ND,-43712.1,-43712.1,2026-04-20,2017-09-11,31,
CF,AHOC0006,FINBOOK,SA,106211.85,106211.85,2024-08-19,2024-08-19,1,
CA,AHOC0007,FINBOOK,CA,383151.38,383151.38,2024-12-03,2024-12-03,3,
CA,AHOC0007,FINBOOK,ND,-172602.06,-172602.06,2026-04-20,2025-01-02,67,
CA,AHOC0008,FINBOOK,CA,110888.47,110888.47,2018-12-23,2018-12-23,5,
CA,AHOC0008,FINBOOK,ND,-53019.86,-53019.86,2026-04-20,2019-01-22,101,
CF,AHOC0009,FINBOOK,CA,234045.31,234045.31,2021-02-17,2021-02-17,4,
CF,AHOC0009,FINBOOK,ND,-49651.74,-49651.74,2026-04-20,2021-03-19,24,
CA,AHOC0010,FINBOOK,CA,26243.58,26243.58,2025-12-29,2025-12-29,1,
CA,AHOC0010,FINBOOK,ND,-23310.78,-23310.78,2026-04-20,2026-01-28,34,
CA,AHOC0010,FINBOOK,SA,2932.8,2932.8,2026-01-23,2026-01-23,1,
CF,AHOC0011,TAXBOOK,CA,331273.78,331273.78,2025-03-06,2025-03-06,5,
CF,AHOC0011,TAXBOOK,ND,-190686.26,-190686.26,2026-04-20,2025-04-05,80,
CF,AHOC0011,FINBOOK,CA,331273.78,331273.78,2025-03-06,2025-03-06,5,
CF,AHOC0011,FINBOOK,ND,-74850.05,-74850.05,2026-04-20,2025-04-05,66,
CA,AHOC0012,FINBOOK,CA,335193.26,335193.26,2019-04-16,2019-04-16,3,
CA,AHOC0012,FINBOOK,ND,-69038.17,-69038.17,2026-04-20,2019-05-16,45,
CA,AHOC0013,FINBOOK,CA,306227.21,306227.21,2024-04-05,2024-04-05,3,
CA,AHOC0013,FINBOOK,ND,-80500.35,-80500.35,2026-04-20,2024-05-05,82,
CM,AHOC0014,FINBOOK,CA,212364.31,212364.31,2017-06-09,2017-06-09,2,
CM,AHOC0014,FINBOOK,ND,-113927.56,-113927.56,2026-04-20,2017-07-09,107,
CM,AHOC0015,FINBOOK,CA,20907.54,20907.54,2025-05-07,2025-05-07,1,
CM,AHOC0015,FINBOOK,ND,-5090.75,-5090.75,2026-04-20,2025-06-06,119,
CF,AHOC0016,FINBOOK,CA,191888.32,191888.32,2019-05-09,2019-05-09,3,
CF,AHOC0016,FINBOOK,ND,-73093.5,-73093.5,2026-04-20,2019-06-08,66,
CF,AHOC0016,FINBOOK,SA,118794.82,118794.82,2020-08-18,2020-08-18,1,
CM,AHOC0017,FINBOOK,CA,290714.28,290714.28,2019-04-16,2019-04-16,1,
CM,AHOC0017,FINBOOK,ND,-149990.04,-149990.04,2026-04-20,2019-05-16,104,
CM,AHOC0018,TAXBOOK,CA,460464.66,460464.66,2021-03-10,2021-03-10,5,
CM,AHOC0018,TAXBOOK,ND,-269523.44,-269523.44,2026-04-20,2021-04-09,42,
CM,AHOC0018,TAXBOOK,SA,190941.22,190941.22,2024-12-27,2024-12-27,1,
CM,AHOC0018,FINBOOK,CA,460464.66,460464.66,2021-03-10,2021-03-10,4,
CM,AHOC0018,FINBOOK,ND,-295551.25,-295551.25,2026-04-20,2021-04-09,116,
CM,AHOC0018,FINBOOK,SA,164913.41,164913.41,2024-12-27,2024-12-27,1,
CF,AHOC0019,FINBOOK,CA,479956.17,479956.17,2025-04-29,2025-04-29,5,
CF,AHOC0019,FINBOOK,ND,-374265.1,-374265.1,2026-04-20,2025-05-29,10,
CM,AHOC0020,FINBOOK,CA,74638.1,74638.1,2020-11-05,2020-11-05,2,
CM,AHOC0020,FINBOOK,ND,-55316.78,-55316.78,2026-04-20,2020-12-05,86,
CM,AHOC0021,FINBOOK,CA,359917.71,359917.71,2023-04-16,2023-04-16,3,
CM,AHOC0021,FINBOOK,ND,-103510.48,-103510.48,2026-04-20,2023-05-16,43,
CM,AHOC0022,FINBOOK,CA,107762.49,107762.49,2018-02-13,2018-02-13,4,
CM,AHOC0022,FINBOOK,ND,-84351.99,-84351.99,2026-04-20,2018-03-15,107,
CM,AHOC0023,FINBOOK,CA,137194.72,137194.72,2021-11-03,2021-11-03,1,
CM,AHOC0023,FINBOOK,ND,-84264.96,-84264.96,2026-04-20,2021-12-03,18,
CA,AHOC0024,FINBOOK,CA,380853.62,380853.62,2020-01-15,2020-01-15,1,
CA,AHOC0024,FINBOOK,ND,-327415.81,-327415.81,2026-04-20,2020-02-14,26,
CM,AHOC0025,TAXBOOK,CA,109764.31,109764.31,2022-10-03,2022-10-03,5,
CM,AHOC0025,TAXBOOK,ND,-79700.77,-79700.77,2026-04-20,2022-11-02,45,
CM,AHOC0025,FINBOOK,CA,109764.31,109764.31,2022-10-03,2022-10-03,4,
CM,AHOC0025,FINBOOK,ND,-45807.23,-45807.23,2026-04-20,2022-11-02,92,
CM,AHOC0026,FINBOOK,CA,424938.24,424938.24,2020-03-04,2020-03-04,4,
CM,AHOC0026,FINBOOK,ND,-190567.63,-190567.63,2026-04-20,2020-04-03,94,
CF,AHOC0027,FINBOOK,CA,375487.66,375487.66,2026-04-10,2026-04-10,3,
CF,AHOC0027,FINBOOK,ND,-204502.9,-204502.9,2026-05-10,2026-05-10,67,
CF,AHOC0027,FINBOOK,SA,170984.76,170984.76,2026-04-29,2026-04-29,1,
CA,AHOC0028,FINBOOK,CA,238570.46,238570.46,2019-02-07,2019-02-07,3,
CA,AHOC0028,FINBOOK,ND,-91002.33,-91002.33,2026-04-20,2019-03-09,59,
CF,AHOC0029,FINBOOK,CA,475487.9,475487.9,2024-09-21,2024-09-21,1,
CF,AHOC0029,FINBOOK,ND,-418161.15,-418161.15,2026-04-20,2024-10-21,71,
CA,AHOC0030,TAXBOOK,CA,142885.32,142885.32,2016-07-14,2016-07-14,4,
CA,AHOC0030,TAXBOOK,ND,-48278.45,-48278.45,2026-04-20,2016-08-13,76,
CA,AHOC0030,FINBOOK,CA,142885.32,142885.32,2016-07-14,2016-07-14,3,
