client,asset_id,depr_book_id,trans_type,total_amount,total_cur_amount,max_trans_date,min_trans_date,transaction_count,_edge_case
LA,AHOL0001,FINBOOK,CA,429150.41,429150.41,2019-06-06,2019-06-06,4,
LA,AHOL0001,FINBOOK,ND,-91725.45,-91725.45,2026-04-20,2019-07-06,81,
LA,AHOL0002,FINBOOK,CA,202022.54,202022.54,2024-12-22,2024-12-22,1,
LA,AHOL0002,FINBOOK,ND,-148798.15,-148798.15,2026-04-20,2025-01-21,51,
LA,AHOL0003,FINBOOK,CA,289388.89,289388.89,2019-07-22,2019-07-22,4,
LA,AHOL0003,FINBOOK,ND,-75777.8,-75777.8,2026-04-20,2019-08-21,89,
LA,AHOL0003,FINBOOK,SA,213611.09,213611.09,2025-09-29,2025-09-29,1,
LA,AHOL0004,TAXBOOK,CA,125944.25,125944.25,2023-09-20,2023-09-20,2,
LA,AHOL0004,TAXBOOK,ND,-60725.3,-60725.3,2026-04-20,2023-10-20,30,
LA,AHOL0004,FINBOOK,CA,125944.25,125944.25,2023-09-20,2023-09-20,2,
LA,AHOL0004,FINBOOK,ND,-64931.24,-64931.24,2026-04-20,2023-10-20,57,
LA,AHOL0005,FINBOOK,CA,150328.41,150328.41,2020-07-18,2020-07-18,2,
LA,AHOL0005,FINBOOK,ND,-125661.82,-125661.82,2026-04-20,2020-08-17,79,
LA,AHOL0006,FINBOOK,CA,192631.92,192631.92,2023-01-08,2023-01-08,3,
LA,AHOL0006,FINBOOK,ND,-50923.51,-50923.51,2026-04-20,2023-02-07,78,
LA,AHOL0007,TAXBOOK,CA,193556.9,193556.9,2019-01-27,2019-01-27,4,
LA,AHOL0007,TAXBOOK,ND,-97802.07,-97802.07,2026-04-20,2019-02-26,81,
LA,AHOL0007,FINBOOK,CA,193556.9,193556.9,2019-01-27,2019-01-27,4,
LA,AHOL0007,FINBOOK,ND,-167148.46,-167148.46,2026-04-20,2019-02-26,99,
LA,AHOL0008,FINBOOK,CA,77187.54,77187.54,2022-06-06,2022-06-06,2,
LA,AHOL0008,FINBOOK,ND,-11294.45,-11294.45,2026-04-20,2022-07-06,12,
LA,AHOL0009,FINBOOK,CA,370588.43,370588.43,2024-09-20,2024-09-20,3,
LA,AHOL0009,FINBOOK,ND,-254352.88,-254352.88,2026-04-20,2024-10-20,16,
LA,AHOL0010,FINBOOK,CA,487550.24,487550.24,2019-05-11,2019-05-11,1,
LA,AHOL0010,FINBOOK,ND,-144139.92,-144139.92,2026-04-20,2019-06-10,61,
LA,AHOL0011,FINBOOK,CA,357296.38,357296.38,2025-06-07,2025-06-07,1,
LA,AHOL0011,FINBOOK,ND,-308440.93,-308440.93,2026-04-20,2025-07-07,9,
LA,AHOL0012,FINBOOK,CA,185090.76,185090.76,2021-06-20,2021-06-20,1,
LA,AHOL0012,FINBOOK,ND,-53009.66,-53009.66,2026-04-20,2021-07-20,45,
LA,AHOL0013,TAXBOOK,CA,52870.56,52870.56,2025-12-06,2025-12-06,2,
LA,AHOL0013,TAXBOOK,ND,-17623.92,-17623.92,2026-04-20,2026-01-05,109,
LA,AHOL0013,TAXBOOK,SA,35246.64,35246.64,2026-03-01,2026-03-01,1,
LA,AHOL0013,FINBOOK,CA,52870.56,52870.56,2025-12-06,2025-12-06,1,
LA,AHOL0013,FINBOOK,ND,-29851.59,-29851.59,2026-04-20,2026-01-05,65,
LA,AHOL0013,FINBOOK,SA,23018.97,23018.97,2026-03-01,2026-03-01,1,
LA,AHOL0014,FINBOOK,CA,136705.98,136705.98,2020-01-13,2020-01-13,3,
LA,AHOL0014,FINBOOK,ND,-119167.67,-119167.67,2026-04-20,2020-02-12,27,
LA,AHOL0014,FINBOOK,SA,17538.31,17538.31,2025-03-01,2025-03-01,1,
LA,AHOL0015,FINBOOK,CA,413366.96,413366.96,2024-01-25,2024-01-25,4,
LA,AHOL0015,FINBOOK,ND,-323947.85,-323947.85,2026-04-20,2024-02-24,72,
LA,AHOL0016,FINBOOK,CA,31772.92,31772.92,2017-09-16,2017-09-16,4,
LA,AHOL0016,FINBOOK,ND,-23748.32,-23748.32,2026-04-20,2017-10-16,12,
LA,AHOL0017,FINBOOK,CA,411021.02,411021.02,2022-10-26,2022-10-26,5,
LA,AHOL0017,FINBOOK,ND,-243974.57,-243974.57,2026-04-20,2022-11-25,83,
LA,AHOL0018,FINBOOK,CA,100529.45,100529.45,2020-08-26,2020-08-26,3,
LA,AHOL0018,FINBOOK,ND,-58075.17,-58075.17,2026-04-20,2020-09-25,4,
LA,AHOL0018,FINBOOK,SA,42454.28,42454.28,2025-06-04,2025-06-04,1,
LA,AHOL0019,FINBOOK,CA,499803.27,499803.27,2024-12-29,2024-12-29,3,
LA,AHOL0019,FINBOOK,ND,-415428.48,-415428.48,2026-04-20,2025-01-28,4,
LA,AHOL0020,FINBOOK,CA,271520.18,271520.18,2018-07-13,2018-07-13,2,
LA,AHOL0020,FINBOOK,ND,-226726.04,-226726.04,2026-04-20,2018-08-12,109,
LA,AHOL0020,FINBOOK,SA,44794.14,44794.14,2024-01-23,2024-01-23,1,
LA,AHOL0021,FINBOOK,CA,573.67,573.67,2025-01-11,2025-01-11,4,
LA,AHOL0021,FINBOOK,ND,-420.77,-420.77,2026-04-20,2025-02-10,63,
LA,AHOL0022,FINBOOK,CA,179055.95,179055.95,2023-04-19,2023-04-19,2,
LA,AHOL0022,FINBOOK,ND,-104194.62,-104194.62,2026-04-20,2023-05-19,118,
LA,AHOL0023,FINBOOK,CA,39825.51,39825.51,2020-02-15,2020-02-15,1,
LA,AHOL0023,FINBOOK,ND,-26935.22,-26935.22,2026-04-20,2020-03-16,7,
LA,AHOL0024,FINBOOK,CA,51612.85,51612.85,2020-08-16,2020-08-16,1,
LA,AHOL0024,FINBOOK,ND,-8225.04,-8225.04,2026-04-20,2020-09-15,22,
LA,AHOL0024,FINBOOK,SA,43387.81,43387.81,2024-11-19,2024-11-19,1,
LA,AHOL0025,FINBOOK,CA,297421.24,297421.24,2017-06-02,2017-06-02,4,
LA,AHOL0025,FINBOOK,ND,-195631.01,-195631.01,2026-04-20,2017-07-02,93,
LA,AHOL0026,FINBOOK,CA,275281.65,275281.65,2020-10-20,2020-10-20,4,
LA,AHOL0026,FINBOOK,ND,-213347.48,-213347.48,2026-04-20,2020-11-19,40,
LA,AHOL0027,FINBOOK,CA,93255.73,93255.73,2022-06-25,2022-06-25,1,
LA,AHOL0027,FINBOOK,ND,-15719.73,-15719.73,2026-04-20,2022-07-25,45,
LA,AHOL0028,TAXBOOK,CA,209897.41,209897.41,2025-10-22,2025-10-22,2,
LA,AHOL0028,TAXBOOK,ND,-28155.79,-28155.79,2026-04-20,2025-11-21,11,
LA,AHOL0028,TAXBOOK,SA,181741.62,181741.62,2026-03-22,2026-03-22,1,
LA,AHOL0028,FINBOOK,CA,209897.41,209897.41,2025-10-22,2025-10-22,5,
LA,AHOL0028,FINBOOK,ND,-134760.0,-134760.0,2026-04-20,2025-11-21,80,
LA,AHOL0028,FINBOOK,SA,75137.41,75137.41,2026-03-22,2026-03-22,1,
LA,AHOL0029,FINBOOK,CA,160554.99,160554.99,2023-01-16,2023-01-16,5,
LA,AHOL0029,FINBOOK,ND,-91572.11,-91572.11,2026-04-20,2023-02-15,98,
LA,AHOL0030,FINBOOK,CA,440187.76,440187.76,2019-08-18,2019-08-18,3,
LA,AHOL0030,FINBOOK,ND,-287183.34,-287183.34,2026-04-20,2019-09-17,7,
LA,AHOL0030,FINBOOK,SA,153004.42,153004.42,2025-08-22,2025-08-22,1,
LA,AHOL0031,FINBOOK,CA,10000.0,10000.0,2025-09-08,2025-09-08,4,
LA,AHOL0031,FINBOOK,ND,-2691.12,-2691.12,2026-04-20,2025-10-08,106,
LA,AHOL0032,FINBOOK,CA,10000.0,10000.0,2024-02-22,2024-02-22,3,
LA,AHOL0032,FINBOOK,ND,-3946.82,-3946.82,2026-04-20,2024-03-23,60,
LA,AHOL0033,FINBOOK,CA,10000.0,10000.0,2025-09-13,2025-09-13,2,
LA,AHOL0033,FINBOOK,ND,-7856.89,-7856.89,2026-04-20,2025-10-13,83,
LA,AHOL0034,FINBOOK,CA,10000.0,10000.0,2025-04-22,2025-04-22,3,
LA,AHOL0034,FINBOOK,ND,-4671.98,-4671.98,2026-04-20,2025-05-22,28,
