client,asset_id,depr_book_id,status,depr_method,depr_percent,lifetime,res_value,res_val_flag,salvage_amount,cap_date_from,cap_period_from,cap_flag,date_from,date_to,depr_period,depr_limit,depr_max_perc,nbv_rounding,switch,period_exact,frequency,index_id,index_code,repl_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CM,AHOC0001,FINBOOK,N,LIN,,38.0,0.0,0,0.0,2017-12-22,201712,1,2017-11-29,,202604,0.0,,false,false,true,M,,,,CC195,DEPT37,PROJ4811,,,,,2026-03-30,francisdavidson,
CF,AHOC0002,TAXBOOK,N,BAL,26.65,,0.0,0,0.0,2017-07-01,201707,1,2017-06-29,,202604,0.0,,true,false,true,M,,,,CC926,DEPT15,PROJ8527,,,,,2026-04-03,wrightryan,
CF,AHOC0002,FINBOOK,N,LIN,,27.0,0.0,0,0.0,2017-07-01,201707,1,2017-06-29,,202604,0.0,,false,false,true,M,,,,CC926,DEPT15,PROJ8527,,,,,2026-04-03,wrightryan,
CA,AHOC0003,FINBOOK,N,EXP,,,0.0,0,0.0,2017-03-14,201703,1,2017-02-23,,202603,0.0,,true,false,true,M,,,,CC488,DEPT44,PROJ4598,,,,,2026-04-22,moorefrancesca,
CM,AHOC0004,FINBOOK,C,SYD,,26.0,0.0,0,0.0,2020-11-10,202011,1,2020-10-13,2025-12-28,202604,0.0,,true,false,true,M,,,,CC651,DEPT43,PROJ8019,,,,,2026-04-09,zwright,
CM,AHOC0005,FINBOOK,N,EXP,,,0.0,0,0.0,2021-08-22,202108,1,2021-08-06,,202603,0.0,,false,false,true,M,,,,CC838,DEPT24,PROJ9797,,,,,2026-05-01,jcook,
CF,AHOC0006,FINBOOK,T,LIN,,41.0,0.0,0,0.0,2017-08-12,201708,1,2017-07-16,2024-08-19,202604,0.0,,false,false,true,M,IDX1,,,CC880,DEPT30,PROJ9837,,,,,2026-05-04,palmersarah,
CA,AHOC0007,FINBOOK,N,SYD,,16.0,0.0,0,0.0,2024-12-03,202412,1,2024-11-16,,202603,0.0,,true,false,true,M,,,,CC269,DEPT43,PROJ9645,,,,,2026-04-12,ywilkinson,
CA,AHOC0008,FINBOOK,N,BAL,12.8,,0.0,0,0.0,2018-12-23,201812,1,2018-12-05,,202604,0.0,,true,false,true,M,,,,CC169,DEPT14,PROJ6413,,,,,2026-02-03,melissa31,
CF,AHOC0009,FINBOOK,N,EXP,,,0.0,0,0.0,2021-02-17,202102,1,2021-02-04,,202603,0.0,,true,false,true,M,,,,CC200,DEPT17,PROJ7596,,,,,2026-04-28,davisoliver,
CA,AHOC0010,FINBOOK,C,SYD,,33.0,0.0,0,0.0,2025-12-29,202512,1,2025-12-12,2026-01-23,202604,0.0,,false,false,true,M,,,,CC871,DEPT40,PROJ3724,,,,,2026-03-18,ben55,
CF,AHOC0011,TAXBOOK,N,BAL,6.92,,0.0,0,0.0,2025-03-06,202503,1,2025-02-17,,202605,0.0,,true,false,true,M,,,,CC159,DEPT84,PROJ9883,,,,,2026-02-01,johnronald,
CF,AHOC0011,FINBOOK,N,EXP,,,0.0,0,0.0,2025-03-06,202503,1,2025-02-17,,202605,0.0,,true,false,true,M,,,,CC159,DEPT84,PROJ9883,,,,,2026-02-01,johnronald,
CA,AHOC0012,FINBOOK,N,LIN,,3.0,0.0,0,0.0,2019-04-16,201904,1,2019-04-10,,202604,0.0,,true,false,true,M,,,,CC760,DEPT48,PROJ8491,,,,,2026-03-06,olamb,
CA,AHOC0013,FINBOOK,N,LIN,,50.0,0.0,0,0.0,2024-04-05,202404,1,2024-03-27,,202603,0.0,,true,false,true,M,,,,CC206,DEPT27,PROJ5333,,,,,2026-02-08,william30,
CM,AHOC0014,FINBOOK,N,SYD,,38.0,0.0,0,0.0,2017-06-09,201706,1,2017-05-20,,202603,0.0,,false,false,true,M,,,,CC752,DEPT43,PROJ3647,,,,,2026-04-29,kirstyhawkins,
