client,asset_id,depr_book_id,status,depr_method,depr_percent,lifetime,res_value,res_val_flag,salvage_amount,cap_date_from,cap_period_from,cap_flag,date_from,date_to,depr_period,depr_limit,depr_max_perc,nbv_rounding,switch,period_exact,frequency,index_id,index_code,repl_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
LA,AHOL0001,FINBOOK,N,BAL,11.99,,0.0,0,0.0,2019-06-06,201906,1,2019-05-07,,202603,0.0,,false,false,true,M,,,,CC383,DEPT93,PROJ3078,,,,,2026-04-24,fullerjoanne,
LA,AHOL0002,FINBOOK,N,LIN,,49.0,0.0,0,0.0,2024-12-22,202412,1,2024-12-20,,202604,0.0,,false,false,true,M,,,,CC565,DEPT72,PROJ6362,,,,,2026-04-09,hayeslynne,
LA,AHOL0003,FINBOOK,C,SYD,,4.0,0.0,0,0.0,2019-07-22,201907,1,2019-07-12,2025-09-29,202604,0.0,,true,false,true,M,,C1,,CC798,DEPT16,PROJ1752,,,,,2026-02-06,ybutler,
LA,AHOL0004,TAXBOOK,N,EXP,,,0.0,0,0.0,2023-09-20,202309,1,2023-09-09,,202603,0.0,,true,false,true,M,,,,CC153,DEPT60,PROJ6005,,,,,2026-04-27,cprice,
LA,AHOL0004,FINBOOK,N,BAL,17.02,,0.0,0,0.0,2023-09-20,202309,1,2023-09-09,,202604,0.0,,true,true,true,M,,,,CC153,DEPT60,PROJ6005,,,,,2026-04-27,cprice,
LA,AHOL0005,FINBOOK,N,LIN,,42.0,0.0,0,0.0,2020-07-18,202007,1,2020-06-20,,202603,0.0,,true,false,true,M,,,,CC236,DEPT92,PROJ3340,,,,,2026-02-02,johnnigel,
LA,AHOL0006,FINBOOK,N,EXP,,,0.0,0,0.0,2023-01-08,202301,1,2022-12-16,,202603,0.0,,true,false,true,M,,,,CC760,DEPT20,PROJ5065,,,,,2026-04-05,irene12,
LA,AHOL0007,TAXBOOK,N,LIN,,3.0,0.0,0,0.0,2019-01-27,201901,1,2019-01-12,,202604,0.0,,true,false,true,M,IDX1,,,CC112,DEPT56,PROJ6185,,,,,2026-02-10,paulhanson,
LA,AHOL0007,FINBOOK,N,SYD,,39.0,0.0,0,0.0,2019-01-27,201901,1,2019-01-12,,202604,0.0,,false,false,true,M,,,,CC112,DEPT56,PROJ6185,,,,,2026-02-10,paulhanson,
LA,AHOL0008,FINBOOK,N,SYD,,40.0,0.0,0,0.0,2022-06-06,202206,1,2022-05-18,,202603,0.0,,true,false,true,M,,,,CC927,DEPT29,PROJ9788,,,,,2026-03-07,barnesdiana,
LA,AHOL0009,FINBOOK,N,EXP,,,0.0,0,0.0,2024-09-20,202409,1,2024-08-30,,202604,0.0,,false,false,true,M,,,,CC267,DEPT73,PROJ6680,,,,,2026-04-01,arthurgreenwood,
LA,AHOL0010,FINBOOK,N,BAL,12.14,,0.0,0,0.0,2019-05-11,201905,1,2019-04-19,,202604,0.0,,true,false,true,M,,C1,,CC611,DEPT82,PROJ3734,,,,,2026-03-13,oclark,
LA,AHOL0011,FINBOOK,N,EXP,,,0.0,0,0.0,2025-06-07,202506,1,2025-05-09,,202604,0.0,,true,false,true,M,,,,CC837,DEPT50,PROJ5444,,,,,2026-02-03,howardmohammad,
LA,AHOL0012,FINBOOK,N,SYD,,15.0,0.0,0,0.0,2021-06-20,202106,1,2021-06-20,,202603,0.0,,true,false,true,M,,,,CC737,DEPT41,PROJ8600,,,,,2026-03-13,sharvey,
LA,AHOL0013,TAXBOOK,T,SYD,,7.0,0.0,0,0.0,2025-12-06,202512,1,2025-11-13,2026-03-01,202603,0.0,,true,false,true,M,,,,CC161,DEPT28,PROJ5584,,,,,2026-02-05,mwilliams,
LA,AHOL0013,FINBOOK,T,LIN,,17.0,0.0,0,0.0,2025-12-06,202512,1,2025-11-13,2026-03-01,202603,0.0,,false,false,true,M,,,,CC161,DEPT28,PROJ5584,,,,,2026-02-05,mwilliams,
LA,AHOL0014,FINBOOK,T,LIN,,13.0,0.0,0,0.0,2020-01-13,202001,1,2020-01-03,2025-03-01,202604,0.0,,false,false,true,M,,,,CC888,DEPT84,PROJ2785,,,,,2026-02-13,richard13,
LA,AHOL0015,FINBOOK,N,LIN,,46.0,0.0,0,0.0,2024-01-25,202401,1,2024-01-16,,202604,0.0,,false,false,true,M,,,,CC828,DEPT41,PROJ6828,,,,,2026-03-16,melissa02,
LA,AHOL0016,FINBOOK,N,EXP,,,0.0,0,0.0,2017-09-16,201709,1,2017-09-16,,202603,0.0,,true,false,true,M,,,,CC745,DEPT92,PROJ2376,,,,,2026-04-09,jeremy96,
LA,AHOL0017,FINBOOK,N,EXP,,,0.0,0,0.0,2022-10-26,202210,1,2022-10-13,,202604,0.0,,false,false,true,M,,,,CC276,DEPT55,PROJ4517,,,,,2026-02-17,michelle55,
LA,AHOL0018,FINBOOK,C,SYD,,25.0,0.0,0,0.0,2020-08-26,202008,1,2020-08-22,2025-06-04,202603,0.0,,false,false,true,M,,,,CC491,DEPT55,PROJ8859,,,,,2026-04-04,sfaulkner,
LA,AHOL0019,FINBOOK,N,SYD,,25.0,0.0,0,0.0,2024-12-29,202412,1,2024-12-11,,202603,0.0,,true,false,true,M,,,,CC935,DEPT17,PROJ4594,,,,,2026-04-08,murphyguy,
