client,asset_group,description,grp_status,depr_method,depr_percent,lifetime,res_value,res_val_flag,salvage_amount,depr_start,depr_limit,depr_max_perc,frequency,switch,period_exact,nbv_rounding,index_id,index_code,ins_table_id,insurance_mode,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,grp_last_update,grp_user_id,depr_book_id,book_status,book_depr_method,book_depr_percent,book_lifetime,book_res_value,book_res_val_flag,book_salvage_amount,book_depr_start,book_depr_limit,book_depr_max_perc,book_frequency,book_switch,book_period_exact,book_nbv_rounding,book_index_id,book_index_code,book_last_update,book_user_id
CA,BUILD,Buildings & Land,N,LIN,0.0,50,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC120,,,,,,,2026-03-24,SYSTEM,FIN,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,BUILD,Buildings & Land,N,LIN,0.0,50,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC117,,,,,,,2026-03-24,SYSTEM,TAX,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,EQUIP,Plant & Equipment,N,LIN,0.0,10,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC135,,,,,,,2026-03-24,SYSTEM,FIN,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,EQUIP,Plant & Equipment,N,LIN,0.0,10,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC128,,,,,,,2026-03-24,SYSTEM,TAX,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,IT,IT Hardware & Software,N,LIN,0.0,5,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC126,,,,,,,2026-03-24,SYSTEM,FIN,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,IT,IT Hardware & Software,N,LIN,0.0,5,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC128,,,,,,,2026-03-24,SYSTEM,TAX,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,VEH,Motor Vehicles,N,BAL,25.0,7,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC123,,,,,,,2026-03-24,SYSTEM,FIN,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,VEH,Motor Vehicles,N,BAL,25.0,7,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC122,,,,,,,2026-03-24,SYSTEM,TAX,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,FURN,Furniture & Fittings,N,LIN,0.0,10,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC109,,,,,,,2026-03-24,SYSTEM,FIN,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
CA,FURN,Furniture & Fittings,N,LIN,0.0,10,0,0,0,C,0,0,M,0,1,1,,,STD,1,CC136,,,,,,,2026-03-24,SYSTEM,TAX,N,,0,0,0,,0,,0,0,,,,,,,2026-03-24,SYSTEM
