client,asset_id,asset_group,description,short_info,status,wf_state,cap_date_from,cap_period_from,date_from,date_to,apar_id,parent_asset,grant_flag,org_amount,org_amt_date,base_amount,std_amount,ins_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CM,AHOC0001,SOFT,Sharable bifurcated algorithm,harum,N,N,2017-12-22,201712,2017-11-29,,SUPP7912,,1,52145.09,2017-12-22,52145.09,52145.09,57359.6,CC195,DEPT37,PROJ4811,,,,,2026-03-30,francisdavidson,
CF,AHOC0002,VEH,Customer-focused systematic support,quisquam,N,,2017-07-01,201707,2017-06-29,,,,0,190583.72,2017-07-01,190583.72,190583.72,209642.09,CC926,DEPT15,PROJ8527,,,,,2026-04-03,wrightryan,
CA,AHOC0003,SOFT,Assimilated background data-warehouse,eveniet,N,N,2017-03-14,201703,2017-02-23,,,,0,317854.17,2017-03-14,317854.17,317854.17,349639.59,CC488,DEPT44,PROJ4598,,,,,2026-04-22,moorefrancesca,
CM,AHOC0004,FURN,Total needs-based instruction set,est,C,,2020-11-10,202011,2020-10-13,2025-12-28,SUPP5040,,0,321783.08,2020-11-10,321783.08,321783.08,353961.39,CC651,DEPT43,PROJ8019,,,,,2026-04-09,zwright,
CM,AHOC0005,SOFT,Adaptive well-modulated workforce,dolore,N,,2021-08-22,202108,2021-08-06,,,,1,126455.65,2021-08-22,126455.65,126455.65,139101.21,CC838,DEPT24,PROJ9797,,,,,2026-05-01,jcook,
CF,AHOC0006,SOFT,Extended well-modulated Graphical User Interface,corporis,T,N,2017-08-12,201708,2017-07-16,2024-08-19,,,0,149923.95,2017-08-12,149923.95,149923.95,164916.35,CC880,DEPT30,PROJ9837,,,,,2026-05-04,palmersarah,
CA,AHOC0007,FURN,Monitored real-time firmware,aperiam,N,,2024-12-03,202412,2024-11-16,,,,0,383151.38,2024-12-03,383151.38,383151.38,421466.52,CC269,DEPT43,PROJ9645,,,,,2026-04-12,ywilkinson,
CA,AHOC0008,IT_EQ,Configurable neutral frame,sunt,N,,2018-12-23,201812,2018-12-05,,,,0,110888.47,2018-12-23,110888.47,110888.47,121977.32,CC169,DEPT14,PROJ6413,,,,,2026-02-03,melissa31,
CF,AHOC0009,IT_EQ,Balanced stable emulation,illum,N,,2021-02-17,202102,2021-02-04,,,,0,234045.31,2021-02-17,234045.31,234045.31,257449.84,CC200,DEPT17,PROJ7596,,,,,2026-04-28,davisoliver,
CA,AHOC0010,SOFT,Multi-tiered even-keeled knowledgebase,tempora,C,,2025-12-29,202512,2025-12-12,2026-01-23,,,0,26243.58,2025-12-29,26243.58,26243.58,28867.94,CC871,DEPT40,PROJ3724,,,,,2026-03-18,ben55,
CF,AHOC0011,BLDG,Expanded static flexibility,voluptates,N,N,2025-03-06,202503,2025-02-17,,SUPP5861,,0,331273.78,2025-03-06,331273.78,331273.78,364401.16,CC159,DEPT84,PROJ9883,,,,,2026-02-01,johnronald,
CA,AHOC0012,VEH,Public-key upward-trending encryption,dolorem,N,N,2019-04-16,201904,2019-04-10,,SUPP7484,,0,335193.26,2019-04-16,335193.26,335193.26,368712.59,CC760,DEPT48,PROJ8491,,,,,2026-03-06,olamb,
CA,AHOC0013,SOFT,Team-oriented next generation definition,vitae,N,,2024-04-05,202404,2024-03-27,,SUPP5905,,0,306227.21,2024-04-05,306227.21,306227.21,336849.93,CC206,DEPT27,PROJ5333,,,,,2026-02-08,william30,
CM,AHOC0014,VEH,Intuitive impactful flexibility,at,N,T,2017-06-09,201706,2017-05-20,,SUPP6464,,0,212364.31,2017-06-09,212364.31,212364.31,233600.74,CC752,DEPT43,PROJ3647,,,,,2026-04-29,kirstyhawkins,
CM,AHOC0015,VEH,Intuitive didactic projection,praesentium,N,,2025-05-07,202505,2025-04-10,,SUPP5088,,0,20907.54,2025-05-07,20907.54,20907.54,22998.29,CC462,DEPT81,PROJ7658,,,,,2026-04-14,pyoung,
CF,AHOC0016,IT_EQ,Persevering client-server firmware,deserunt,C,T,2019-05-09,201905,2019-05-04,2020-08-18,,,0,191888.32,2019-05-09,191888.32,191888.32,211077.15,CC936,DEPT68,PROJ6728,,,,,2026-03-05,chelseapowell,
CM,AHOC0017,VEH,User-friendly optimal interface,reprehenderit,N,,2019-04-16,201904,2019-04-11,,SUPP8119,,0,290714.28,2019-04-16,290714.28,290714.28,319785.71,CC905,DEPT50,PROJ8149,,,,,2026-04-12,ievans,
CM,AHOC0018,SOFT,Profound modular array,architecto,T,N,2021-03-10,202103,2021-03-08,2024-12-27,SUPP3041,,0,460464.66,2021-03-10,460464.66,460464.66,506511.13,CC407,DEPT74,PROJ6067,,,,,2026-04-20,gouldsam,
CF,AHOC0019,FURN,Synergized interactive policy,at,N,N,2025-04-29,202504,2025-04-01,,,,0,479956.17,2025-04-29,479956.17,479956.17,527951.79,CC779,DEPT91,PROJ6491,,,,,2026-02-05,dpalmer,
CM,AHOC0020,IT_EQ,Progressive eco-centric neural-net,accusamus,N,N,2020-11-05,202011,2020-10-29,,,,0,74638.1,2020-11-05,74638.1,74638.1,82101.91,CC209,DEPT64,PROJ4585,,,,,2026-02-16,richardsonpaula,
CM,AHOC0021,SOFT,Versatile encompassing throughput,temporibus,N,T,2023-04-16,202304,2023-03-21,,SUPP9976,,0,359917.71,2023-04-16,359917.71,359917.71,395909.48,CC262,DEPT70,PROJ8373,,,,,2026-02-27,nathan46,
CM,AHOC0022,BLDG,Diverse logistical ability,fuga,N,,2018-02-13,201802,2018-01-22,,SUPP9890,,0,107762.49,2018-02-13,107762.49,107762.49,118538.74,CC163,DEPT36,PROJ7883,,,,,2026-03-15,kathleenwalker,
CM,AHOC0023,BLDG,Self-enabling exuding productivity,quae,N,N,2021-11-03,202111,2021-10-27,,SUPP6507,,0,137194.72,2021-11-03,137194.72,137194.72,150914.19,CC917,DEPT61,PROJ3704,,,,,2026-03-25,carlpatel,
CA,AHOC0024,BLDG,Diverse needs-based time-frame,quia,N,,2020-01-15,202001,2020-01-05,,SUPP7906,,0,380853.62,2020-01-15,380853.62,380853.62,418938.98,CC183,DEPT70,PROJ1317,,,,,2026-04-30,andersonwendy,
CM,AHOC0025,VEH,Ameliorated bifurcated hierarchy,inventore,N,,2022-10-03,202210,2022-09-03,,,,0,109764.31,2022-10-03,109764.31,109764.31,120740.74,CC721,DEPT24,PROJ3683,,,,,2026-03-05,kevinsmith,
CM,AHOC0026,BLDG,Re-contextualized attitude-oriented artificial intelligence,placeat,N,,2020-03-04,202003,2020-03-04,,SUPP6934,,0,424938.24,2020-03-04,424938.24,424938.24,467432.06,CC948,DEPT68,PROJ3506,,,,,2026-03-21,stewartstacey,
CF,AHOC0027,SOFT,Visionary clear-thinking capacity,unde,C,T,2026-04-10,202604,2026-03-27,2026-04-29,,,0,375487.66,2026-04-10,375487.66,375487.66,413036.43,CC129,DEPT73,PROJ6325,,,,,2026-02-17,kmay,
CA,AHOC0028,BLDG,Fundamental multi-tasking portal,nisi,N,,2019-02-07,201902,2019-01-16,,SUPP1282,,0,238570.46,2019-02-07,238570.46,238570.46,262427.51,CC326,DEPT61,PROJ4986,,,,,2026-03-05,sheilamitchell,
CF,AHOC0029,FURN,Team-oriented dedicated structure,ipsa,N,N,2024-09-21,202409,2024-09-04,,SUPP8933,,0,475487.9,2024-09-21,475487.9,475487.9,523036.69,CC703,DEPT77,PROJ5636,,,,,2026-02-06,pturner,
CA,AHOC0030,BLDG,Multi-layered leadingedge model,odio,N,N,2016-07-14,201607,2016-06-26,,SUPP4020,,0,142885.32,2016-07-14,142885.32,142885.32,157173.85,CC358,DEPT71,PROJ2869,,,,,2026-02-02,smithphilip,
CF,AHOC0031,FURN,Mandatory 3rdgeneration parallelism,quod,N,N,2024-08-27,202408,2024-08-24,,,,0,473847.51,2024-08-27,473847.51,473847.51,521232.26,CC183,DEPT30,PROJ4929,,,,,2026-02-16,joanquinn,
CM,AHOC0032,FURN,Compatible tertiary product,assumenda,C,,2019-05-20,201905,2019-04-25,2026-01-03,SUPP9922,,0,330930.34,2019-05-20,330930.34,330930.34,364023.37,CC252,DEPT44,PROJ3330,,,,,2026-02-03,josephhowe,
CM,AHOC0033,BLDG,Managed asynchronous migration,ex,N,,2021-04-06,202104,2021-04-04,,,,0,299420.29,2021-04-06,299420.29,299420.29,329362.32,CC126,DEPT21,PROJ4750,,,,,2026-04-21,aimee73,
CF,AHOC0034,BLDG,Quality-focused clear-thinking success,rem,N,N,2021-11-13,202111,2021-11-11,,SUPP2713,,0,235535.19,2021-11-13,235535.19,235535.19,259088.71,CC437,DEPT62,PROJ9117,,,,,2026-03-02,esmith,
CA,AHOC0035,BLDG,Open-source content-based attitude,consequatur,N,N,2018-06-30,201806,2018-06-14,,,,0,181527.9,2018-06-30,181527.9,181527.9,199680.69,CC308,DEPT44,PROJ9998,,,,,2026-02-10,anixon,
CM,AHOC0036,BLDG,Persistent upward-trending application,veniam,C,,2022-02-11,202202,2022-01-20,2023-09-01,,,0,208329.68,2022-02-11,208329.68,208329.68,229162.65,CC664,DEPT28,PROJ7284,,,,,2026-02-18,longdeclan,
CM,AHOC0037,SOFT,Customer-focused dynamic core,eaque,T,,2022-06-06,202206,2022-05-22,2024-05-27,SUPP6272,,0,166887.54,2022-06-06,166887.54,166887.54,183576.29,CC814,DEPT40,PROJ7274,,,,,2026-02-23,ldavidson,
CA,AHOC0038,BLDG,Grass-roots maximized encryption,autem,N,,2022-12-29,202212,2022-12-19,,SUPP8486,,1,434980.46,2022-12-29,434980.46,434980.46,478478.51,CC247,DEPT62,PROJ3529,,,,,2026-02-03,jmann,
CF,AHOC0039,IT_EQ,Cross-platform actuating projection,quis,C,,2023-06-26,202306,2023-06-05,2025-02-12,SUPP2612,,0,498715.54,2023-06-26,498715.54,498715.54,548587.09,CC820,DEPT22,PROJ8269,,,,,2026-02-15,morganfrank,
CF,AHOC0040,BLDG,Down-sized incremental matrix,perspiciatis,T,,2019-03-27,201903,2019-03-13,2022-02-20,,,0,333753.52,2019-03-27,333753.52,333753.52,367128.87,CC261,DEPT19,PROJ8237,,,,,2026-03-10,joannepoole,
