client,asset_id,asset_group,description,short_info,status,wf_state,cap_date_from,cap_period_from,date_from,date_to,apar_id,parent_asset,grant_flag,org_amount,org_amt_date,base_amount,std_amount,ins_amount,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
LA,AHOL0001,IT_EQ,Enterprise-wide actuating extranet,perferendis,N,N,2019-06-06,201906,2019-05-07,,SUPP7743,,0,429150.41,2019-06-06,429150.41,429150.41,472065.45,CC383,DEPT93,PROJ3078,,,,,2026-04-24,fullerjoanne,
LA,AHOL0002,VEH,Pre-emptive asynchronous orchestration,suscipit,N,,2024-12-22,202412,2024-12-20,,,,0,202022.54,2024-12-22,202022.54,202022.54,222224.79,CC565,DEPT72,PROJ6362,,,,,2026-04-09,hayeslynne,
LA,AHOL0003,SOFT,Innovative attitude-oriented encryption,cumque,C,,2019-07-22,201907,2019-07-12,2025-09-29,,,0,289388.89,2019-07-22,289388.89,289388.89,318327.78,CC798,DEPT16,PROJ1752,,,,,2026-02-06,ybutler,
LA,AHOL0004,VEH,Secured directional time-frame,quasi,N,T,2023-09-20,202309,2023-09-09,,,,0,125944.25,2023-09-20,125944.25,125944.25,138538.68,CC153,DEPT60,PROJ6005,,,,,2026-04-27,cprice,
LA,AHOL0005,BLDG,Innovative optimizing interface,inventore,N,T,2020-07-18,202007,2020-06-20,,,,0,150328.41,2020-07-18,150328.41,150328.41,165361.25,CC236,DEPT92,PROJ3340,,,,,2026-02-02,johnnigel,
LA,AHOL0006,BLDG,Virtual demand-driven product,error,N,,2023-01-08,202301,2022-12-16,,SUPP3290,,0,192631.92,2023-01-08,192631.92,192631.92,211895.11,CC760,DEPT20,PROJ5065,,,,,2026-04-05,irene12,
LA,AHOL0007,FURN,Front-line context-sensitive neural-net,autem,N,,2019-01-27,201901,2019-01-12,,SUPP2163,,0,193556.9,2019-01-27,193556.9,193556.9,212912.59,CC112,DEPT56,PROJ6185,,,,,2026-02-10,paulhanson,
LA,AHOL0008,IT_EQ,Team-oriented radical leverage,illum,N,,2022-06-06,202206,2022-05-18,,SUPP9377,,0,77187.54,2022-06-06,77187.54,77187.54,84906.29,CC927,DEPT29,PROJ9788,,,,,2026-03-07,barnesdiana,
LA,AHOL0009,IT_EQ,Horizontal tangible knowledgebase,aut,N,N,2024-09-20,202409,2024-08-30,,SUPP3248,,0,370588.43,2024-09-20,370588.43,370588.43,407647.27,CC267,DEPT73,PROJ6680,,,,,2026-04-01,arthurgreenwood,
LA,AHOL0010,IT_EQ,Self-enabling optimizing protocol,eius,N,,2019-05-11,201905,2019-04-19,,SUPP9368,,0,487550.24,2019-05-11,487550.24,487550.24,536305.26,CC611,DEPT82,PROJ3734,,,,,2026-03-13,oclark,
