client,asset_id,depr_book_id,trans_type,trans_date,at_trans_date,fiscal_year,amount,dc_flag,_edge_case
CM,AHOC0001,FINBOOK,CA,2017-12-22,2017-12-22,2017,52145.09,1,
CM,AHOC0001,FINBOOK,ND,2018-01-21,2018-01-21,2018,-521.45,-1,
CM,AHOC0001,FINBOOK,ND,2018-02-20,2018-02-20,2018,-521.45,-1,
CM,AHOC0001,FINBOOK,ND,2018-03-22,2018-03-22,2018,-521.45,-1,
CF,AHOC0002,TAXBOOK,CA,2017-07-01,2017-07-01,2017,190583.72,1,
CF,AHOC0002,TAXBOOK,ND,2017-07-31,2017-07-31,2017,-1905.84,-1,
CF,AHOC0002,TAXBOOK,ND,2017-08-30,2017-08-30,2017,-1905.84,-1,
CF,AHOC0002,TAXBOOK,ND,2017-09-29,2017-09-29,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,CA,2017-07-01,2017-07-01,2017,190583.72,1,
CF,AHOC0002,FINBOOK,ND,2017-07-31,2017-07-31,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,ND,2017-08-30,2017-08-30,2017,-1905.84,-1,
CF,AHOC0002,FINBOOK,ND,2017-09-29,2017-09-29,2017,-1905.84,-1,
CA,AHOC0003,FINBOOK,CA,2017-03-14,2017-03-14,2017,317854.17,1,
CA,AHOC0003,FINBOOK,ND,2017-04-13,2017-04-13,2017,-3178.54,-1,
CA,AHOC0003,FINBOOK,ND,2017-05-13,2017-05-13,2017,-3178.54,-1,
CA,AHOC0003,FINBOOK,ND,2017-06-12,2017-06-12,2017,-3178.54,-1,
CM,AHOC0004,FINBOOK,CA,2020-11-10,2020-11-10,2020,321783.08,1,
CM,AHOC0004,FINBOOK,ND,2020-12-10,2020-12-10,2020,-3217.83,-1,
CM,AHOC0004,FINBOOK,ND,2021-01-09,2021-01-09,2021,-3217.83,-1,
CM,AHOC0004,FINBOOK,ND,2021-02-08,2021-02-08,2021,-3217.83,-1,
CM,AHOC0004,FINBOOK,SA,2025-12-28,2025-12-28,2025,160891.54,-1,
CM,AHOC0005,FINBOOK,CA,2021-08-22,2021-08-22,2021,126455.65,1,
CM,AHOC0005,FINBOOK,ND,2021-09-21,2021-09-21,2021,-1264.56,-1,
CM,AHOC0005,FINBOOK,ND,2021-10-21,2021-10-21,2021,-1264.56,-1,
CM,AHOC0005,FINBOOK,ND,2021-11-20,2021-11-20,2021,-1264.56,-1,
CF,AHOC0006,FINBOOK,CA,2017-08-12,2017-08-12,2017,149923.95,1,
CF,AHOC0006,FINBOOK,ND,2017-09-11,2017-09-11,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,ND,2017-10-11,2017-10-11,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,ND,2017-11-10,2017-11-10,2017,-1499.24,-1,
CF,AHOC0006,FINBOOK,SA,2024-08-19,2024-08-19,2024,74961.975,-1,
CA,AHOC0007,FINBOOK,CA,2024-12-03,2024-12-03,2024,383151.38,1,
CA,AHOC0007,FINBOOK,ND,2025-01-02,2025-01-02,2025,-3831.51,-1,
CA,AHOC0007,FINBOOK,ND,2025-02-01,2025-02-01,2025,-3831.51,-1,
CA,AHOC0007,FINBOOK,ND,2025-03-03,2025-03-03,2025,-3831.51,-1,
CA,AHOC0008,FINBOOK,CA,2018-12-23,2018-12-23,2018,110888.47,1,
CA,AHOC0008,FINBOOK,ND,2019-01-22,2019-01-22,2019,-1108.88,-1,
CA,AHOC0008,FINBOOK,ND,2019-02-21,2019-02-21,2019,-1108.88,-1,
CA,AHOC0008,FINBOOK,ND,2019-03-23,2019-03-23,2019,-1108.88,-1,
CF,AHOC0009,FINBOOK,CA,2021-02-17,2021-02-17,2021,234045.31,1,
