client,asset_id,depr_book_id,trans_type,trans_date,at_trans_date,fiscal_year,amount,dc_flag,_edge_case
LA,AHOL0001,FINBOOK,CA,2019-06-06,2019-06-06,2019,429150.41,1,
LA,AHOL0001,FINBOOK,ND,2019-07-06,2019-07-06,2019,-4291.5,-1,
LA,AHOL0001,FINBOOK,ND,2019-08-05,2019-08-05,2019,-4291.5,-1,
LA,AHOL0001,FINBOOK,ND,2019-09-04,2019-09-04,2019,-4291.5,-1,
LA,AHOL0002,FINBOOK,CA,2024-12-22,2024-12-22,2024,202022.54,1,
LA,AHOL0002,FINBOOK,ND,2025-01-21,2025-01-21,2025,-2020.23,-1,
LA,AHOL0002,FINBOOK,ND,2025-02-20,2025-02-20,2025,-2020.23,-1,
LA,AHOL0002,FINBOOK,ND,2025-03-22,2025-03-22,2025,-2020.23,-1,
LA,AHOL0003,FINBOOK,CA,2019-07-22,2019-07-22,2019,289388.89,1,
LA,AHOL0003,FINBOOK,ND,2019-08-21,2019-08-21,2019,-2893.89,-1,
LA,AHOL0003,FINBOOK,ND,2019-09-20,2019-09-20,2019,-2893.89,-1,
LA,AHOL0003,FINBOOK,ND,2019-10-20,2019-10-20,2019,-2893.89,-1,
LA,AHOL0003,FINBOOK,SA,2025-09-29,2025-09-29,2025,144694.445,-1,
LA,AHOL0004,TAXBOOK,CA,2023-09-20,2023-09-20,2023,125944.25,1,
LA,AHOL0004,TAXBOOK,ND,2023-10-20,2023-10-20,2023,-1259.44,-1,
LA,AHOL0004,TAXBOOK,ND,2023-11-19,2023-11-19,2023,-1259.44,-1,
LA,AHOL0004,TAXBOOK,ND,2023-12-19,2023-12-19,2023,-1259.44,-1,
LA,AHOL0004,FINBOOK,CA,2023-09-20,2023-09-20,2023,125944.25,1,
LA,AHOL0004,FINBOOK,ND,2023-10-20,2023-10-20,2023,-1259.44,-1,
LA,AHOL0004,FINBOOK,ND,2023-11-19,2023-11-19,2023,-1259.44,-1,
LA,AHOL0004,FINBOOK,ND,2023-12-19,2023-12-19,2023,-1259.44,-1,
