client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
HOL,CHOL0021,ARH918656,1,SINV,2024-11-23,2024-11-23,C,8463.17,0.0,GBP,,
HOL,CHOL0049,ARH507466,1,DINV,2025-08-15,2025-08-15,C,29879.57,0.0,GBP,,
HOL,CHOL0034,ARH286572,1,SINV,2025-12-04,2025-12-04,C,2268.07,0.0,GBP,,
HOL,CHOL0079,ARH511707,1,SINV,2025-03-10,2025-03-10,C,19435.4,0.0,GBP,,
HOL,CHOL0019,ARH666893,1,PINV,2025-11-24,2025-11-24,C,6707.92,0.0,GBP,,
HOL,CHOL0014,ARH563031,1,SINV,2025-06-01,2025-06-01,C,3277.96,0.0,GBP,,
HOL,CHOL0010,ARH699098,1,SINV,2025-05-23,2025-05-23,C,23361.67,0.0,GBP,,
HOL,CHOL0064,ARH256085,1,PINV,2024-09-09,2024-09-09,C,28000.23,0.0,GBP,,
HOL,CHOL0050,ARH379378,1,DINV,2025-02-11,2025-02-11,C,21061.64,0.0,GBP,,
HOL,CHOL0074,ARH103883,1,DINV,2026-01-24,2026-01-24,C,14448.55,0.0,GBP,,
HOL,CHOL0009,ARH666366,1,PINV,2025-04-28,2025-04-28,C,298.56,0.0,GBP,,
HOL,CHOL0062,ARH227091,1,DINV,2025-09-11,2025-09-11,C,10136.5,0.0,GBP,,
HOL,CHOL0052,ARH157875,1,DINV,2024-12-10,2024-12-10,C,11087.59,0.0,GBP,,
HOL,CHOL0011,ARH982042,1,DINV,2025-12-23,2025-12-23,C,22861.5,0.0,GBP,,
HOL,CHOL0026,ARH285197,1,PINV,2024-10-19,2024-10-19,C,29031.89,0.0,GBP,,
HOL,CHOL0025,ARH413388,1,PINV,2025-10-13,2025-10-13,C,26914.53,0.0,GBP,,
HOL,CHOL0046,ARH610135,1,DINV,2024-12-04,2024-12-04,C,26579.38,0.0,GBP,,
HOL,CHOL0025,ARH246740,1,PINV,2024-10-15,2024-10-15,C,5954.16,0.0,GBP,,
