client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_flag,pay_method,payment_date,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,rem_level,remind_date,collect_status,collect_agency,intrule_id,int_status,last_update,wf_state,_edge_case
HOC,CHOC0017,AR802667,1,DINV,2025-12-14,2025-12-14,2026-01-13,Tempore laborum earum laborum harum pariatur reiciendis quam.,32478.23,,GBP,21477.04,,,1,N,0,BACS,,202512,,INV57526,,PO6060,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0028,AR458332,1,SINV,2025-09-22,2025-09-22,2025-10-22,Ullam voluptatem modi tenetur nihil optio assumenda.,11713.88,,GBP,10424.74,,,1,N,0,INT,,202509,,INV23256,,PO9317,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0068,AR139581,1,SINV,2024-11-20,2024-11-20,2025-02-18,Consequatur iure amet fugiat distinctio eveniet.,6986.93,,GBP,4881.24,,,1,N,0,CHQ,,202411,,INV91885,,PO3712,,S1,,1,,,,RULE1,,2026-03-11,T,
HOC,CHOC0006,AR530816,1,PINV,2025-01-16,2025-01-16,2025-04-16,Eius veritatis in rerum iusto quibusdam.,36119.49,,GBP,8102.65,,,1,N,0,INT,,202501,,INV68841,,PO4833,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0031,AR424500,1,DINV,2025-08-18,2025-08-18,2025-09-17,Voluptatum expedita officiis.,18708.13,,GBP,4532.9,,,1,N,0,DD,,202508,,INV46932,,PO7256,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0068,AR538997,1,DINV,2023-11-28,2023-11-28,2023-12-28,Quidem veniam dicta.,40162.33,,GBP,35715.6,,,1,N,0,BACS,,202311,,INV94040,,PO8873,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0071,AR207573,1,DINV,2025-11-22,2025-11-22,2025-12-22,Numquam dolores labore.,14610.62,,GBP,5690.93,,,1,N,0,DD,,202511,,INV77286,,PO3414,,S1,,1,,,,RULE1,,2026-03-11,T,
HOC,CHOC0012,AR332823,1,DINV,2025-07-12,2025-07-12,2025-09-10,Natus dolor praesentium quisquam.,46558.36,,GBP,31104.82,,,1,N,0,INT,,202507,,INV40903,,PO7326,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0048,AR335445,1,PINV,2023-02-27,2023-02-27,2023-04-28,Non vitae quaerat quod.,46575.88,,GBP,15307.58,,,1,N,0,INT,,202302,,INV29142,,PO3254,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0037,AR970068,1,DINV,2025-08-25,2025-08-25,2025-11-23,Vitae autem ad est.,41639.97,,GBP,16361.47,,,1,N,0,DD,,202508,,INV90654,,PO1086,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0003,AR368355,1,PINV,2024-03-17,2024-03-17,2024-04-16,Id quaerat asperiores porro occaecati aut.,27665.81,,GBP,11570.18,,,1,N,0,DD,,202403,,INV24573,,PO5720,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0039,AR227767,1,DINV,2023-04-08,2023-04-08,2023-05-08,Sed nobis commodi voluptates quos.,21281.36,,GBP,7765.16,,,1,N,0,BACS,,202304,,INV24530,,PO9189,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0069,AR117233,1,DINV,2025-11-21,2025-11-21,2026-02-19,Minus optio architecto officia accusamus in.,12475.94,,GBP,11042.94,,,1,N,0,BACS,,202511,,INV90584,,PO6780,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0074,AR536802,1,DINV,2024-01-19,2024-01-19,2024-04-18,Autem vero odio repudiandae provident ipsa quasi.,33576.64,,GBP,19515.16,,,1,N,0,BACS,,202401,,INV78951,,PO9914,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0065,AR681070,1,DINV,2023-02-11,2023-02-11,2023-04-12,Nulla ullam quo iure repudiandae.,43729.91,,GBP,42206.9,,,1,N,0,INT,,202302,,INV43246,,PO1266,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0009,AR461551,1,PINV,2024-05-08,2024-05-08,2024-08-06,Eaque sequi rerum assumenda sunt doloribus iure nostrum.,33026.67,,GBP,30287.73,,,1,N,0,INT,,202405,,INV27486,,PO1726,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0070,AR454992,1,PINV,2023-12-25,2023-12-25,2024-03-24,Excepturi laudantium eveniet laborum explicabo ea.,23498.83,,GBP,10426.16,,,1,N,0,CHQ,,202312,,INV27675,,PO2033,,S1,,1,,,,RULE1,,2026-03-11,T,
HOC,CHOC0005,AR407696,1,DINV,2024-02-17,2024-02-17,2024-03-18,Sunt praesentium eius ab veniam.,39659.91,,GBP,11555.62,,,1,N,0,INT,,202402,,INV77552,,PO7524,,S1,,2,,,,RULE1,,2026-03-11,T,
HOC,CHOC0061,AR365618,1,SINV,2023-03-16,2023-03-16,2023-06-14,Dolores illo nam dolores.,9959.62,,GBP,7115.36,,,1,N,0,INT,,202303,,INV45811,,PO3039,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0056,AR519453,1,PINV,2025-06-19,2025-06-19,2025-08-18,Officia laudantium recusandae at dolore porro esse.,17282.31,,GBP,14699.4,,,1,N,0,DD,,202506,,INV58148,,PO9507,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0011,AR862400,1,SINV,2025-05-19,2025-05-19,2025-06-18,Fuga mollitia exercitationem voluptatum mollitia explicabo iste esse.,21815.05,,GBP,4448.56,,,1,N,0,INT,,202505,,INV52101,,PO2680,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0042,AR793024,1,SINV,2024-08-28,2024-08-28,2024-10-27,Blanditiis deserunt blanditiis modi quis.,22572.83,,GBP,9613.08,,,1,N,0,DD,,202408,,INV56077,,PO8325,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0046,AR744718,1,SINV,2025-06-09,2025-06-09,2025-08-08,Deleniti qui eius nihil.,32153.73,,GBP,11794.56,,,1,N,0,BACS,,202506,,INV97973,,PO7655,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0066,AR940010,1,DINV,2023-11-24,2023-11-24,2023-12-24,Nisi voluptatem rerum eos facere esse provident.,7567.58,,GBP,3889.29,,,1,N,0,BACS,,202311,,INV26545,,PO2101,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0047,AR479742,1,DINV,2025-02-23,2025-02-23,2025-05-24,Earum voluptate mollitia possimus.,2103.07,,GBP,1844.92,,,1,N,0,INT,,202502,,INV58760,,PO8273,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0074,AR244383,1,SINV,2025-12-20,2025-12-20,2026-02-18,Odit quidem aut accusamus.,20202.69,,GBP,9704.39,,,1,N,0,BACS,,202512,,INV13396,,PO4048,,S1,,1,,,,RULE1,,2026-03-11,T,
HOC,CHOC0067,AR505785,1,DINV,2026-02-24,2026-02-24,2026-03-26,Iusto ipsam delectus amet velit.,13457.95,,GBP,10655.58,,,1,N,0,CHQ,,202602,,INV90199,,PO5678,,S1,,1,,,,RULE1,,2026-03-11,T,
HOC,CHOC0026,AR228594,1,DINV,2023-10-05,2023-10-05,2023-11-04,Beatae aperiam laudantium neque placeat corrupti repellat.,22876.11,,GBP,6429.49,,,1,N,0,BACS,,202310,,INV99381,,PO6236,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0009,AR676713,1,PINV,2026-01-15,2026-01-15,2026-03-16,Assumenda dolorum nam impedit nisi.,44620.92,,GBP,14230.07,,,1,N,0,CHQ,,202601,,INV57381,,PO9335,,S1,,0,,,,RULE1,,2026-03-11,T,
HOC,CHOC0016,AR310743,1,PINV,2023-10-12,2023-10-12,2023-11-11,Dolorem minima ipsum ipsam similique voluptatibus esse numquam.,39623.47,,GBP,38790.3,,,1,N,0,INT,,202310,,INV71263,,PO3126,,S1,,2,,,,RULE1,,2026-03-11,T,
