client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_flag,pay_method,payment_date,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,rem_level,remind_date,collect_status,collect_agency,intrule_id,int_status,last_update,wf_state,_edge_case
HOL,CHOL0010,AR182954,1,DINV,2023-11-28,2023-11-28,2024-01-27,A mollitia ut illum.,11796.79,,GBP,8806.27,,,1,N,0,INT,,202311,,INV89349,,PO7479,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0057,AR918910,1,DINV,2025-01-13,2025-01-13,2025-04-13,Labore dicta vitae eum officia tenetur at.,29552.53,,GBP,6725.54,,,1,N,0,CHQ,,202501,,INV34102,,PO1378,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0031,AR794180,1,SINV,2024-05-30,2024-05-30,2024-08-28,Doloremque qui sed alias ullam in saepe.,35184.5,,GBP,32930.87,,,1,N,0,DD,,202405,,INV23501,,PO2565,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0061,AR675074,1,SINV,2023-04-21,2023-04-21,2023-05-21,Voluptatum id libero.,38661.22,,GBP,22454.97,,,1,N,0,BACS,,202304,,INV44400,,PO3544,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0050,AR424398,1,SINV,2024-04-14,2024-04-14,2024-05-14,Soluta ab necessitatibus autem voluptatem.,37010.86,,GBP,23889.46,,,1,N,0,CHQ,,202404,,INV79041,,PO3795,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0005,AR795781,1,PINV,2024-12-31,2024-12-31,2025-03-01,Iste odit minima suscipit consequatur.,43279.94,,GBP,27103.86,,,1,N,0,INT,,202412,,INV81898,,PO8288,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0070,AR285636,1,DINV,2025-07-24,2025-07-24,2025-10-22,Iusto deserunt beatae cum itaque ducimus delectus.,37571.12,,GBP,11202.39,,,1,N,0,INT,,202507,,INV55504,,PO8891,,S1,,2,,,,RULE1,,2026-03-11,T,
HOL,CHOL0030,AR943797,1,SINV,2023-07-03,2023-07-03,2023-09-01,Ratione necessitatibus quidem cupiditate sequi tempore.,15739.48,,GBP,10549.18,,,1,N,0,INT,,202307,,INV11383,,PO1001,,S1,,2,,,,RULE1,,2026-03-11,T,
HOL,CHOL0018,AR460589,1,DINV,2024-08-10,2024-08-10,2024-10-09,Maiores assumenda pariatur delectus consequuntur eum.,26987.39,,GBP,12138.5,,,1,N,0,DD,,202408,,INV49270,,PO1149,,S1,,1,,,,RULE1,,2026-03-11,T,
HOL,CHOL0038,AR726003,1,PINV,2024-04-18,2024-04-18,2024-05-18,Ab fugit ipsum eaque eveniet.,27636.5,,GBP,23467.35,,,1,N,0,DD,,202404,,INV61740,,PO5094,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0050,AR968668,1,SINV,2025-02-13,2025-02-13,2025-03-15,Quam accusamus officiis possimus aperiam blanditiis esse illo.,13517.52,,GBP,8951.42,,,1,N,0,INT,,202502,,INV47313,,PO9715,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0053,AR297132,1,DINV,2023-05-21,2023-05-21,2023-06-20,Unde suscipit quo porro odit velit facilis.,7262.89,,GBP,6621.69,,,1,N,0,DD,,202305,,INV45669,,PO9060,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0042,AR120337,1,SINV,2023-11-08,2023-11-08,2023-12-08,Dolor consequatur corrupti quibusdam non.,48500.95,,GBP,47642.25,,,1,N,0,INT,,202311,,INV45283,,PO3048,,S1,,1,,,,RULE1,,2026-03-11,T,
HOL,CHOL0002,AR344119,1,DINV,2023-07-04,2023-07-04,2023-08-03,Praesentium totam quidem reiciendis repudiandae quis.,1228.88,,GBP,1015.36,,,1,N,0,INT,,202307,,INV75325,,PO7084,,S1,,1,,,,RULE1,,2026-03-11,T,
HOL,CHOL0005,AR446290,1,SINV,2023-06-14,2023-06-14,2023-07-14,Sit aspernatur ipsum provident aspernatur natus aperiam molestias.,3273.9,,GBP,1242.37,,,1,N,0,DD,,202306,,INV33803,,PO4148,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0049,AR968485,1,DINV,2023-01-26,2023-01-26,2023-02-25,Dicta modi cum sequi ipsam perspiciatis quaerat.,48742.63,,GBP,20874.23,,,1,N,0,DD,,202301,,INV42396,,PO1549,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0059,AR871041,1,DINV,2023-07-12,2023-07-12,2023-10-10,At magni repellat iste maiores itaque animi.,33467.39,,GBP,27886.44,,,1,N,0,INT,,202307,,INV52344,,PO3598,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0071,AR646230,1,DINV,2023-09-08,2023-09-08,2023-11-07,Perferendis est accusantium ducimus a dolor asperiores.,24320.86,,GBP,18506.95,,,1,N,0,BACS,,202309,,INV97385,,PO4568,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0031,AR763653,1,PINV,2025-06-08,2025-06-08,2025-08-07,Exercitationem aperiam voluptatibus vel architecto ut.,1245.85,,GBP,454.1,,,1,N,0,BACS,,202506,,INV61879,,PO4982,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0006,AR709303,1,SINV,2025-08-31,2025-08-31,2025-11-29,Enim debitis consequatur.,30012.51,,GBP,21095.23,,,1,N,0,CHQ,,202508,,INV30669,,PO9190,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0080,AR454861,1,PINV,2023-05-03,2023-05-03,2023-06-02,Fugiat tempora ipsum totam fugiat aspernatur.,18098.12,,GBP,15869.61,,,1,N,0,BACS,,202305,,INV26492,,PO8992,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0041,AR685472,1,DINV,2024-12-12,2024-12-12,2025-02-10,Consequatur similique blanditiis voluptatibus hic consectetur voluptatem.,36792.85,,GBP,36164.34,,,1,N,0,INT,,202412,,INV27659,,PO5107,,S1,,0,,,,RULE1,,2026-03-11,T,
HOL,CHOL0063,AR840951,1,SINV,2025-06-15,2025-06-15,2025-09-13,Quidem voluptatem iure.,15088.37,,GBP,6674.64,,,1,N,0,CHQ,,202506,,INV81253,,PO6696,,S1,,0,,,,RULE1,,2026-03-11,T,
