client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
HOC,CHOC0012,ARH560398,1,SINV,2025-03-03,2025-03-03,C,23313.82,0.0,GBP,,
HOC,CHOC0027,ARH950083,1,PINV,2025-10-28,2025-10-28,C,25859.25,0.0,GBP,,
HOC,CHOC0081,ARH548965,1,SINV,2025-04-21,2025-04-21,C,18561.31,0.0,GBP,,
HOC,CHOC0027,ARH944565,1,PINV,2025-01-02,2025-01-02,C,17188.22,0.0,GBP,,
HOC,CHOC0036,ARH725850,1,PINV,2025-04-24,2025-04-24,C,9844.88,0.0,GBP,,
HOC,CHOC0038,ARH403387,1,PINV,2025-08-03,2025-08-03,C,28581.44,0.0,GBP,,
HOC,CHOC0013,ARH242175,1,DINV,2025-12-29,2025-12-29,C,27579.31,0.0,GBP,,
HOC,CHOC0017,ARH835499,1,PINV,2025-03-18,2025-03-18,C,7640.38,0.0,GBP,,
HOC,CHOC0042,ARH968726,1,PINV,2025-07-14,2025-07-14,C,22891.91,0.0,GBP,,
HOC,CHOC0051,ARH613234,1,DINV,2025-03-28,2025-03-28,C,17407.28,0.0,GBP,,
HOC,CHOC0081,ARH534346,1,PINV,2025-11-22,2025-11-22,C,13669.35,0.0,GBP,,
HOC,CHOC0012,ARH522419,1,DINV,2025-08-14,2025-08-14,C,20902.17,0.0,GBP,,
HOC,CHOC0059,ARH611751,1,PINV,2025-10-04,2025-10-04,C,17542.28,0.0,GBP,,
HOC,CHOC0012,ARH866437,1,PINV,2026-02-15,2026-02-15,C,19118.25,0.0,GBP,,
HOC,CHOC0046,ARH991401,1,DINV,2025-01-06,2025-01-06,C,23911.2,0.0,GBP,,
HOC,CHOC0028,ARH550513,1,DINV,2025-06-07,2025-06-07,C,14942.51,0.0,GBP,,
HOC,CHOC0037,ARH454161,1,DINV,2025-03-16,2025-03-16,C,17071.03,0.0,GBP,,
HOC,CHOC0044,ARH815707,1,PINV,2024-12-22,2024-12-22,C,1569.1,0.0,GBP,,
HOC,CHOC0059,ARH117072,1,SINV,2025-03-10,2025-03-10,C,27897.1,0.0,GBP,,
HOC,CHOC0057,ARH578693,1,DINV,2024-11-03,2024-11-03,C,29756.78,0.0,GBP,,
HOC,CHOC0026,ARH822040,1,DINV,2025-03-18,2025-03-18,C,26488.0,0.0,GBP,,
HOC,CHOC0021,ARH387330,1,DINV,2025-02-06,2025-02-06,C,19706.72,0.0,GBP,,
