client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
HOL,CHOL0013,ARH367747,1,PINV,2025-12-08,2025-12-08,C,13941.04,0.0,GBP,,
HOL,CHOL0031,ARH869983,1,PINV,2025-05-21,2025-05-21,C,15694.58,0.0,GBP,,
HOL,CHOL0024,ARH428487,1,SINV,2024-11-13,2024-11-13,C,20249.5,0.0,GBP,,
HOL,CHOL0002,ARH531225,1,PINV,2025-02-11,2025-02-11,C,15852.88,0.0,GBP,,
HOL,CHOL0058,ARH468591,1,DINV,2025-06-15,2025-06-15,C,21812.47,0.0,GBP,,
HOL,CHOL0025,ARH135695,1,SINV,2024-11-27,2024-11-27,C,18658.04,0.0,GBP,,
HOL,CHOL0077,ARH788500,1,PINV,2025-06-13,2025-06-13,C,28524.57,0.0,GBP,,
HOL,CHOL0016,ARH842470,1,PINV,2025-03-05,2025-03-05,C,2774.31,0.0,GBP,,
HOL,CHOL0017,ARH494220,1,PINV,2025-05-11,2025-05-11,C,26900.85,0.0,GBP,,
HOL,CHOL0024,ARH365641,1,SINV,2025-08-31,2025-08-31,C,14115.28,0.0,GBP,,
HOL,CHOL0082,ARH575470,1,PINV,2025-08-13,2025-08-13,C,23126.9,0.0,GBP,,
HOL,CHOL0042,ARH369836,1,DINV,2025-04-17,2025-04-17,C,23465.79,0.0,GBP,,
HOL,CHOL0008,ARH501393,1,SINV,2025-12-05,2025-12-05,C,10113.11,0.0,GBP,,
HOL,CHOL0034,ARH952283,1,SINV,2025-08-01,2025-08-01,C,5502.3,0.0,GBP,,
HOL,CHOL0063,ARH310416,1,DINV,2025-12-10,2025-12-10,C,5517.58,0.0,GBP,,
HOL,CHOL0014,ARH250861,1,PINV,2026-01-18,2026-01-18,C,6707.92,0.0,GBP,,
HOL,CHOL0014,ARH563031,1,SINV,2025-07-26,2025-07-26,C,3277.96,0.0,GBP,,
HOL,CHOL0010,ARH699098,1,SINV,2025-07-17,2025-07-17,C,23361.67,0.0,GBP,,
HOL,CHOL0064,ARH256085,1,PINV,2024-11-03,2024-11-03,C,28000.23,0.0,GBP,,
HOL,CHOL0050,ARH379378,1,DINV,2025-04-07,2025-04-07,C,21061.64,0.0,GBP,,
HOL,CHOL0074,ARH103883,1,DINV,2026-03-20,2026-03-20,C,14448.55,0.0,GBP,,
HOL,CHOL0009,ARH666366,1,PINV,2025-06-22,2025-06-22,C,298.56,0.0,GBP,,
HOL,CHOL0062,ARH227091,1,DINV,2025-11-05,2025-11-05,C,10136.5,0.0,GBP,,
HOL,CHOL0052,ARH157875,1,DINV,2025-02-03,2025-02-03,C,11087.59,0.0,GBP,,
HOL,CHOL0011,ARH982042,1,DINV,2026-02-16,2026-02-16,C,22861.5,0.0,GBP,,
HOL,CHOL0026,ARH285197,1,PINV,2024-12-13,2024-12-13,C,29031.89,0.0,GBP,,
HOL,CHOL0025,ARH413388,1,PINV,2025-12-07,2025-12-07,C,26914.53,0.0,GBP,,
HOL,CHOL0046,ARH610135,1,DINV,2025-01-28,2025-01-28,C,26579.38,0.0,GBP,,
HOL,CHOL0025,ARH246740,1,PINV,2024-12-09,2024-12-09,C,5954.16,0.0,GBP,,
HOL,CHOL0076,ARH350069,1,PINV,2026-03-18,2026-03-18,C,11785.27,0.0,GBP,,
HOL,CHOL0040,ARH623956,1,SINV,2026-02-06,2026-02-06,C,29003.91,0.0,GBP,,
HOL,CHOL0005,ARH455766,1,PINV,2024-12-30,2024-12-30,C,10264.01,0.0,GBP,,
HOL,CHOL0006,ARH525205,1,PINV,2025-03-04,2025-03-04,C,6508.01,0.0,GBP,,
