client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_flag,pay_method,payment_date,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,rem_level,remind_date,collect_status,collect_agency,intrule_id,int_status,last_update,wf_state,_edge_case
HOL,CHOL0061,AR944804,1,PINV,2023-01-20,2023-01-20,2023-02-19,A mollitia ut illum.,21365.27,,GBP,19066.85,,,1,N,0,INT,,202301,,INV73782,,PO5915,,S1,,0,,,,RULE1,,2026-05-05,T,
HOL,CHOL0072,AR695417,1,SINV,2023-04-08,2023-04-08,2023-06-07,Labore dicta vitae eum officia tenetur at.,5399.25,,GBP,4693.71,,,1,N,0,INT,,202304,,INV72460,,PO2577,,S1,,1,,,,RULE1,,2026-05-05,T,
HOL,CHOL0043,AR372387,1,DINV,2025-01-09,2025-01-09,2025-03-10,Doloremque qui sed alias ullam in saepe.,28237.33,,GBP,7187.09,,,1,N,0,INT,,202501,,INV12599,,PO7746,,S1,,0,,,,RULE1,,2026-05-05,T,
HOL,CHOL0045,AR812597,1,SINV,2024-02-12,2024-02-12,2024-05-12,Voluptatum id libero.,29006.78,,GBP,13943.42,,,1,N,0,INT,,202402,,INV56544,,PO6326,,S1,,2,,,,RULE1,,2026-05-05,T,
HOL,CHOL0063,AR912378,1,PINV,2025-07-04,2025-07-04,2025-08-03,Soluta ab necessitatibus autem voluptatem.,19363.01,,GBP,14924.64,,,1,N,0,CHQ,,202507,,INV31964,,PO6527,,S1,,1,,,,RULE1,,2026-05-05,T,
HOL,CHOL0081,AR742053,1,SINV,2026-03-16,2026-03-16,2026-05-15,Iste odit minima suscipit consequatur.,42520.59,,GBP,40093.72,,,1,N,0,INT,,202603,,INV39912,,PO6136,,S1,,0,,,,RULE1,,2026-05-05,T,
HOL,CHOL0038,AR844943,1,DINV,2024-07-01,2024-07-01,2024-09-29,Iusto deserunt beatae cum itaque ducimus delectus.,32409.89,,GBP,25376.99,,,1,N,0,INT,,202407,,INV86928,,PO9535,,S1,,1,,,,RULE1,,2026-05-05,T,
HOL,CHOL0053,AR275445,1,DINV,2024-01-12,2024-01-12,2024-02-11,Ratione necessitatibus quidem cupiditate sequi tempore.,6689.48,,GBP,5433.85,,,1,N,0,BACS,,202401,,INV37600,,PO3734,,S1,,1,,,,RULE1,,2026-05-05,T,
HOL,CHOL0014,AR200195,1,DINV,2023-05-11,2023-05-11,2023-07-10,Maiores assumenda pariatur delectus consequuntur eum.,27647.47,,GBP,27064.33,,,1,N,0,BACS,,202305,,INV23622,,PO5300,,S1,,2,,,,RULE1,,2026-05-05,T,
HOL,CHOL0020,AR188406,1,DINV,2025-03-09,2025-03-09,2025-05-08,Ab fugit ipsum eaque eveniet.,11853.12,,GBP,4858.9,,,1,N,0,CHQ,,202503,,INV27206,,PO9630,,S1,,0,,,,RULE1,,2026-05-05,T,
HOL,CHOL0004,AR136862,1,PINV,2024-12-31,2024-12-31,2025-03-01,Quam accusamus officiis possimus aperiam blanditiis esse illo.,43279.94,,GBP,27103.86,,,1,N,0,INT,,202412,,INV81898,,PO8288,,S1,,0,,,,RULE1,,2026-05-05,T,
HOL,CHOL0070,AR285636,1,PINV,2026-04-25,2026-04-25,2026-07-24,Unde suscipit quo porro odit velit facilis.,23098.9,,GBP,9259.67,,,1,N,0,DD,,202604,,INV78610,,PO9745,,S1,,0,,,,RULE1,,2026-05-05,T,
