client,account,description,account_grp,account_type,status,res_bal,bflag,account_rule,period_from,period_to,last_update,head_account
HOC,1000,Cash and Bank 01,GRP1,GL,N,B,0,2,125,1225,2026-03-24,
HOC,1001,Cash and Bank 02,GRP1,GL,N,B,0,5,125,1225,2025-12-01,
HOC,1002,Cash and Bank 03,GRP1,GL,N,B,0,4,125,1225,2026-01-24,
HOC,1003,Cash and Bank 04,GRP1,GL,N,B,0,2,125,1225,2025-06-30,
HOC,1004,Cash and Bank 05,GRP1,GL,N,B,0,2,125,1225,2025-06-07,
HOC,1005,Cash and Bank 06,GRP1,GL,N,B,0,7,125,1225,2026-03-20,
HOC,1006,Cash and Bank 07,GRP1,GL,N,B,0,1,125,1225,2026-02-17,
HOC,1007,Cash and Bank 08,GRP1,GL,N,B,0,4,125,1225,2025-12-07,
HOC,1008,Cash and Bank 09,GRP1,GL,N,B,0,9,125,1225,2025-06-01,
HOC,1009,Cash and Bank 10,GRP1,GL,N,B,0,1,125,1225,2025-06-22,
HOC,1100,Accounts Receivable 01,GRP1,GL,N,B,7,4,125,1225,2025-05-08,
HOC,1101,Accounts Receivable 02,GRP1,GL,N,B,7,9,125,1225,2025-09-03,
HOC,1102,Accounts Receivable 03,GRP1,GL,N,B,7,4,125,1225,2025-08-19,
HOC,1103,Accounts Receivable 04,GRP1,GL,N,B,7,10,125,1225,2025-11-14,
HOC,1104,Accounts Receivable 05,GRP1,GL,N,B,7,1,125,1225,2026-01-14,
HOC,1105,Accounts Receivable 06,GRP1,GL,N,B,7,7,125,1225,2025-10-13,
HOC,1106,Accounts Receivable 07,GRP1,GL,N,B,7,5,125,1225,2026-01-16,
HOC,1107,Accounts Receivable 08,GRP1,GL,N,B,7,4,125,1225,2025-10-15,
HOC,1200,Prepayments 01,GRP1,GL,N,B,9,2,125,1225,2026-02-17,
HOC,1201,Prepayments 02,GRP1,GL,N,B,9,7,125,1225,2026-02-15,
HOC,1202,Prepayments 03,GRP1,GL,N,B,9,6,125,1225,2025-10-11,
HOC,1203,Prepayments 04,GRP1,GL,N,B,9,10,125,1225,2025-11-21,
HOC,1204,Prepayments 05,GRP1,GL,N,B,9,1,125,1225,2025-08-13,
HOC,1205,Prepayments 06,GRP1,GL,N,B,9,9,125,1225,2026-02-01,
HOC,2000,Accounts Payable 01,GRP2,GL,N,B,7,7,125,1225,2026-02-24,
HOC,2001,Accounts Payable 02,GRP2,GL,N,B,7,9,125,1225,2025-11-06,
HOC,2002,Accounts Payable 03,GRP2,GL,N,B,7,10,125,1225,2025-10-02,
HOC,2003,Accounts Payable 04,GRP2,GL,N,B,7,10,125,1225,2025-12-28,
HOC,2004,Accounts Payable 05,GRP2,GL,N,B,7,2,125,1225,2026-03-13,
HOC,2005,Accounts Payable 06,GRP2,GL,N,B,7,4,125,1225,2025-11-08,
HOC,2006,Accounts Payable 07,GRP2,GL,N,B,7,2,125,1225,2025-12-07,
HOC,2007,Accounts Payable 08,GRP2,GL,N,B,7,2,125,1225,2025-09-23,
HOC,2100,Accruals 01,GRP2,GL,N,B,0,5,125,1225,2025-08-16,
HOC,2101,Accruals 02,GRP2,GL,N,B,0,6,125,1225,2026-01-12,
HOC,2102,Accruals 03,GRP2,GL,N,B,0,6,125,1225,2025-10-06,
HOC,2103,Accruals 04,GRP2,GL,N,B,0,4,125,1225,2025-11-20,
HOC,2104,Accruals 05,GRP2,GL,N,B,0,2,125,1225,2025-05-29,
HOC,2105,Accruals 06,GRP2,GL,N,B,0,3,125,1225,2025-07-06,
HOC,3000,Capital 01,GRP3,GL,N,B,0,4,125,1225,2026-01-12,
HOC,3001,Capital 02,GRP3,GL,N,B,0,8,125,1225,2025-09-23,
HOC,3002,Capital 03,GRP3,GL,N,B,0,5,125,1225,2025-05-13,
HOC,3003,Capital 04,GRP3,GL,N,B,0,9,125,1225,2025-12-14,
HOC,3004,Capital 05,GRP3,GL,N,B,0,6,125,1225,2026-03-08,
HOC,3005,Capital 06,GRP3,GL,N,B,0,4,125,1225,2026-03-20,
HOC,3100,Reserves 01,GRP3,GL,N,B,0,6,125,1225,2025-09-12,
HOC,3101,Reserves 02,GRP3,GL,N,B,0,5,125,1225,2026-03-03,
HOC,3102,Reserves 03,GRP3,GL,N,B,0,4,125,1225,2025-06-19,
HOC,3103,Reserves 04,GRP3,GL,N,B,0,6,125,1225,2025-12-18,
HOC,3104,Reserves 05,GRP3,GL,N,B,0,8,125,1225,2025-09-15,
HOC,3105,Reserves 06,GRP3,GL,N,B,0,8,125,1225,2026-01-22,
HOC,5000,Staff Costs 01,GRP5,GL,N,R,0,5,125,1225,2026-01-24,
HOC,5001,Staff Costs 02,GRP5,GL,N,R,0,4,125,1225,2025-06-22,
HOC,5002,Staff Costs 03,GRP5,GL,N,R,0,9,125,1225,2025-11-22,
HOC,5003,Staff Costs 04,GRP5,GL,N,R,0,10,125,1225,2025-08-29,
HOC,5004,Staff Costs 05,GRP5,GL,N,R,0,10,125,1225,2025-09-13,
HOC,5005,Staff Costs 06,GRP5,GL,N,R,0,6,125,1225,2025-12-14,
HOC,5006,Staff Costs 07,GRP5,GL,N,R,0,3,125,1225,2025-07-19,
HOC,5007,Staff Costs 08,GRP5,GL,N,R,0,8,125,1225,2026-02-18,
HOC,5008,Staff Costs 09,GRP5,GL,N,R,0,1,125,1225,2026-02-08,
HOC,5009,Staff Costs 10,GRP5,GL,N,R,0,3,125,1225,2025-05-19,
HOC,5100,Premises 01,GRP5,GL,N,R,0,3,125,1225,2025-09-01,
HOC,5101,Premises 02,GRP5,GL,N,R,0,10,125,1225,2026-03-04,
HOC,5102,Premises 03,GRP5,GL,N,R,0,7,125,1225,2025-09-22,
HOC,5103,Premises 04,GRP5,GL,N,R,0,10,125,1225,2025-08-09,
HOC,5104,Premises 05,GRP5,GL,N,R,0,9,125,1225,2025-11-28,
HOC,5105,Premises 06,GRP5,GL,N,R,0,9,125,1225,2026-03-31,
HOC,5106,Premises 07,GRP5,GL,N,R,0,2,125,1225,2025-07-05,
HOC,5107,Premises 08,GRP5,GL,N,R,0,5,125,1225,2025-05-12,
HOC,5200,IT and Technology 01,GRP5,GL,N,R,0,6,125,1225,2026-02-07,
HOC,5201,IT and Technology 02,GRP5,GL,N,R,0,5,125,1225,2025-08-26,
HOC,5202,IT and Technology 03,GRP5,GL,N,R,0,3,125,1225,2025-08-16,
HOC,5203,IT and Technology 04,GRP5,GL,N,R,0,1,125,1225,2025-11-22,
HOC,5204,IT and Technology 05,GRP5,GL,N,R,0,9,125,1225,2026-01-04,
HOC,5205,IT and Technology 06,GRP5,GL,N,R,0,9,125,1225,2026-02-10,
HOC,5300,Professional Services 01,GRP5,GL,N,R,0,5,125,1225,2025-05-13,
HOC,5301,Professional Services 02,GRP5,GL,N,R,0,9,125,1225,2025-05-29,
HOC,5302,Professional Services 03,GRP5,GL,N,R,0,4,125,1225,2026-01-17,
HOC,5303,Professional Services 04,GRP5,GL,N,R,0,6,125,1225,2026-01-13,
HOC,5304,Professional Services 05,GRP5,GL,N,R,0,9,125,1225,2025-07-08,
HOC,5305,Professional Services 06,GRP5,GL,N,R,0,1,125,1225,2025-06-03,
HOC,9000,Income 01,GRP9,AR,N,R,0,6,125,1225,2025-07-29,
HOC,9001,Income 02,GRP9,AR,N,R,0,1,125,1225,2026-02-07,
HOC,9002,Income 03,GRP9,AR,N,R,0,6,125,1225,2025-10-30,
HOC,9003,Income 04,GRP9,AR,N,R,0,4,125,1225,2026-03-07,
HOC,9004,Income 05,GRP9,AR,N,R,0,4,125,1225,2025-06-19,
HOC,9005,Income 06,GRP9,AR,N,R,0,2,125,1225,2026-02-21,
HOC,9006,Income 07,GRP9,AR,N,R,0,8,125,1225,2026-03-01,
HOC,9007,Income 08,GRP9,AR,N,R,0,9,125,1225,2026-01-31,
HOC,9008,Income 09,GRP9,AR,N,R,0,3,125,1225,2025-08-05,
HOC,9009,Income 10,GRP9,AR,N,R,0,9,125,1225,2026-01-11,
HOL,1000,Cash and Bank 01,GRP1,GL,N,B,0,5,125,1225,2025-07-09,
HOL,1001,Cash and Bank 02,GRP1,GL,N,B,0,10,125,1225,2025-09-01,
HOL,1002,Cash and Bank 03,GRP1,GL,N,B,0,4,125,1225,2025-07-03,
HOL,1003,Cash and Bank 04,GRP1,GL,N,B,0,4,125,1225,2025-10-28,
HOL,1004,Cash and Bank 05,GRP1,GL,N,B,0,7,125,1225,2025-05-08,
HOL,1005,Cash and Bank 06,GRP1,GL,N,B,0,6,125,1225,2025-08-24,
HOL,1006,Cash and Bank 07,GRP1,GL,N,B,0,9,125,1225,2025-08-17,
HOL,1007,Cash and Bank 08,GRP1,GL,N,B,0,2,125,1225,2025-11-30,
HOL,1008,Cash and Bank 09,GRP1,GL,N,B,0,4,125,1225,2026-03-04,
HOL,1009,Cash and Bank 10,GRP1,GL,N,B,0,6,125,1225,2026-03-26,
HOL,1100,Accounts Receivable 01,GRP1,GL,N,B,7,10,125,1225,2025-06-26,
HOL,1101,Accounts Receivable 02,GRP1,GL,N,B,7,4,125,1225,2025-06-08,
HOL,1102,Accounts Receivable 03,GRP1,GL,N,B,7,4,125,1225,2026-04-02,
HOL,1103,Accounts Receivable 04,GRP1,GL,N,B,7,2,125,1225,2025-05-17,
HOL,1104,Accounts Receivable 05,GRP1,GL,N,B,7,1,125,1225,2025-12-09,
HOL,1105,Accounts Receivable 06,GRP1,GL,N,B,7,2,125,1225,2026-03-20,
HOL,1106,Accounts Receivable 07,GRP1,GL,N,B,7,6,125,1225,2026-02-28,
