client,attribute_id,dim_value,description,status,period_from,period_to,rel_value,last_update,wf_state
HOC,COSTC,CC100,Cost Centre CC100,N,125,1225,DEPT_D,2026-03-10,
HOC,COSTC,CC101,Cost Centre CC101,N,125,1225,DEPT_D,2026-03-14,
HOC,COSTC,CC102,Cost Centre CC102,N,125,1225,DEPT_C,2025-05-14,T
HOC,COSTC,CC103,Cost Centre CC103,C,125,1225,DEPT_B,2025-06-27,T
HOC,COSTC,CC104,Cost Centre CC104,N,125,1225,DEPT_A,2026-02-26,T
HOC,COSTC,CC105,Cost Centre CC105,N,125,1225,DEPT_A,2025-06-11,W
HOC,COSTC,CC106,Cost Centre CC106,C,125,1225,DEPT_B,2026-01-30,
HOC,COSTC,CC107,Cost Centre CC107,N,125,1225,DEPT_C,2026-03-16,T
HOC,COSTC,CC108,Cost Centre CC108,N,125,1225,DEPT_B,2026-02-12,T
HOC,COSTC,CC109,Cost Centre CC109,N,125,1225,DEPT_D,2025-12-05,T
HOC,COSTC,CC110,Cost Centre CC110,C,125,1225,DEPT_B,2026-03-24,T
HOC,COSTC,CC111,Cost Centre CC111,C,125,1225,DEPT_C,2025-11-29,T
HOC,COSTC,CC112,Cost Centre CC112,N,125,1225,DEPT_B,2025-09-22,
HOC,COSTC,CC113,Cost Centre CC113,N,125,1225,DEPT_D,2025-12-24,T
HOC,COSTC,CC114,Cost Centre CC114,N,125,1225,DEPT_C,2025-12-10,T
HOC,COSTC,CC115,Cost Centre CC115,N,125,1225,DEPT_A,2025-09-13,T
HOC,COSTC,CC116,Cost Centre CC116,N,125,1225,DEPT_C,2025-11-14,T
HOC,COSTC,CC117,Cost Centre CC117,N,125,1225,DEPT_D,2026-03-22,
HOC,COSTC,CC118,Cost Centre CC118,N,125,1225,DEPT_C,2025-06-12,T
HOC,COSTC,CC119,Cost Centre CC119,N,125,1225,DEPT_A,2025-06-04,T
HOC,COSTC,CC120,Cost Centre CC120,N,125,1225,DEPT_C,2025-08-25,W
HOC,COSTC,CC121,Cost Centre CC121,C,125,1225,DEPT_A,2025-06-14,T
HOC,COSTC,CC122,Cost Centre CC122,N,125,1225,DEPT_C,2025-08-25,
HOC,COSTC,CC123,Cost Centre CC123,N,125,1225,DEPT_B,2025-08-28,
HOC,COSTC,CC124,Cost Centre CC124,N,125,1225,DEPT_C,2026-02-01,T
HOC,COSTC,CC125,Cost Centre CC125,C,125,1225,DEPT_C,2025-10-20,T
HOC,COSTC,CC126,Cost Centre CC126,N,125,1225,DEPT_C,2025-12-28,T
HOC,COSTC,CC127,Cost Centre CC127,N,125,1225,DEPT_D,2025-05-25,W
HOC,COSTC,CC128,Cost Centre CC128,C,125,1225,DEPT_C,2025-06-29,
HOC,COSTC,CC129,Cost Centre CC129,N,125,1225,DEPT_C,2025-12-19,T
HOC,SUBJ,S100,Subjective S100,N,125,1225,,2025-08-10,T
HOC,SUBJ,S101,Subjective S101,C,125,1225,,2025-12-17,W
HOC,SUBJ,S102,Subjective S102,C,125,1225,,2026-01-09,
HOC,SUBJ,S103,Subjective S103,N,125,1225,,2025-07-16,W
HOC,SUBJ,S104,Subjective S104,N,125,1225,,2026-02-17,T
HOC,SUBJ,S105,Subjective S105,N,125,1225,,2025-12-11,T
HOC,SUBJ,S106,Subjective S106,N,125,1225,,2026-03-24,
HOC,SUBJ,S107,Subjective S107,N,125,1225,,2025-08-05,W
HOC,SUBJ,S108,Subjective S108,N,125,1225,,2025-08-15,T
HOC,SUBJ,S109,Subjective S109,N,125,1225,,2025-09-21,T
HOC,SUBJ,S110,Subjective S110,C,125,1225,,2025-12-02,T
HOC,SUBJ,S111,Subjective S111,N,125,1225,,2026-02-10,T
HOC,SUBJ,S112,Subjective S112,N,125,1225,,2026-01-05,W
HOC,SUBJ,S113,Subjective S113,C,125,1225,,2026-03-11,W
HOC,SUBJ,S114,Subjective S114,N,125,1225,,2026-02-02,T
HOC,SUBJ,S115,Subjective S115,N,125,1225,,2025-08-11,W
HOC,SUBJ,S116,Subjective S116,N,125,1225,,2025-08-22,W
HOC,SUBJ,S117,Subjective S117,C,125,1225,,2025-06-29,T
HOC,SUBJ,S118,Subjective S118,N,125,1225,,2025-08-05,T
HOC,SUBJ,S119,Subjective S119,N,125,1225,,2025-11-30,T
HOC,SUBJ,S120,Subjective S120,C,125,1225,,2025-05-20,T
HOC,SUBJ,S121,Subjective S121,N,125,1225,,2025-08-23,
HOC,SUBJ,S122,Subjective S122,N,125,1225,,2025-12-06,T
HOC,SUBJ,S123,Subjective S123,N,125,1225,,2025-10-24,W
HOC,SUBJ,S124,Subjective S124,N,125,1225,,2026-01-25,T
HOC,ANL1,A110,Programme A110,N,125,1225,,2025-09-21,T
HOC,ANL1,A111,Programme A111,N,125,1225,,2026-03-04,T
HOC,ANL1,A112,Programme A112,C,125,1225,,2025-10-18,W
HOC,ANL1,A113,Programme A113,C,125,1225,,2025-09-05,
HOC,ANL1,A114,Programme A114,N,125,1225,,2025-09-02,T
HOC,ANL1,A115,Programme A115,N,125,1225,,2025-06-15,T
HOC,ANL1,A116,Programme A116,C,125,1225,,2026-04-02,T
HOC,ANL1,A117,Programme A117,N,125,1225,,2025-09-18,T
HOC,ANL1,A118,Programme A118,N,125,1225,,2025-07-30,T
HOC,ANL1,A119,Programme A119,N,125,1225,,2025-08-25,T
HOC,ANL1,A120,Programme A120,N,125,1225,,2025-09-18,T
HOC,ANL1,A121,Programme A121,C,125,1225,,2026-01-11,T
HOC,ANL1,A122,Programme A122,N,125,1225,,2025-05-22,W
HOC,ANL1,A123,Programme A123,N,125,1225,,2025-09-16,W
HOC,ANL1,A124,Programme A124,N,125,1225,,2026-02-22,T
HOC,ANL1,A125,Programme A125,N,125,1225,,2025-08-12,T
HOC,ANL1,A126,Programme A126,N,125,1225,,2025-11-23,T
HOC,ANL1,A127,Programme A127,N,125,1225,,2025-12-18,T
HOC,ANL1,A128,Programme A128,N,125,1225,,2025-10-15,T
HOC,ANL1,A129,Programme A129,N,125,1225,,2025-09-02,T
HOC,ANL2,A210,Project A210,N,125,1225,,2025-08-08,
HOC,ANL2,A211,Project A211,N,125,1225,,2025-10-08,T
HOC,ANL2,A212,Project A212,N,125,1225,,2025-05-07,
HOC,ANL2,A213,Project A213,N,125,1225,,2025-11-30,T
HOC,ANL2,A214,Project A214,N,125,1225,,2025-05-22,T
HOC,ANL2,A215,Project A215,N,125,1225,,2026-01-31,T
HOC,ANL2,A216,Project A216,N,125,1225,,2025-06-21,T
HOC,ANL2,A217,Project A217,C,125,1225,,2025-11-25,T
HOC,ANL2,A218,Project A218,N,125,1225,,2025-05-30,W
HOC,ANL2,A219,Project A219,N,125,1225,,2026-01-12,T
HOC,ANL2,A220,Project A220,N,125,1225,,2025-06-13,
HOC,ANL2,A221,Project A221,N,125,1225,,2025-06-15,T
HOC,ANL2,A222,Project A222,C,125,1225,,2025-12-25,
HOC,ANL2,A223,Project A223,N,125,1225,,2026-02-12,T
HOC,ANL2,A224,Project A224,N,125,1225,,2025-06-20,
HOL,COSTC,CC100,Cost Centre CC100,C,125,1225,DEPT_C,2025-09-28,
HOL,COSTC,CC101,Cost Centre CC101,N,125,1225,DEPT_C,2025-09-02,T
HOL,COSTC,CC102,Cost Centre CC102,C,125,1225,DEPT_A,2025-10-02,T
HOL,COSTC,CC103,Cost Centre CC103,C,125,1225,DEPT_B,2026-01-05,W
HOL,COSTC,CC104,Cost Centre CC104,C,125,1225,DEPT_C,2025-08-10,T
