client,house,voucher_no,sequence_no,account,fiscal_year,period,trans_date,voucher_date,voucher_type,amount,cur_amount,currency,dc_flag,update_flag,status,apar_id,apar_type,tax_code,tax_system,description,ext_inv_ref,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
CM,HOC,VHOC00001,1,5200,2026,202603,2026-03-11,2026-03-11,BACS,1294.5,,GBP,1,1,,,,,,Ad eius dolore qui.,,CC100,S110,PROJ195,,,,,2026-03-25,jsmith,
CM,HOC,VHOC00001,2,5001,2026,202603,2026-03-11,2026-03-11,BACS,467.49,,GBP,1,1,,,,,,Assumenda in adipisci dolor magnam ad dicta.,,CC120,S301,PROJ195,,,,,2026-03-17,jsmith,
CM,HOC,VHOC00001,3,1000,2026,202603,2026-03-11,2026-03-11,BACS,10860.16,,GBP,1,1,,,,,,In ipsum eius sit quis cum in.,,CC110,S210,PROJ195,,,,,2026-02-13,jsmith,
CM,HOC,VHOC00001,4,2200,2026,202603,2026-03-11,2026-03-11,BACS,9348.34,,GBP,2,2,,,,,,Culpa vero excepturi at atque.,,CC200,S102,PROJ195,,,,,2026-01-12,jsmith,
CM,HOC,VHOC00001,5,4100,2026,202603,2026-03-11,2026-03-11,BACS,3273.81,,GBP,2,2,,,,,,Nobis rem quas modi voluptate fugiat.,,CC200,S123,PROJ195,,,,,2026-01-06,jsmith,
CM,HOC,VHOC00002,1,3000,2026,202603,2026-03-22,2026-03-24,REVERSAL,4400.61,,GBP,1,1,,SUPP5741,P,,,Eos occaecati suscipit facere deleniti architecto optio.,,CC101,S210,,,,,,2026-02-05,swilliams,
CM,HOC,VHOC00002,2,4100,2026,202603,2026-03-22,2026-03-24,REVERSAL,1290.58,,GBP,2,2,,,,,,Voluptates sequi sint fugit iste.,,CC110,S200,,,,,,2026-02-15,swilliams,
CM,HOC,VHOC00002,3,3100,2026,202603,2026-03-22,2026-03-24,REVERSAL,3110.03,,GBP,2,2,,,,,,Cum explicabo pariatur praesentium placeat architecto.,,CC101,S103,,,,,,2026-03-10,swilliams,
CM,HOC,VHOC00003,1,1010,2026,202601,2026-01-29,2026-01-31,JRNL,12827.31,,GBP,1,1,,,,,,Modi doloribus iure earum.,,CC200,S210,,,,,,2026-02-04,abrown,
CM,HOC,VHOC00003,2,4200,2026,202601,2026-01-29,2026-01-31,JRNL,1035.11,,GBP,1,1,,CUST4483,R,,,Dolor eveniet quisquam animi reprehenderit rem illo.,,CC210,S103,,,,,,2026-02-03,abrown,
CM,HOC,VHOC00003,3,8000,2026,202601,2026-01-29,2026-01-31,JRNL,9539.21,,GBP,2,2,,,,,,Distinctio velit soluta et.,,CC121,S210,,,,,,2026-03-16,abrown,
CM,HOC,VHOC00003,4,3000,2026,202601,2026-01-29,2026-01-31,JRNL,4323.21,,GBP,2,2,,,,,,Id totam itaque eaque doloribus natus ea.,,CC110,S301,,,,,,2026-01-12,abrown,
CA,HOC,VHOC00004,1,1000,2026,202602,2026-02-18,2026-02-21,BACS,2523.43,,GBP,1,1,,,,,,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.,,CC101,S123,,,,,,2026-03-24,abrown,
CA,HOC,VHOC00004,2,4000,2026,202602,2026-02-18,2026-02-21,BACS,14239.83,,GBP,1,1,,,,,,Occaecati recusandae in aperiam.,,CC201,S103,,,,,,2026-02-28,abrown,
CA,HOC,VHOC00004,3,5200,2026,202602,2026-02-18,2026-02-21,BACS,22944.67,,GBP,1,1,,CUST9201,R,,,Nisi iusto dolorum mollitia velit perspiciatis.,,CC101,S123,,,,,,2026-03-23,abrown,
CA,HOC,VHOC00004,4,2200,2026,202602,2026-02-18,2026-02-21,BACS,39707.93,,GBP,2,2,,,,,,Placeat modi eaque odit.,,CC110,S200,,,,,,2026-01-21,abrown,
CM,HOC,VHOC00005,1,1100,2026,202602,2026-02-09,2026-02-10,APINV,2762.34,,GBP,1,1,,,,,,Eos culpa a quam.,,CC210,S102,,,,,,2026-03-10,jsmith,
CM,HOC,VHOC00005,2,2000,2026,202602,2026-02-09,2026-02-10,APINV,6198.47,,GBP,1,1,,,,,,Voluptas quis magni autem numquam.,,CC210,S103,,,,,,2026-02-03,jsmith,
CM,HOC,VHOC00005,3,6100,2026,202602,2026-02-09,2026-02-10,APINV,15725.17,,GBP,1,1,,,,,,Non corrupti quis molestiae quod minus a.,,CC201,S110,,,,,,2026-03-11,jsmith,
CM,HOC,VHOC00005,4,7100,2026,202602,2026-02-09,2026-02-10,APINV,24322.65,,GBP,2,2,,,,,,Laborum beatae facilis voluptates rem dolores.,,CC120,S123,,,,,,2026-02-21,jsmith,
CM,HOC,VHOC00005,5,7000,2026,202602,2026-02-09,2026-02-10,APINV,363.33,,GBP,2,2,,,,,,Soluta veniam assumenda laborum architecto.,,CC200,S301,,,,,,2026-03-08,jsmith,
CF,HOC,VHOC00006,1,3000,2026,202603,2026-03-17,2026-03-18,BACS,17235.24,,GBP,1,1,,,,,,Quisquam consectetur labore mollitia eaque sit incidunt.,,CC101,S101,PROJ824,,,,,2026-02-12,abrown,
