client,house,voucher_no,sequence_no,account,fiscal_year,period,trans_date,voucher_date,voucher_type,amount,cur_amount,currency,dc_flag,update_flag,status,apar_id,apar_type,tax_code,tax_system,description,ext_inv_ref,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,last_update,user_id,_edge_case
LA,HOL,VHOL00001,1,1200,2026,202603,2026-03-03,2026-03-04,ACCRUAL,2855.82,,GBP,1,1,,,,,,Fuga quibusdam ea fugit odit fuga perferendis.,,CC121,S110,,,,,,2026-02-24,swilliams,
LA,HOL,VHOL00001,2,8010,2026,202603,2026-03-03,2026-03-04,ACCRUAL,2772.41,,GBP,1,1,,,,,,Ad sunt natus totam dolore aperiam reprehenderit.,,CC100,S123,,,,,,2026-01-04,swilliams,
LA,HOL,VHOL00001,3,7100,2026,202603,2026-03-03,2026-03-04,ACCRUAL,871.55,,GBP,2,2,,,,,,Officiis blanditiis aliquid alias voluptatum.,,CC121,S200,,,,,,2026-02-14,swilliams,
LA,HOL,VHOL00001,4,1000,2026,202603,2026-03-03,2026-03-04,ACCRUAL,4756.68,,GBP,2,2,,SUPP7566,P,,,Atque suscipit consequatur iste.,INV92991,CC101,S110,,,,,,2026-02-18,swilliams,
LA,HOL,VHOL00002,1,1010,2026,202603,2026-03-14,2026-03-14,REVERSAL,15926.05,,GBP,1,1,,,,,,In quia culpa impedit aut laudantium illum.,,CC101,S123,,,,,,2026-02-26,mjones,
LA,HOL,VHOL00002,2,5100,2026,202603,2026-03-14,2026-03-14,REVERSAL,5166.49,,GBP,2,2,,,,,,Adipisci fuga ipsam veritatis sequi.,,CC210,S210,,,,,,2026-02-04,mjones,
LA,HOL,VHOL00002,3,5200,2026,202603,2026-03-14,2026-03-14,REVERSAL,10759.56,,GBP,2,2,,,,,,Voluptatem facilis temporibus officia.,,CC101,S200,,,,,,2026-02-25,mjones,
LA,HOL,VHOL00003,1,3100,2026,202601,2026-01-01,2026-01-02,ACCRUAL,1117.65,,GBP,1,1,,,,,,Id deleniti commodi sed.,,CC121,S200,,,,,,2026-01-16,dbaker,
LA,HOL,VHOL00003,2,7100,2026,202601,2026-01-01,2026-01-02,ACCRUAL,15285.69,,GBP,1,1,,CUST3878,R,,,At distinctio odit voluptas amet ex voluptates.,INV79806,CC120,S200,,,,,,2026-01-10,dbaker,
LA,HOL,VHOL00003,3,8000,2026,202601,2026-01-01,2026-01-02,ACCRUAL,8184.98,,GBP,1,1,,,,,,Dignissimos rerum mollitia nesciunt repellat doloremque quo.,,CC100,S210,,,,,,2026-01-03,dbaker,
LA,HOL,VHOL00003,4,1100,2026,202601,2026-01-01,2026-01-02,ACCRUAL,9719.07,,GBP,2,2,,,,,,A similique corporis consectetur dolorum cupiditate optio ad.,,CC200,S210,,,,,,2026-03-15,dbaker,
LA,HOL,VHOL00003,5,7000,2026,202601,2026-01-01,2026-01-02,ACCRUAL,5017.12,,GBP,2,2,,,,,,Facere ratione nihil.,,CC201,S123,,,,,,2026-01-15,dbaker,
LA,HOL,VHOL00003,6,4010,2026,202601,2026-01-01,2026-01-02,ACCRUAL,9852.13,,GBP,2,2,,,,,,Cupiditate amet qui.,,CC110,S301,,,,,,2026-03-30,dbaker,
LA,HOL,VHOL00004,1,4010,2026,202602,2026-02-21,2026-02-21,BACS,22065.99,,GBP,1,1,,,,,,Beatae aperiam ipsum facere nisi iste dolore.,,CC110,S102,,,,,,2026-03-07,kpatel,
LA,HOL,VHOL00004,2,5200,2026,202602,2026-02-21,2026-02-21,BACS,22065.99,,GBP,2,2,,,,,,Aliquam quos sint maxime itaque vitae aperiam laboriosam.,,CC120,S200,,,,,,2026-02-14,kpatel,
LA,HOL,VHOL00005,1,8010,2026,202603,2026-03-25,2026-03-25,JRNL,10264.95,,GBP,1,1,,,,,,Incidunt autem quae ipsam tempore eum.,,CC210,S200,,,,,,2026-03-22,jsmith,
LA,HOL,VHOL00005,2,5010,2026,202603,2026-03-25,2026-03-25,JRNL,6183.39,,GBP,2,2,,,,,,Aperiam eius odio molestias.,,CC101,S301,,,,,,2026-02-26,jsmith,
