client,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
HOC,CC100,S123,,,,,
HOC,CC121,S123,A112,,,,
HOC,CC100,S102,,,,,
HOC,CC117,S106,A127,,,,
HOL,CC118,S108,A110,A212,,,
HOL,CC110,S108,,A215,,,
HOC,CC102,S112,,A219,,,
HOL,CC125,S101,A127,,,,
HOL,CC102,S117,,A224,,,
HOL,CC118,S106,A111,A222,,,
HOL,CC102,S107,A122,,,,
HOL,CC105,S111,,A221,,,
HOC,CC119,S120,,A212,,,
HOL,CC112,S108,A127,,,,
HOL,CC126,S124,A117,A222,,,
HOL,CC112,S108,,A219,,,
HOL,CC106,S120,A124,,,,
HOC,CC107,S123,A118,A216,,,
HOL,CC111,S107,A114,,,,
HOC,CC124,S101,A114,A222,,,
HOL,CC119,S102,,,,,
HOL,CC116,S108,A110,A211,,,
HOL,CC124,S120,,,,,
HOC,CC114,S100,A118,A222,,,
HOC,CC116,S103,A119,A218,,,
HOC,CC104,S111,A127,A224,,,
HOC,CC119,S110,A113,A224,,,
HOL,CC107,S101,,,,,
HOC,CC102,S123,A112,A218,,,
HOC,CC104,S121,A127,,,,
HOL,CC106,S117,A116,A216,,,
HOL,CC114,S116,A117,,,,
HOL,CC100,S118,A128,,,,
HOC,CC122,S120,,,,,
HOC,CC127,S110,,,,,
HOL,CC106,S117,,A219,,,
HOL,CC107,S115,A116,,,,
HOL,CC111,S113,A111,A220,,,
HOC,CC101,S112,A113,,,,
HOC,CC117,S114,,,,,
HOL,CC107,S102,A127,,,,
HOC,CC102,S124,A115,,,,
HOL,CC106,S112,A115,,,,
HOL,CC108,S114,,A221,,,
HOL,CC104,S106,,A219,,,
HOC,CC123,S110,,,,,
HOC,CC101,S116,,,,,
HOC,CC121,S107,A128,,,,
HOC,CC119,S102,A128,,,,
HOL,CC129,S108,,A213,,,
HOL,CC112,S104,A119,,,,
HOC,CC100,S114,A128,A211,,,
HOC,CC116,S108,,,,,
HOC,CC128,S107,,,,,
HOL,CC119,S120,A127,,,,
HOC,CC128,S104,,A221,,,
HOC,CC108,S109,A120,,,,
HOL,CC116,S115,,A210,,,
HOC,CC120,S113,A111,,,,
HOC,CC120,S108,,,,,
HOL,CC117,S100,,A221,,,
HOC,CC117,S101,A128,,,,
HOL,CC104,S101,,A222,,,
HOC,CC128,S111,,,,,
HOC,CC111,S124,A123,A221,,,
HOC,CC129,S107,A115,A210,,,
HOC,CC123,S110,A123,A223,,,
HOC,CC108,S105,A113,,,,
HOC,CC127,S115,,A217,,,
HOL,CC109,S107,,A216,,,
HOL,CC108,S102,A118,,,,
HOL,CC121,S117,,,,,
HOL,CC105,S118,A118,,,,
HOL,CC111,S123,A123,A218,,,
HOC,CC112,S118,,,,,
HOL,CC100,S116,A127,A221,,,
HOC,CC111,S113,,A215,,,
HOL,CC121,S103,A119,,,,
HOL,CC110,S112,A127,,,,
HOL,CC121,S112,A115,A214,,,
HOL,CC117,S100,,,,,
HOL,CC114,S114,A116,,,,
HOC,CC121,S102,,A219,,,
HOL,CC102,S124,,,,,
HOC,CC104,S100,,A219,,,
HOC,CC114,S113,A128,,,,
HOL,CC115,S112,,A210,,,
HOC,CC124,S113,,A221,,,
HOL,CC101,S117,,A217,,,
HOC,CC125,S114,A127,,,,
HOL,CC119,S123,A123,A218,,,
HOL,CC128,S105,A125,,,,
HOC,CC126,S120,,A217,,,
HOC,CC108,S114,,,,,
HOL,CC110,S110,A112,,,,
HOC,CC112,S122,,,,,
HOL,CC113,S110,A123,,,,
HOL,CC112,S124,A110,A222,,,
HOL,CC115,S100,A119,A223,,,
HOL,CC117,S123,A129,A217,,,
HOC,CC108,S113,A122,,,,
HOL,CC123,S105,A114,A218,,,
HOC,CC129,S112,A110,,,,
HOL,CC104,S114,,,,,
HOL,CC106,S114,,A216,,,
HOL,CC124,S113,,,,,
HOC,CC123,S117,,A213,,,
HOC,CC124,S120,,,,,
HOC,CC106,S100,A117,,,,
HOC,CC118,S106,A118,A212,,,
HOC,CC124,S105,A113,,,,
HOL,CC118,S121,A122,,,,
HOC,CC102,S118,A117,,,,
HOL,CC127,S121,A113,A219,,,
HOC,CC111,S117,A121,,,,
HOL,CC100,S113,A113,,,,
HOL,CC120,S114,A123,,,,
HOL,CC119,S117,A124,,,,
HOL,CC110,S107,A112,,,,
HOL,CC107,S124,A129,A215,,,
HOC,EC_D010,S100,,,,,
HOC,CC_GHOST,S100,,,,,
HOL,CC100,S_GHOST,,,,,
HOC,CC_MISSING,S_MISSING,,,,,
