client,account,description,account_grp,account_type,status,res_bal,bflag,account_rule,period_from,period_to,last_update,head_account
HOC,1000,Cash and Bank 01,GRP1,GL,N,B,0,2,125,1225,22/01/2026,
HOC,1001,Cash and Bank 02,GRP1,GL,N,B,0,5,125,1225,01/10/2025,
HOC,1002,Cash and Bank 03,GRP1,GL,N,B,0,4,125,1225,24/11/2025,
HOC,1003,Cash and Bank 04,GRP1,GL,N,B,0,2,125,1225,30/04/2025,
HOC,1004,Cash and Bank 05,GRP1,GL,N,B,0,2,125,1225,07/04/2025,
HOC,1005,Cash and Bank 06,GRP1,GL,N,B,0,7,125,1225,18/01/2026,
HOC,1006,Cash and Bank 07,GRP1,GL,N,B,0,1,125,1225,18/12/2025,
HOC,1007,Cash and Bank 08,GRP1,GL,N,B,0,4,125,1225,07/10/2025,
HOC,1008,Cash and Bank 09,GRP1,GL,N,B,0,9,125,1225,01/04/2025,
HOC,1009,Cash and Bank 10,GRP1,GL,N,B,0,1,125,1225,22/04/2025,
HOC,1100,Accounts Receivable 01,GRP1,GL,N,B,7,4,125,1225,08/03/2025,
HOC,1101,Accounts Receivable 02,GRP1,GL,N,B,7,9,125,1225,04/07/2025,
HOC,1102,Accounts Receivable 03,GRP1,GL,N,B,7,4,125,1225,19/06/2025,
HOC,1103,Accounts Receivable 04,GRP1,GL,N,B,7,10,125,1225,14/09/2025,
HOC,1104,Accounts Receivable 05,GRP1,GL,N,B,7,1,125,1225,14/11/2025,
HOC,1105,Accounts Receivable 06,GRP1,GL,N,B,7,7,125,1225,13/08/2025,
HOC,1106,Accounts Receivable 07,GRP1,GL,N,B,7,5,125,1225,16/11/2025,
HOC,1107,Accounts Receivable 08,GRP1,GL,N,B,7,4,125,1225,15/08/2025,
HOC,1200,Prepayments 01,GRP1,GL,N,B,9,2,125,1225,18/12/2025,
HOC,1201,Prepayments 02,GRP1,GL,N,B,9,7,125,1225,16/12/2025,
HOC,1202,Prepayments 03,GRP1,GL,N,B,9,6,125,1225,11/08/2025,
HOC,1203,Prepayments 04,GRP1,GL,N,B,9,10,125,1225,21/09/2025,
HOC,1204,Prepayments 05,GRP1,GL,N,B,9,1,125,1225,13/06/2025,
HOC,1205,Prepayments 06,GRP1,GL,N,B,9,9,125,1225,02/12/2025,
HOC,2000,Accounts Payable 01,GRP2,GL,N,B,7,7,125,1225,25/12/2025,
HOC,2001,Accounts Payable 02,GRP2,GL,N,B,7,9,125,1225,06/09/2025,
HOC,2002,Accounts Payable 03,GRP2,GL,N,B,7,10,125,1225,02/08/2025,
HOC,2003,Accounts Payable 04,GRP2,GL,N,B,7,10,125,1225,28/10/2025,
HOC,2004,Accounts Payable 05,GRP2,GL,N,B,7,2,125,1225,11/01/2026,
HOC,2005,Accounts Payable 06,GRP2,GL,N,B,7,4,125,1225,08/09/2025,
HOC,2006,Accounts Payable 07,GRP2,GL,N,B,7,2,125,1225,07/10/2025,
HOC,2007,Accounts Payable 08,GRP2,GL,N,B,7,2,125,1225,24/07/2025,
HOC,2100,Accruals 01,GRP2,GL,N,B,0,5,125,1225,16/06/2025,
HOC,2101,Accruals 02,GRP2,GL,N,B,0,6,125,1225,12/11/2025,
HOC,2102,Accruals 03,GRP2,GL,N,B,0,6,125,1225,06/08/2025,
HOC,2103,Accruals 04,GRP2,GL,N,B,0,4,125,1225,20/09/2025,
HOC,2104,Accruals 05,GRP2,GL,N,B,0,2,125,1225,29/03/2025,
HOC,2105,Accruals 06,GRP2,GL,N,B,0,3,125,1225,06/05/2025,
HOC,3000,Capital 01,GRP3,GL,N,B,0,4,125,1225,12/11/2025,
HOC,3001,Capital 02,GRP3,GL,N,B,0,8,125,1225,24/07/2025,
HOC,3002,Capital 03,GRP3,GL,N,B,0,5,125,1225,13/03/2025,
HOC,3003,Capital 04,GRP3,GL,N,B,0,9,125,1225,14/10/2025,
HOC,3004,Capital 05,GRP3,GL,N,B,0,6,125,1225,06/01/2026,
HOC,3005,Capital 06,GRP3,GL,N,B,0,4,125,1225,18/01/2026,
HOC,3100,Reserves 01,GRP3,GL,N,B,0,6,125,1225,13/07/2025,
HOC,3101,Reserves 02,GRP3,GL,N,B,0,5,125,1225,01/01/2026,
HOC,3102,Reserves 03,GRP3,GL,N,B,0,4,125,1225,19/04/2025,
HOC,3103,Reserves 04,GRP3,GL,N,B,0,6,125,1225,18/10/2025,
HOC,3104,Reserves 05,GRP3,GL,N,B,0,8,125,1225,16/07/2025,
HOC,3105,Reserves 06,GRP3,GL,N,B,0,8,125,1225,22/11/2025,
HOC,5000,Staff Costs 01,GRP5,GL,N,R,0,5,125,1225,24/11/2025,
HOC,5001,Staff Costs 02,GRP5,GL,N,R,0,4,125,1225,22/04/2025,
HOC,5002,Staff Costs 03,GRP5,GL,N,R,0,9,125,1225,22/09/2025,
HOC,5003,Staff Costs 04,GRP5,GL,N,R,0,10,125,1225,29/06/2025,
HOC,5004,Staff Costs 05,GRP5,GL,N,R,0,10,125,1225,14/07/2025,
HOC,5005,Staff Costs 06,GRP5,GL,N,R,0,6,125,1225,14/10/2025,
HOC,5006,Staff Costs 07,GRP5,GL,N,R,0,3,125,1225,19/05/2025,
HOC,5007,Staff Costs 08,GRP5,GL,N,R,0,8,125,1225,19/12/2025,
HOC,5008,Staff Costs 09,GRP5,GL,N,R,0,1,125,1225,09/12/2025,
HOC,5009,Staff Costs 10,GRP5,GL,N,R,0,3,125,1225,19/03/2025,
HOC,5100,Premises 01,GRP5,GL,N,R,0,3,125,1225,02/07/2025,
HOC,5101,Premises 02,GRP5,GL,N,R,0,10,125,1225,02/01/2026,
HOC,5102,Premises 03,GRP5,GL,N,R,0,7,125,1225,23/07/2025,
HOC,5103,Premises 04,GRP5,GL,N,R,0,10,125,1225,09/06/2025,
HOC,5104,Premises 05,GRP5,GL,N,R,0,9,125,1225,28/09/2025,
HOC,5105,Premises 06,GRP5,GL,N,R,0,9,125,1225,29/01/2026,
HOC,5106,Premises 07,GRP5,GL,N,R,0,2,125,1225,05/05/2025,
HOC,5107,Premises 08,GRP5,GL,N,R,0,5,125,1225,12/03/2025,
HOC,5200,IT and Technology 01,GRP5,GL,N,R,0,6,125,1225,08/12/2025,
HOC,5201,IT and Technology 02,GRP5,GL,N,R,0,5,125,1225,26/06/2025,
HOC,5202,IT and Technology 03,GRP5,GL,N,R,0,3,125,1225,16/06/2025,
HOC,5203,IT and Technology 04,GRP5,GL,N,R,0,1,125,1225,22/09/2025,
HOC,5204,IT and Technology 05,GRP5,GL,N,R,0,9,125,1225,04/11/2025,
HOC,5205,IT and Technology 06,GRP5,GL,N,R,0,9,125,1225,11/12/2025,
HOC,5300,Professional Services 01,GRP5,GL,N,R,0,5,125,1225,13/03/2025,
HOC,5301,Professional Services 02,GRP5,GL,N,R,0,9,125,1225,29/03/2025,
HOC,5302,Professional Services 03,GRP5,GL,N,R,0,4,125,1225,17/11/2025,
HOC,5303,Professional Services 04,GRP5,GL,N,R,0,6,125,1225,13/11/2025,
HOC,5304,Professional Services 05,GRP5,GL,N,R,0,9,125,1225,08/05/2025,
HOC,5305,Professional Services 06,GRP5,GL,N,R,0,1,125,1225,03/04/2025,
HOC,9000,Income 01,GRP9,AR,N,R,0,6,125,1225,29/05/2025,
HOC,9001,Income 02,GRP9,AR,N,R,0,1,125,1225,08/12/2025,
HOC,9002,Income 03,GRP9,AR,N,R,0,6,125,1225,30/08/2025,
HOC,9003,Income 04,GRP9,AR,N,R,0,4,125,1225,05/01/2026,
HOC,9004,Income 05,GRP9,AR,N,R,0,4,125,1225,19/04/2025,
HOC,9005,Income 06,GRP9,AR,N,R,0,2,125,1225,22/12/2025,
HOC,9006,Income 07,GRP9,AR,N,R,0,8,125,1225,30/12/2025,
HOC,9007,Income 08,GRP9,AR,N,R,0,9,125,1225,01/12/2025,
HOC,9008,Income 09,GRP9,AR,N,R,0,3,125,1225,05/06/2025,
HOC,9009,Income 10,GRP9,AR,N,R,0,9,125,1225,11/11/2025,
HOL,1000,Cash and Bank 01,GRP1,GL,N,B,0,5,125,1225,09/05/2025,
HOL,1001,Cash and Bank 02,GRP1,GL,N,B,0,10,125,1225,02/07/2025,
HOL,1002,Cash and Bank 03,GRP1,GL,N,B,0,4,125,1225,03/05/2025,
HOL,1003,Cash and Bank 04,GRP1,GL,N,B,0,4,125,1225,28/08/2025,
HOL,1004,Cash and Bank 05,GRP1,GL,N,B,0,7,125,1225,08/03/2025,
HOL,1005,Cash and Bank 06,GRP1,GL,N,B,0,6,125,1225,24/06/2025,
HOL,1006,Cash and Bank 07,GRP1,GL,N,B,0,9,125,1225,17/06/2025,
HOL,1007,Cash and Bank 08,GRP1,GL,N,B,0,2,125,1225,30/09/2025,
HOL,1008,Cash and Bank 09,GRP1,GL,N,B,0,4,125,1225,02/01/2026,
HOL,1009,Cash and Bank 10,GRP1,GL,N,B,0,6,125,1225,24/01/2026,
HOL,1100,Accounts Receivable 01,GRP1,GL,N,B,7,10,125,1225,26/04/2025,
HOL,1101,Accounts Receivable 02,GRP1,GL,N,B,7,4,125,1225,08/04/2025,
HOL,1102,Accounts Receivable 03,GRP1,GL,N,B,7,4,125,1225,31/01/2026,
HOL,1103,Accounts Receivable 04,GRP1,GL,N,B,7,2,125,1225,17/03/2025,
HOL,1104,Accounts Receivable 05,GRP1,GL,N,B,7,1,125,1225,09/10/2025,
HOL,1105,Accounts Receivable 06,GRP1,GL,N,B,7,2,125,1225,18/01/2026,
HOL,1106,Accounts Receivable 07,GRP1,GL,N,B,7,6,125,1225,29/12/2025,
HOL,1107,Accounts Receivable 08,GRP1,GL,N,B,7,9,125,1225,05/10/2025,
HOL,1200,Prepayments 01,GRP1,GL,N,B,9,5,125,1225,31/05/2025,
HOL,1201,Prepayments 02,GRP1,GL,N,B,9,4,125,1225,03/05/2025,
HOL,1202,Prepayments 03,GRP1,GL,N,B,9,3,125,1225,17/04/2025,
HOL,1203,Prepayments 04,GRP1,GL,N,B,9,10,125,1225,06/06/2025,
HOL,1204,Prepayments 05,GRP1,GL,N,B,9,4,125,1225,06/06/2025,
HOL,1205,Prepayments 06,GRP1,GL,N,B,9,7,125,1225,29/10/2025,
HOL,2000,Accounts Payable 01,GRP2,GL,N,B,7,2,125,1225,16/12/2025,
HOL,2001,Accounts Payable 02,GRP2,GL,N,B,7,7,125,1225,06/08/2025,
HOL,2002,Accounts Payable 03,GRP2,GL,N,B,7,7,125,1225,08/07/2025,
HOL,2003,Accounts Payable 04,GRP2,GL,N,B,7,8,125,1225,07/01/2026,
HOL,2004,Accounts Payable 05,GRP2,GL,N,B,7,2,125,1225,03/01/2026,
HOL,2005,Accounts Payable 06,GRP2,GL,N,B,7,7,125,1225,14/08/2025,
HOL,2006,Accounts Payable 07,GRP2,GL,N,B,7,2,125,1225,29/09/2025,
HOL,2007,Accounts Payable 08,GRP2,GL,N,B,7,4,125,1225,29/10/2025,
HOL,2100,Accruals 01,GRP2,GL,N,B,0,9,125,1225,19/06/2025,
HOL,2101,Accruals 02,GRP2,GL,N,B,0,3,125,1225,02/07/2025,
