client,attribute_id,dim_value,description,status,period_from,period_to,rel_value,last_update,wf_state
HOC,COSTC,CC100,Cost Centre CC100,N,125,1225,DEPT_D,08/01/2026,
HOC,COSTC,CC101,Cost Centre CC101,N,125,1225,DEPT_D,12/01/2026,
HOC,COSTC,CC102,Cost Centre CC102,N,125,1225,DEPT_C,14/03/2025,T
HOC,COSTC,CC103,Cost Centre CC103,C,125,1225,DEPT_B,27/04/2025,T
HOC,COSTC,CC104,Cost Centre CC104,N,125,1225,DEPT_A,27/12/2025,T
HOC,COSTC,CC105,Cost Centre CC105,N,125,1225,DEPT_A,11/04/2025,W
HOC,COSTC,CC106,Cost Centre CC106,C,125,1225,DEPT_B,30/11/2025,
HOC,COSTC,CC107,Cost Centre CC107,N,125,1225,DEPT_C,14/01/2026,T
HOC,COSTC,CC108,Cost Centre CC108,N,125,1225,DEPT_B,13/12/2025,T
HOC,COSTC,CC109,Cost Centre CC109,N,125,1225,DEPT_D,05/10/2025,T
HOC,COSTC,CC110,Cost Centre CC110,C,125,1225,DEPT_B,22/01/2026,T
HOC,COSTC,CC111,Cost Centre CC111,C,125,1225,DEPT_C,29/09/2025,T
HOC,COSTC,CC112,Cost Centre CC112,N,125,1225,DEPT_B,23/07/2025,
HOC,COSTC,CC113,Cost Centre CC113,N,125,1225,DEPT_D,24/10/2025,T
HOC,COSTC,CC114,Cost Centre CC114,N,125,1225,DEPT_C,10/10/2025,T
HOC,COSTC,CC115,Cost Centre CC115,N,125,1225,DEPT_A,14/07/2025,T
HOC,COSTC,CC116,Cost Centre CC116,N,125,1225,DEPT_C,14/09/2025,T
HOC,COSTC,CC117,Cost Centre CC117,N,125,1225,DEPT_D,20/01/2026,
HOC,COSTC,CC118,Cost Centre CC118,N,125,1225,DEPT_C,12/04/2025,T
HOC,COSTC,CC119,Cost Centre CC119,N,125,1225,DEPT_A,04/04/2025,T
HOC,COSTC,CC120,Cost Centre CC120,N,125,1225,DEPT_C,25/06/2025,W
HOC,COSTC,CC121,Cost Centre CC121,C,125,1225,DEPT_A,14/04/2025,T
HOC,COSTC,CC122,Cost Centre CC122,N,125,1225,DEPT_C,25/06/2025,
HOC,COSTC,CC123,Cost Centre CC123,N,125,1225,DEPT_B,28/06/2025,
HOC,COSTC,CC124,Cost Centre CC124,N,125,1225,DEPT_C,02/12/2025,T
HOC,COSTC,CC125,Cost Centre CC125,C,125,1225,DEPT_C,20/08/2025,T
HOC,COSTC,CC126,Cost Centre CC126,N,125,1225,DEPT_C,28/10/2025,T
