client,account,fiscal_year,period,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,amount,cur_amount,currency,dc_flag,voucher_type,tax_code,apar_id,apar_type
HOL,1008,2025,1200,CC118,S104,,,,,,494208.16,494208.16,GBP,1,YEBAL,S20,,
HOL,3000,2025,1200,CC108,S114,,,,,,482680.26,482680.26,GBP,-1,YEBAL,S20,,
HOL,3100,2025,1200,CC113,S109,,,,,,455229.79,455229.79,GBP,1,YEBAL,,,
HOC,3001,2025,1200,CC127,S108,,,,,,37506.64,37506.64,GBP,-1,YEBAL,,,
HOC,1202,2025,1200,CC126,S117,,,,,,425897.47,425897.47,GBP,-1,YEBAL,,,
HOC,1009,2025,1200,CC128,S124,,,,,,308767.98,308767.98,GBP,1,YEBAL,S20,,
HOC,1205,2025,1200,CC128,S108,,,,,,217042.34,217042.34,GBP,1,YEBAL,Z0,,
HOC,3004,2025,1200,CC102,S101,,,,,,347031.18,347031.18,GBP,1,YEBAL,S20,,
HOC,5301,2025,1200,CC113,S121,,,,,,179295.82,179295.82,GBP,-1,YEBAL,,,
HOL,1105,2025,1200,CC114,S115,,,,,,283007.44,283007.44,GBP,1,YEBAL,S20,,
HOL,5106,2025,1200,CC118,S112,,,,,,435432.72,435432.72,GBP,1,YEBAL,S20,,
HOL,2004,2025,1200,CC120,S100,,,,,,318988.53,318988.53,GBP,-1,YEBAL,Z0,,
HOC,5205,2025,1200,CC105,S114,,,,,,338837.68,338837.68,GBP,1,YEBAL,Z0,,
HOL,5100,2025,1200,CC120,S115,,,,,,149647.21,149647.21,GBP,-1,YEBAL,Z0,,
HOC,5000,2025,1200,CC108,S121,,,,,,499686.85,499686.85,GBP,-1,YEBAL,Z0,,
HOL,5006,2025,1200,CC123,S103,,,,,,179543.68,179543.68,GBP,-1,YEBAL,,,
HOL,1101,2025,1200,CC125,S117,,,,,,137312.74,137312.74,GBP,1,YEBAL,Z0,,
HOC,5008,2025,1200,CC118,S116,,,,,,303571.79,303571.79,GBP,-1,YEBAL,,,
HOC,5104,2025,1200,CC128,S108,,,,,,338914.45,338914.45,GBP,1,YEBAL,,,
HOL,5301,2025,1200,CC102,S106,,,,,,19807.34,19807.34,GBP,-1,YEBAL,,,
HOC,2101,2025,1200,CC126,S109,,,,,,45157.67,45157.67,GBP,-1,YEBAL,S20,,
HOC,5001,2025,1200,CC120,S118,,,,,,66166.68,66166.68,GBP,-1,YEBAL,Z0,,
HOC,3004,2025,1200,CC123,S102,,,,,,128559.35,128559.35,GBP,-1,YEBAL,S20,,
HOL,2005,2025,1200,CC118,S108,,,,,,481450.36,481450.36,GBP,1,YEBAL,,,
HOL,1003,2025,1200,CC100,S122,,,,,,45242.41,45242.41,GBP,-1,YEBAL,,,
HOC,2007,2025,1200,CC124,S107,,,,,,227447.54,227447.54,GBP,-1,YEBAL,,,
HOL,1005,2025,1200,CC113,S103,,,,,,54262.22,54262.22,GBP,1,YEBAL,,,
HOL,5003,2025,1200,CC129,S106,,,,,,164070.34,164070.34,GBP,1,YEBAL,,,
HOL,2004,2025,1200,CC129,S109,,,,,,454702.88,454702.88,GBP,-1,YEBAL,S20,,
HOC,2103,2025,1200,CC124,S117,,,,,,22768.87,22768.87,GBP,1,YEBAL,S20,,
HOC,2000,2025,1200,CC105,S115,,,,,,117476.54,117476.54,GBP,1,YEBAL,Z0,,
HOL,9001,2025,1200,CC124,S112,,,,,,474695.45,474695.45,GBP,-1,YEBAL,Z0,,
HOL,5303,2025,1200,CC127,S109,,,,,,49600.92,49600.92,GBP,-1,YEBAL,Z0,,
HOC,1008,2025,1200,CC110,S114,,,,,,345171.3,345171.3,GBP,1,YEBAL,S20,,
HOL,1002,2025,1200,CC121,S105,,,,,,49767.38,49767.38,GBP,-1,YEBAL,S20,,
HOL,1101,2025,1200,CC111,S107,,,,,,138013.13,138013.13,GBP,1,YEBAL,,,
HOC,5004,2025,1200,CC104,S102,,,,,,320888.06,320888.06,GBP,1,YEBAL,S20,,
HOC,2100,2025,1200,CC105,S123,,,,,,393510.35,393510.35,GBP,1,YEBAL,S20,,
HOL,5100,2025,1200,CC127,S112,,,,,,108054.08,108054.08,GBP,1,YEBAL,,,
