client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
1000,SUP0054,APH744793,1,INVOICE,2024-11-19,2024-11-19,C,7371.86,0.0,GBP,,
1000,SUP0009,APH205797,1,INVOICE,2024-12-07,2024-12-07,C,13503.94,0.0,GBP,,
1000,SUP0007,APH356622,1,INVOICE,2024-12-18,2024-12-18,C,12187.51,0.0,GBP,,
1000,SUP0030,APH665979,1,INVOICE,2025-06-13,2025-06-13,C,22680.69,0.0,GBP,,
1000,SUP0008,APH246942,1,INVOICE,2026-04-02,2026-04-02,C,29805.81,0.0,GBP,,
1000,SUP0030,APH955413,1,INVOICE,2025-09-25,2025-09-25,C,17408.75,0.0,GBP,,
1000,SUP0042,APH348411,1,INVOICE,2025-09-08,2025-09-08,C,26312.5,0.0,GBP,,
1000,SUP0067,APH331780,1,INVOICE,2025-12-31,2025-12-31,C,9154.93,0.0,GBP,,
1000,SUP0008,APH683761,1,INVOICE,2025-05-01,2025-05-01,C,18854.6,0.0,GBP,,
1000,SUP0055,APH682851,1,INVOICE,2026-03-25,2026-03-25,C,1597.15,0.0,GBP,,
1000,SUP0045,APH774565,1,INVOICE,2025-11-28,2025-11-28,C,23616.98,0.0,GBP,,
1000,SUP0041,APH830132,1,INVOICE,2026-01-03,2026-01-03,C,12366.12,0.0,GBP,,
1000,SUP0039,APH494747,1,INVOICE,2025-05-10,2025-05-10,C,22681.6,0.0,GBP,,
1000,SUP0061,APH352673,1,INVOICE,2025-06-21,2025-06-21,C,9161.95,0.0,GBP,,
1000,SUP0019,APH944917,1,INVOICE,2026-02-20,2026-02-20,C,27459.29,0.0,GBP,,
1000,SUP0072,APH532723,1,INVOICE,2026-01-03,2026-01-03,C,16807.15,0.0,GBP,,
1000,SUP0018,APH507286,1,INVOICE,2025-07-09,2025-07-09,C,7798.87,0.0,GBP,,
1000,SUP0043,APH778120,1,INVOICE,2025-01-22,2025-01-22,C,27682.34,0.0,GBP,,
1000,SUP0048,APH196955,1,INVOICE,2025-05-17,2025-05-17,C,1735.79,0.0,GBP,,
1000,SUP0049,APH806396,1,INVOICE,2024-12-13,2024-12-13,C,26233.89,0.0,GBP,,
1000,SUP0025,APH943737,1,INVOICE,2025-06-13,2025-06-13,C,14485.95,0.0,GBP,,
1000,SUP0043,APH417915,1,INVOICE,2024-11-18,2024-11-18,C,6511.87,0.0,GBP,,
1000,SUP0025,APH877493,1,INVOICE,2025-03-03,2025-03-03,C,22457.0,0.0,GBP,,
1000,SUP0062,APH354377,1,INVOICE,2025-05-31,2025-05-31,C,12019.64,0.0,GBP,,
1000,SUP0031,APH678897,1,INVOICE,2025-09-28,2025-09-28,C,23310.31,0.0,GBP,,
1000,SUP0049,APH588899,1,INVOICE,2025-11-05,2025-11-05,C,9390.98,0.0,GBP,,
1000,SUP0047,APH637727,1,INVOICE,2026-03-27,2026-03-27,C,14086.92,0.0,GBP,,
1000,SUP0061,APH898625,1,INVOICE,2025-09-26,2025-09-26,C,27447.05,0.0,GBP,,
1000,SUP0048,APH428122,1,INVOICE,2025-12-31,2025-12-31,C,1562.32,0.0,GBP,,
1000,SUP0029,APH877259,1,INVOICE,2025-04-01,2025-04-01,C,683.35,0.0,GBP,,
1000,SUP0071,APH712401,1,INVOICE,2026-01-04,2026-01-04,C,8996.73,0.0,GBP,,
