client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference,_edge_case
2000,SUP0046,APH440998,1,INVOICE,2026-03-05,2026-03-05,C,14122.37,0.0,GBP,,
2000,SUP0070,APH385647,1,INVOICE,2026-02-01,2026-02-01,C,4226.42,0.0,GBP,,
2000,SUP0070,APH285636,1,INVOICE,2026-02-13,2026-02-13,C,19005.22,0.0,GBP,,
2000,SUP0073,APH556106,1,INVOICE,2025-09-16,2025-09-16,C,27285.91,0.0,GBP,,
2000,SUP0062,APH665883,1,INVOICE,2025-06-23,2025-06-23,C,24180.29,0.0,GBP,,
2000,SUP0057,APH422823,1,INVOICE,2025-11-12,2025-11-12,C,12483.67,0.0,GBP,,
2000,SUP0020,APH418319,1,INVOICE,2024-11-13,2024-11-13,C,202.75,0.0,GBP,,
2000,SUP0018,APH460589,1,INVOICE,2025-08-23,2025-08-23,C,14182.1,0.0,GBP,,
2000,SUP0002,APH821179,1,INVOICE,2026-03-21,2026-03-21,C,28419.33,0.0,GBP,,
2000,SUP0062,APH414164,1,INVOICE,2024-11-12,2024-11-12,C,23022.9,0.0,GBP,,
2000,SUP0038,APH726003,1,INVOICE,2025-06-27,2025-06-27,C,23943.67,0.0,GBP,,
2000,SUP0071,APH491794,1,INVOICE,2025-05-15,2025-05-15,C,12469.73,0.0,GBP,,
2000,SUP0072,APH558339,1,INVOICE,2025-12-12,2025-12-12,C,7646.9,0.0,GBP,,
2000,SUP0050,APH968668,1,INVOICE,2025-11-25,2025-11-25,C,6773.65,0.0,GBP,,
2000,SUP0011,APH542750,1,INVOICE,2025-07-06,2025-07-06,C,15594.98,0.0,GBP,,
2000,SUP0035,APH398505,1,INVOICE,2025-08-05,2025-08-05,C,12504.54,0.0,GBP,,
2000,SUP0009,APH291267,1,INVOICE,2025-03-22,2025-03-22,C,8829.94,0.0,GBP,,
2000,SUP0059,APH747736,1,INVOICE,2026-02-09,2026-02-09,C,8309.6,0.0,GBP,,
2000,SUP0063,APH296911,1,INVOICE,2025-09-27,2025-09-27,C,777.98,0.0,GBP,,
2000,SUP0007,APH660957,1,INVOICE,2024-11-25,2024-11-25,C,5740.94,0.0,GBP,,
2000,SUP0014,APH395818,1,INVOICE,2025-08-05,2025-08-05,C,3926.17,0.0,GBP,,
2000,SUP0057,APH862427,1,INVOICE,2024-11-11,2024-11-11,C,7137.75,0.0,GBP,,
2000,SUP0020,APH115440,1,INVOICE,2026-03-23,2026-03-23,C,6672.2,0.0,GBP,,
2000,SUP0054,APH426711,1,INVOICE,2026-03-28,2026-03-28,C,29939.31,0.0,GBP,,
2000,SUP0060,APH830789,1,INVOICE,2024-12-05,2024-12-05,C,10041.41,0.0,GBP,,
2000,SUP0019,APH158760,1,INVOICE,2025-08-02,2025-08-02,C,23314.46,0.0,GBP,,
2000,SUP0010,APH669578,1,INVOICE,2026-02-27,2026-02-27,C,5611.79,0.0,GBP,,
2000,SUP0033,APH956949,1,INVOICE,2025-11-28,2025-11-28,C,24881.91,0.0,GBP,,
2000,SUP0016,APH905459,1,INVOICE,2025-07-15,2025-07-15,C,11666.98,0.0,GBP,,
2000,SUP0057,APH359168,1,INVOICE,2024-12-07,2024-12-07,C,6135.56,0.0,GBP,,
2000,SUP0013,APH646453,1,INVOICE,2025-06-04,2025-06-04,C,14290.2,0.0,GBP,,
2000,SUP0040,APH438756,1,INVOICE,2025-04-14,2025-04-14,C,18949.09,0.0,GBP,,
2000,SUP0006,APH880900,1,INVOICE,2025-03-08,2025-03-08,C,7748.72,0.0,GBP,,
2000,SUP0039,APH308376,1,INVOICE,2025-11-07,2025-11-07,C,26648.08,0.0,GBP,,
2000,SUP0028,APH218414,1,INVOICE,2025-07-02,2025-07-02,C,19060.69,0.0,GBP,,
2000,SUP0042,APH115799,1,INVOICE,2025-04-23,2025-04-23,C,23872.83,0.0,GBP,,
2000,SUP0016,APH515035,1,INVOICE,2025-07-09,2025-07-09,C,466.11,0.0,GBP,,
2000,SUP0006,APH709303,1,INVOICE,2026-03-04,2026-03-04,C,20714.51,0.0,GBP,,
2000,SUP0020,APH489439,1,INVOICE,2025-02-02,2025-02-02,C,7611.92,0.0,GBP,,
2000,SUP0064,APH195841,1,INVOICE,2025-10-15,2025-10-15,C,27939.29,0.0,GBP,,
2000,SUP0008,APH162678,1,INVOICE,2025-11-02,2025-11-02,C,19408.33,0.0,GBP,,
2000,SUP0069,APH929912,1,INVOICE,2025-02-20,2025-02-20,C,3949.66,0.0,GBP,,
2000,SUP0030,APH432125,1,INVOICE,2025-10-24,2025-10-24,C,24204.66,0.0,GBP,,
2000,SUP0057,APH868804,1,INVOICE,2025-05-19,2025-05-19,C,836.31,0.0,GBP,,
2000,SUP0049,APH475565,1,INVOICE,2025-03-20,2025-03-20,C,7670.75,0.0,GBP,,
2000,SUP0006,APH608876,1,INVOICE,2026-01-25,2026-01-25,C,16858.94,0.0,GBP,,
2000,SUP0070,APH830897,1,INVOICE,2026-03-19,2026-03-19,C,5855.32,0.0,GBP,,
2000,SUP0024,APH670027,1,INVOICE,2025-10-25,2025-10-25,C,9845.69,0.0,GBP,,
2000,SUP0060,APH388698,1,INVOICE,2025-04-16,2025-04-16,C,2252.52,0.0,GBP,,
2000,SUP0020,APH571213,1,INVOICE,2025-09-01,2025-09-01,C,24618.67,0.0,GBP,,
2000,SUP0070,APH484945,1,INVOICE,2026-02-10,2026-02-10,C,221.45,0.0,GBP,,
2000,SUP0065,APH497455,1,INVOICE,2025-05-11,2025-05-11,C,26511.38,0.0,GBP,,
2000,SUP0047,APH913712,1,INVOICE,2025-07-05,2025-07-05,C,9756.68,0.0,GBP,,
2000,SUP0009,APH790266,1,INVOICE,2025-12-04,2025-12-04,C,5858.11,0.0,GBP,,
2000,SUP0064,APH902930,1,INVOICE,2025-04-09,2025-04-09,C,18468.57,0.0,GBP,,
2000,SUP0042,APH529711,1,INVOICE,2025-09-28,2025-09-28,C,3491.83,0.0,GBP,,
2000,SUP0067,APH790897,1,INVOICE,2025-01-10,2025-01-10,C,1504.56,0.0,GBP,,
2000,SUP0017,APH287316,1,INVOICE,2024-12-05,2024-12-05,C,6221.96,0.0,GBP,,
2000,SUP0063,APH300924,1,INVOICE,2025-02-12,2025-02-12,C,1148.15,0.0,GBP,,
2000,SUP0050,APH789880,1,INVOICE,2026-03-19,2026-03-19,C,15869.48,0.0,GBP,,
2000,SUP0033,APH151470,1,INVOICE,2025-11-13,2025-11-13,C,6777.54,0.0,GBP,,
2000,SUP0010,APH113721,1,INVOICE,2025-06-04,2025-06-04,C,19741.33,0.0,GBP,,
2000,SUP0011,APH590795,1,INVOICE,2025-01-04,2025-01-04,C,10955.6,0.0,GBP,,
2000,SUP0054,APH961957,1,INVOICE,2025-11-15,2025-11-15,C,23868.64,0.0,GBP,,
2000,SUP0008,APH963652,1,INVOICE,2025-08-02,2025-08-02,C,15964.82,0.0,GBP,,
2000,SUP0010,APH974991,1,INVOICE,2025-09-10,2025-09-10,C,2522.47,0.0,GBP,,
2000,SUP0028,APH644719,1,INVOICE,2025-02-10,2025-02-10,C,3216.51,0.0,GBP,,
2000,SUP0030,APH657487,1,INVOICE,2025-12-02,2025-12-02,C,5845.92,0.0,GBP,,
2000,SUP0068,APH788784,1,INVOICE,2025-07-15,2025-07-15,C,17186.82,0.0,GBP,,
2000,SUP0023,APH685549,1,INVOICE,2026-01-02,2026-01-02,C,22434.03,0.0,GBP,,
2000,SUP0074,APH475351,1,INVOICE,2026-02-15,2026-02-15,C,21136.0,0.0,GBP,,
2000,SUP0055,APH209159,1,INVOICE,2025-04-22,2025-04-22,C,23815.36,0.0,GBP,,
2000,SUP0071,APH521063,1,INVOICE,2026-04-03,2026-04-03,C,10257.88,0.0,GBP,,
2000,SUP0021,APH659835,1,INVOICE,2026-01-30,2026-01-30,C,28018.9,0.0,GBP,,
2000,SUP0041,APH676802,1,INVOICE,2025-10-01,2025-10-01,C,25376.65,0.0,GBP,,
2000,SUP0053,APH901305,1,INVOICE,2026-01-17,2026-01-17,C,24819.42,0.0,GBP,,
