client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,clearing_code,bank_account,iban,swift,expired_date,last_update,wf_state,_edge_case
2000,SUP0001,"Bell, Nicholson and Watts",Williams G,UTIL,N,N,GB356165519,50987410,GB,S20,UKVAT,14DAYS,INT,GBP,0,,,GB98286692966278282742,EVQWGB8R,,2022-02-04,T,
2000,SUP0002,"Ferguson, Taylor and Morris",Ross and S,PROF,N,N,GB642709938,97653539,GB,EX,UKVAT,COD,CHQ,GBP,5,,,,,,2023-05-02,T,
2000,SUP0003,Dennis Inc,"Bond, Howe",IT,N,N,GB279587066,21095863,GB,Z0,UKVAT,30DAYS,CHQ,GBP,0,,,,,,2022-08-22,T,
2000,SUP0004,"Hayward, Berry and Kennedy",Lane and S,CONS,N,N,GB341423782,82156607,GB,EX,UKVAT,14DAYS,BACS,GBP,5,82-73-80,78559218,,,,2021-08-20,T,
2000,SUP0005,Foster Ltd,Williamson,CONS,N,N,GB932271276,82894477,GB,EX,UKVAT,30DAYS,BACS,GBP,5,79-37-64,23746101,,,,2025-02-16,T,
2000,SUP0006,Hall-Moore,"Patterson,",CONS,N,N,GB134607126,70362053,GB,EX,UKVAT,60DAYS,CHAPS,GBP,0,66-25-40,38169370,,,,2025-07-19,T,
2000,SUP0007,"Fleming, Stanley and Coates",Hayes-Town,PROF,N,N,GB779432289,67467610,GB,S20,UKVAT,14DAYS,INT,GBP,0,,,GB36095849825449481260,ZWDWGBIZ,,2025-08-24,T,
2000,SUP0008,Mistry-Roberts,"George, O'",IT,N,N,GB625552311,29081953,GB,Z0,UKVAT,60DAYS,CHAPS,GBP,5,58-67-19,95044078,,,,2025-06-16,T,
2000,SUP0009,Thomas-Connolly,Hamilton-T,IT,N,N,GB653635749,47342819,GB,Z0,UKVAT,60DAYS,BACS,GBP,5,72-51-84,10331931,,,,2025-11-15,T,
2000,SUP0010,Richards PLC,Hall-Naylo,IT,N,N,GB781654847,99139874,GB,Z0,UKVAT,60DAYS,BACS,GBP,0,78-60-37,67665720,,,,2025-08-17,T,
2000,SUP0011,"Wheeler, Power and Barker","Kay, Butle",IT,N,N,GB388339233,53334226,GB,EX,UKVAT,60DAYS,CHAPS,GBP,10,83-26-82,75140950,,,,2025-06-03,T,
2000,SUP0012,Price LLC,"Short, Wil",UTIL,N,N,GB149330844,23364695,GB,Z0,UKVAT,COD,INT,GBP,0,,,GB25277063242415415206,QSTLGBDD,,2022-03-14,T,
2000,SUP0013,"Williams, Williams and Norris",Evans LLC,UTIL,N,N,GB242485313,89682313,GB,S20,UKVAT,COD,CHQ,GBP,0,,,,,,2021-01-17,T,
2000,SUP0014,Hanson-Haynes,"Barnett, Y",UTIL,N,N,GB553456129,27740248,GB,EX,UKVAT,30DAYS,INT,GBP,0,,,GB59111554262218909275,SQDKGBY4,,2021-06-27,T,
2000,SUP0015,Green-Davies,Smith-Bart,GEN,N,N,GB907932366,26529882,GB,Z0,UKVAT,COD,BACS,GBP,0,64-50-27,43257324,,,,2022-07-22,T,
2000,SUP0016,"Wong, Shepherd and Jackson",Bell LLC,GEN,N,N,GB694205108,90664728,GB,Z0,UKVAT,60DAYS,BACS,GBP,0,94-48-36,79491111,,,,2024-05-27,T,
2000,SUP0017,"Harrison, Gilbert and Wright",Gordon Gro,IT,N,N,GB417335858,96727439,GB,S20,UKVAT,14DAYS,CHAPS,GBP,5,59-24-40,77052833,,,,2024-07-30,T,
2000,SUP0018,"James, Bradley and Davies","Turner, Wa",PROF,N,N,GB112956853,58465780,GB,EX,UKVAT,14DAYS,BACS,GBP,5,82-63-56,83330690,,,,2024-10-30,T,
