client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_method,payment_date,pay_flag,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,last_update,wf_state,_edge_case
1000,SUP0015,AP793169,1,INVOICE,2023-02-22,2023-02-22,2023-03-24,Nostrum quaerat magnam rerum molestias tempore.,1235.59,,GBP,454.71,,,D,N,CHAPS,,N,202302,,INV-87182,,PO6304,,S20,,2026-05-05,T,
1000,SUP0023,AP378258,1,INVOICE,2023-04-18,2023-04-18,2023-05-18,Ipsum quibusdam saepe eius quod laborum dolores.,37215.04,,GBP,21552.4,,,D,N,BACS,,N,202304,,INV-72422,,PO8344,,EX,,2026-05-05,T,
1000,SUP0066,AP722503,1,INVOICE,2023-08-12,2023-08-12,2023-10-11,Aspernatur enim earum eum molestiae consequuntur.,25440.02,,GBP,6198.91,,,D,N,BACS,,N,202308,,INV-96363,,PO9543,,EX,,2026-05-05,T,
1000,SUP0059,AP774591,1,INVOICE,2023-03-05,2023-03-05,2023-04-04,Fugit corrupti distinctio impedit ex.,49930.04,,GBP,16085.52,,,D,N,CHQ,,N,202303,,INV-99928,,PO2768,,EX,,2026-05-05,T,
1000,SUP0057,AP177060,1,INVOICE,2023-06-15,2023-06-15,2023-08-14,Impedit dignissimos in temporibus nesciunt possimus sequi.,30610.72,,GBP,29002.26,,,D,N,INT,,N,202306,,INV-91830,,PO9984,,Z0,,2026-05-05,T,
1000,SUP0042,AP499407,1,INVOICE,2025-12-22,2025-12-22,2026-02-20,Fugit ab explicabo quidem sequi veritatis in.,22958.91,,GBP,11838.96,,,D,N,BACS,,N,202512,,INV-24996,,PO4522,,EX,,2026-05-05,T,
1000,SUP0058,AP339592,1,INVOICE,2025-04-27,2025-04-27,2025-06-26,Reiciendis tempore laborum earum laborum harum pariatur.,41457.25,,GBP,28233.04,,,D,N,BACS,,N,202504,,INV-50966,,PO7992,,EX,,2026-05-05,T,
1000,SUP0033,AP492483,1,INVOICE,2023-11-09,2023-11-09,2024-02-07,Quam saepe ullam voluptatem modi tenetur.,46187.76,,GBP,43707.17,,,D,N,BACS,,N,202311,,INV-22219,,PO8075,,S20,,2026-05-05,T,
1000,SUP0048,AP951201,1,INVOICE,2023-09-24,2023-09-24,2023-12-23,Natus ad odit consequatur iure amet fugiat distinctio.,3469.06,,GBP,814.19,,,D,N,INT,,N,202309,,INV-97819,,PO3002,,EX,,2026-05-05,T,
1000,SUP0046,AP797660,1,INVOICE,2025-05-16,2025-05-16,2025-08-14,Excepturi sunt eius veritatis in rerum.,3046.58,,GBP,2345.55,,,D,N,INT,,N,202505,,INV-56090,,PO2697,,Z0,,2026-05-05,T,
1000,SUP0065,AP323072,1,INVOICE,2023-11-13,2023-11-13,2024-02-11,Accusantium molestiae voluptatum expedita officiis quos officiis.,24368.38,,GBP,7851.01,,,D,N,INT,,N,202311,,INV-82910,,PO7022,,S20,,2026-05-05,T,
1000,SUP0036,AP701987,1,INVOICE,2024-04-08,2024-04-08,2024-06-07,Veniam dicta accusantium.,42335.18,,GBP,9329.1,,,D,N,BACS,,N,202404,,INV-89822,,PO5381,,S20,,2026-05-05,T,
1000,SUP0024,AP386544,1,INVOICE,2024-09-24,2024-09-24,2024-11-23,Dolores labore beatae veniam.,17875.66,,GBP,15281.46,,,D,N,CHAPS,,N,202409,,INV-84228,,PO7566,,S20,,2026-05-05,T,
1000,SUP0019,AP876962,1,INVOICE,2023-03-04,2023-03-04,2023-04-03,Praesentium quisquam cumque non quibusdam beatae reprehenderit.,37432.53,,GBP,30990.16,,,D,N,CHQ,,N,202303,,INV-69460,,PO6585,,S20,,2026-05-05,T,
1000,SUP0048,AP426775,1,INVOICE,2024-10-26,2024-10-26,2025-01-24,Autem ad est perspiciatis vero.,30013.08,,GBP,8803.62,,,D,N,CHAPS,,N,202410,,INV-30632,,PO1815,,Z0,,2026-05-05,T,
1000,SUP0011,AP385320,1,INVOICE,2025-06-26,2025-06-26,2025-09-24,Velit dicta nihil rerum doloribus possimus.,21488.73,,GBP,11052.5,,,D,N,CHQ,,N,202506,,INV-45804,,PO4531,,Z0,,2026-05-05,T,
1000,SUP0015,AP461939,1,INVOICE,2025-05-30,2025-05-30,2025-06-29,Sed nobis commodi voluptates quos.,14520.7,,GBP,6639.02,,,D,N,CHQ,,N,202505,,INV-79066,,PO6053,,S20,,2026-05-05,T,
1000,SUP0029,AP514463,1,INVOICE,2023-04-23,2023-04-23,2023-05-23,Minus optio architecto officia accusamus in.,10618.94,,GBP,2588.27,,,D,N,CHAPS,,N,202304,,INV-43491,,PO5742,,EX,,2026-05-05,T,
1000,SUP0016,AP108105,1,INVOICE,2025-10-15,2025-10-15,2026-01-13,Autem vero odio repudiandae provident ipsa quasi.,21817.42,,GBP,19562.62,,,D,N,CHAPS,,N,202510,,INV-75570,,PO6802,,S20,,2026-05-05,T,
1000,SUP0051,AP878086,1,INVOICE,2023-03-28,2023-03-28,2023-05-27,Nulla ullam quo iure repudiandae.,1427.71,,GBP,375.59,,,D,N,INT,,N,202303,,INV-85465,,PO8033,,Z0,,2026-05-05,T,
1000,SUP0052,AP843963,1,INVOICE,2025-05-05,2025-05-05,2025-07-04,Eaque sequi rerum assumenda sunt doloribus iure nostrum.,6201.08,,GBP,6097.61,,,D,N,INT,,N,202505,,INV-32527,,PO8538,,Z0,,2026-05-05,T,
1000,SUP0047,AP192410,1,INVOICE,2025-06-13,2025-06-13,2025-07-13,Excepturi laudantium eveniet laborum explicabo ea.,12544.17,,GBP,6634.65,,,D,N,BACS,,N,202506,,INV-61873,,PO6083,,Z0,,2026-05-05,T,
1000,SUP0044,AP332335,1,INVOICE,2024-11-13,2024-11-13,2024-12-13,Sunt praesentium eius ab veniam.,4280.78,,GBP,2112.22,,,D,N,CHAPS,,N,202411,,INV-55793,,PO6752,,Z0,,2026-05-05,T,
1000,SUP0019,AP347745,1,INVOICE,2023-07-30,2023-07-30,2023-08-29,Dolores illo nam dolores.,13170.43,,GBP,11342.38,,,D,N,CHAPS,,N,202307,,INV-95918,,PO2234,,S20,,2026-05-05,T,
