client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_method,payment_date,pay_flag,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,last_update,wf_state,_edge_case
2000,SUP0039,AP541315,1,INVOICE,2023-07-26,2023-07-26,2023-10-24,Autem dolores commodi ipsum consequuntur amet veniam.,26255.31,,GBP,13173.91,,,D,N,CHAPS,,N,202307,,INV-64896,,PO2718,,Z0,,2026-05-05,T,
2000,SUP0016,AP396439,1,INVOICE,2023-08-22,2023-08-22,2023-09-21,In vitae temporibus repellendus ut quam deleniti cum.,25138.08,,GBP,12890.77,,,D,N,INT,,N,202308,,INV-78569,,PO4304,,EX,,2026-05-05,T,
2000,SUP0053,AP409698,1,INVOICE,2023-11-25,2023-11-25,2023-12-25,Iure soluta libero at hic itaque dolores.,27632.87,,GBP,7508.26,,,D,N,CHQ,,N,202311,,INV-53332,,PO4842,,S20,,2026-05-05,T,
2000,SUP0002,AP804258,1,INVOICE,2023-07-02,2023-07-02,2023-08-01,Explicabo amet libero sunt omnis iusto modi sed.,41843.99,,GBP,19448.35,,,D,N,CHAPS,,N,202307,,INV-21807,,PO9383,,S20,,2026-05-05,T,
2000,SUP0013,AP368322,1,INVOICE,2024-04-18,2024-04-18,2024-06-17,Consequatur eaque facilis illo aliquid amet.,49438.96,,GBP,37730.94,,,D,N,CHQ,,N,202404,,INV-16564,,PO2635,,S20,,2026-05-05,T,
2000,SUP0006,AP993647,1,INVOICE,2024-08-18,2024-08-18,2024-10-17,Deserunt mollitia asperiores magnam quisquam eius voluptatibus.,40179.01,,GBP,30127.6,,,D,N,BACS,,N,202408,,INV-22451,,PO1751,,S20,,2026-05-05,T,
2000,SUP0018,AP795578,1,INVOICE,2023-12-16,2023-12-16,2024-02-14,Blanditiis voluptate hic recusandae excepturi vel quidem dicta.,18197.61,,GBP,11825.32,,,D,N,INT,,N,202312,,INV-22183,,PO7105,,EX,,2026-05-05,T,
2000,SUP0024,AP219361,1,INVOICE,2025-03-31,2025-03-31,2025-05-30,Illo aliquam aliquam quae rem maxime corrupti.,48134.34,,GBP,37666.73,,,D,N,CHQ,,N,202503,,INV-72684,,PO7909,,Z0,,2026-05-05,T,
2000,SUP0022,AP218548,1,INVOICE,2023-09-29,2023-09-29,2023-12-28,Consequuntur ut et hic nulla sapiente nisi.,36457.35,,GBP,7829.02,,,D,N,CHAPS,,N,202309,,INV-23593,,PO7816,,Z0,,2026-05-05,T,
2000,SUP0062,AP941235,1,INVOICE,2026-03-11,2026-03-11,2026-06-09,Repudiandae minus provident error repellendus fuga perferendis.,22189.06,,GBP,11337.31,,,D,N,INT,,N,202603,,INV-90131,,PO1472,,Z0,,2026-05-05,T,
2000,SUP0017,AP606545,1,INVOICE,2025-09-26,2025-09-26,2025-10-26,Nesciunt reiciendis quas porro ad labore.,44435.9,,GBP,28770.01,,,D,N,BACS,,N,202509,,INV-44290,,PO6148,,S20,,2026-05-05,T,
