client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,status,amount,rest_amount,currency,orig_reference
HOC,SUP0041,30000,1,INVOICE,2025-02-17,2025-01-06,C,49844.09,0,GBP,
HOC,SUP0098,30001,1,INVOICE,2025-04-07,2025-07-01,C,41394.67,0,GBP,
HOL,SUP0073,30002,1,INVOICE,2025-06-17,2025-03-01,C,19065.62,0,GBP,
HOL,SUP0058,30003,1,INVOICE,2026-01-28,2025-05-17,C,20155.98,0,GBP,
HOC,SUP0077,30004,1,INVOICE,2025-04-29,2026-02-26,C,7186.74,0,GBP,
HOL,SUP0039,30005,1,CREDIT,2025-04-16,2026-02-10,C,-11133.73,0,GBP,30005.0
HOC,EC_M006,30006,1,INVOICE,2025-09-27,2025-11-28,C,27906.33,0,GBP,
HOC,SUP0005,30007,1,INVOICE,2025-06-06,2025-02-22,C,8227.3,0,GBP,
HOC,EC_M014,30008,1,INVOICE,2025-05-01,2025-11-30,C,12033.21,0,GBP,
HOL,SUP0074,30009,1,INVOICE,2025-12-15,2025-04-06,C,45935.15,0,GBP,
HOC,EC_M002,30010,1,INVOICE,2025-11-27,2025-05-01,C,24669.68,0,GBP,
HOC,SUP0005,30011,1,INVOICE,2025-12-14,2026-01-06,C,29026.04,0,GBP,
HOC,EC_M018,30012,1,INVOICE,2024-12-15,2025-01-02,C,17722.55,0,GBP,
HOC,EC_M020,30013,1,CREDIT,2025-07-15,2026-02-21,C,-43554.43,0,GBP,30010.0
HOL,SUP0100,30014,1,INVOICE,2024-09-14,2026-01-21,C,3179.33,0,GBP,
HOC,SUP0041,30015,1,INVOICE,2024-10-06,2025-07-21,C,7904.21,0,GBP,
HOL,SUP0020,30016,1,INVOICE,2025-01-26,2024-12-03,C,36713.14,0,GBP,
HOL,SUP0097,30017,1,INVOICE,2025-07-20,2024-12-17,C,25484.1,0,GBP,
HOL,SUP0038,30018,1,INVOICE,2025-03-25,2025-12-10,C,7826.61,0,GBP,
HOC,SUP0061,30019,1,INVOICE,2025-01-20,2025-06-09,C,2940.9,0,GBP,
HOL,SUP0011,30020,1,INVOICE,2025-10-22,2025-10-17,C,22007.31,0,GBP,
HOL,SUP0062,30021,1,INVOICE,2025-08-16,2024-09-14,C,24649.12,0,GBP,
HOC,SUP0032,30022,1,INVOICE,2024-12-19,2025-04-07,C,13679.73,0,GBP,
HOL,SUP0088,30023,1,CREDIT,2025-01-05,2024-12-26,C,-4934.94,0,GBP,30011.0
HOC,SUP0045,30024,1,INVOICE,2026-02-08,2025-04-26,C,17553.98,0,GBP,
HOC,SUP0022,30025,1,CREDIT,2024-12-07,2025-10-06,C,-31002.94,0,GBP,30014.0
HOL,SUP0006,30026,1,CREDIT,2025-02-15,2025-09-26,C,-12057.74,0,GBP,30024.0
HOL,SUP0094,30027,1,CREDIT,2026-01-08,2025-06-29,C,-6062.4,0,GBP,30019.0
HOC,EC_M019,30028,1,INVOICE,2025-05-14,2026-02-18,C,41706.02,0,GBP,
HOL,SUP0044,30029,1,INVOICE,2024-11-29,2024-11-07,C,6008.26,0,GBP,
HOL,SUP0003,30030,1,INVOICE,2025-07-31,2025-08-08,C,37130.64,0,GBP,
HOC,SUP0070,30031,1,INVOICE,2024-10-26,2025-10-11,C,13303.57,0,GBP,
HOL,SUP0089,30032,1,INVOICE,2024-09-11,2026-01-19,C,1410.23,0,GBP,
HOL,SUP0033,30033,1,INVOICE,2025-05-31,2026-01-09,C,14558.67,0,GBP,
HOC,SUP0060,30034,1,INVOICE,2025-01-31,2025-05-31,C,912.54,0,GBP,
HOL,SUP0085,30035,1,CREDIT,2025-11-14,2026-02-13,C,-33174.97,0,GBP,30018.0
HOC,EC_M012,30036,1,CREDIT,2025-02-08,2024-09-30,C,-19632.9,0,GBP,30006.0
HOC,EC_M016,30037,1,INVOICE,2024-09-06,2025-12-04,C,43405.25,0,GBP,
HOL,SUP0024,30038,1,INVOICE,2026-02-10,2026-01-23,C,48356.17,0,GBP,
HOC,SUP0032,30039,1,CREDIT,2024-10-19,2025-01-26,C,-15593.91,0,GBP,30010.0
HOL,SUP0003,30040,1,INVOICE,2025-04-29,2025-07-06,C,17919.7,0,GBP,
HOC,SUP0065,30041,1,INVOICE,2025-06-14,2025-02-01,C,3569.48,0,GBP,
HOC,EC_M014,30042,1,CREDIT,2025-05-22,2025-07-17,C,-49522.9,0,GBP,30009.0
HOL,SUP0044,30043,1,CREDIT,2025-12-05,2025-02-06,C,-33018.12,0,GBP,30033.0
HOC,SUP0087,30044,1,INVOICE,2025-07-15,2025-01-01,C,31463.47,0,GBP,
HOC,SUP0031,30045,1,INVOICE,2025-04-19,2025-04-01,C,21610.02,0,GBP,
HOL,SUP0058,30046,1,INVOICE,2025-10-14,2025-08-09,C,10734.49,0,GBP,
HOC,EC_M011,30047,1,INVOICE,2024-09-14,2025-10-17,C,34582.34,0,GBP,
HOL,SUP0056,30048,1,CREDIT,2025-10-07,2025-09-24,C,-48800.96,0,GBP,30020.0
HOL,SUP0009,30049,1,INVOICE,2025-11-03,2025-08-28,C,47455.78,0,GBP,
HOC,SUP0041,30050,1,INVOICE,2026-02-02,2025-04-12,C,7703.38,0,GBP,
HOC,EC_M013,30051,1,CREDIT,2025-04-28,2024-12-06,C,-48079.21,0,GBP,30047.0
HOC,EC_M020,30052,1,INVOICE,2025-05-28,2025-09-30,C,32023.95,0,GBP,
HOL,SUP0100,30053,1,INVOICE,2026-02-06,2025-06-04,C,7011.52,0,GBP,
HOL,SUP0078,30054,1,INVOICE,2025-07-10,2025-07-11,C,11930.11,0,GBP,
HOL,SUP0088,30055,1,INVOICE,2024-11-01,2025-10-18,C,4434.03,0,GBP,
HOC,SUP0065,30056,1,INVOICE,2025-02-15,2025-08-28,C,23703.79,0,GBP,
HOC,EC_M010,30057,1,INVOICE,2025-09-18,2025-08-19,C,23955.42,0,GBP,
HOC,SUP0029,30058,1,INVOICE,2026-02-17,2025-06-01,C,38344.67,0,GBP,
HOC,SUP0053,30059,1,INVOICE,2025-08-09,2025-08-07,C,33731.28,0,GBP,
HOL,SUP0009,30060,1,INVOICE,2024-12-10,2024-10-19,C,47757.6,0,GBP,
HOL,SUP0089,30061,1,INVOICE,2025-06-25,2024-12-22,C,23148.47,0,GBP,
HOL,SUP0052,30062,1,INVOICE,2025-02-08,2025-04-18,C,30592.53,0,GBP,
HOL,SUP0051,30063,1,INVOICE,2024-09-13,2026-01-24,C,37252.16,0,GBP,
HOC,SUP0067,30064,1,INVOICE,2026-01-20,2025-06-26,C,23116.57,0,GBP,
HOC,SUP0067,30065,1,INVOICE,2026-01-23,2025-02-01,C,49199.62,0,GBP,
HOC,SUP0067,30066,1,INVOICE,2025-08-22,2025-05-10,C,48148.32,0,GBP,
