client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,clearing_code,bank_account,iban,swift,expired_date,last_update,wf_state,_edge_case
1000,SUP0001,"Griffiths, Cox and Smith",Newman Ltd,UTIL,N,N,GB896233790,46913810,GB,S20,UKVAT,14DAYS,BACS,GBP,0,23-96-79,21668732,,,,2024-04-24,T,
1000,SUP0002,"Norman, Hopkins and Oliver",Green and ,UTIL,N,N,GB131994523,22575562,GB,S20,UKVAT,14DAYS,CHQ,GBP,10,,,,,,2024-05-17,T,
1000,SUP0003,"Foster, Moore and Edwards","Kaur, Quin",PROF,N,N,GB313500298,97226012,GB,Z0,UKVAT,COD,BACS,GBP,0,67-85-45,10872248,,,,2025-04-04,T,
1000,SUP0004,Reed and Sons,"Oliver, Wh",IT,N,N,GB465341213,47295260,GB,S20,UKVAT,14DAYS,CHAPS,GBP,0,23-21-58,22981052,,,,2023-01-06,T,
1000,SUP0005,Warner-Palmer,Baker-Butl,PROF,N,N,GB384027113,15831819,GB,Z0,UKVAT,COD,INT,GBP,10,,,GB25618495931034131647,QJJFGBJ7,,2024-08-20,T,
1000,SUP0006,Elliott PLC,Simpson Gr,PROF,N,N,GB781802744,32969840,GB,Z0,UKVAT,14DAYS,BACS,GBP,0,69-58-44,95899313,,,,2024-11-10,T,
1000,SUP0007,Fisher Ltd,"Young, Eva",CONS,N,N,GB924970419,17507864,GB,S20,UKVAT,30DAYS,CHAPS,GBP,0,61-44-18,38317637,,,,2026-02-14,T,
1000,SUP0008,Thomas and Sons,Robinson-D,GEN,N,N,GB803771909,77005685,GB,EX,UKVAT,COD,INT,GBP,0,,,GB43238849696532871012,QUKBGBN9,,2023-12-20,T,
1000,SUP0009,Palmer Group,"Lee, Marsd",PROF,N,N,GB112327652,25374874,GB,Z0,UKVAT,60DAYS,INT,GBP,0,,,GB24462704828148932528,YXXPGBRE,,2023-01-14,T,
1000,SUP0010,"Phillips, Cross and Miah","Thomson, W",GEN,N,N,GB162196678,42329237,GB,Z0,UKVAT,30DAYS,INT,GBP,0,,,GB72182278248963834657,XLGBGBAT,,2024-04-20,T,
1000,SUP0011,Lamb-Scott,"Holmes, Ll",UTIL,N,N,GB176228245,94705205,GB,S20,UKVAT,14DAYS,CHAPS,GBP,0,14-52-19,79008866,,,,2022-05-03,T,
1000,SUP0012,Wilson Inc,Alexander-,IT,N,N,GB330035022,82374753,GB,S20,UKVAT,COD,INT,GBP,0,,,GB70631165667010651333,NDEMGB5C,,2025-07-13,T,
1000,SUP0013,"Hawkins, McLean and Lynch",Young-Grah,UTIL,N,N,GB800235246,82556484,GB,S20,UKVAT,30DAYS,BACS,GBP,0,31-62-72,74606833,,,,2022-03-14,T,
1000,SUP0014,Pritchard and Sons,"Moore, Smi",UTIL,N,N,GB276777762,60864911,GB,S20,UKVAT,COD,CHQ,GBP,0,,,,,,2026-03-13,T,
1000,SUP0015,"Matthews, Lloyd and Turner","Hughes, Da",CONS,N,N,GB554200826,84593961,GB,Z0,UKVAT,COD,CHQ,GBP,0,,,,,,2022-01-24,T,
1000,SUP0016,Johnson Ltd,Anderson-C,GEN,N,N,GB162795957,87736262,GB,Z0,UKVAT,30DAYS,INT,GBP,0,,,GB17097882081219136193,PBCRGBUL,,2022-06-19,T,
1000,SUP0017,"Turner, Hill and Coates",Davies Inc,CONS,N,N,GB356287095,45650176,GB,EX,UKVAT,14DAYS,CHAPS,GBP,0,68-50-19,11250299,,,,2023-07-28,T,
1000,SUP0018,"Young, Myers and Read",Griffiths-,UTIL,N,N,GB677280546,38609087,GB,Z0,UKVAT,60DAYS,BACS,GBP,0,54-18-41,59597086,,,,2022-08-07,T,
