client,apar_id,voucher_no,sequence_no,voucher_type,voucher_date,trans_date,due_date,description,amount,cur_amount,currency,rest_amount,rest_curr,discount,dc_flag,status,pay_method,payment_date,pay_flag,period,payperiod,ext_inv_ref,orig_reference,order_id,contract_id,tax_code,exch_rate,last_update,wf_state
HOC,EC_M013,10000,1,INVOICE,16/09/2025,27/10/2025,10/12/2025,cultivate holistic platforms,26453.77,26453.77,GBP,24403.13,24403.13,0,D,N,CHAPS,,N,11,5,INV-11846,,PO5833,,S20,1,10/02/2026,W
HOC,SUP0090,10001,1,INVOICE,31/10/2025,18/09/2024,12/12/2025,cultivate value-added networks,41436,41436,GBP,27376.62,27376.62,0,D,N,BACS,,N,5,7,INV-44995,,PO5947,,EX,1,03/03/2026,T
HOL,SUP0085,10002,1,INVOICE,10/07/2025,16/02/2025,05/09/2025,envisioneer collaborative info-mediaries,34792.05,34792.05,GBP,11950.62,11950.62,0,D,P,BACS,,N,11,5,INV-38947,,PO3188,,Z0,1,17/12/2025,T
HOL,SUP0092,10003,1,INVOICE,07/12/2024,14/10/2025,11/09/2025,grow cross-platform ROI,35246.07,35246.07,GBP,33094.57,33094.57,0,D,I,BACS,,N,9,8,INV-57419,,,,S20,1,24/12/2025,W
HOL,SUP0056,10004,1,INVOICE,05/12/2025,19/02/2025,06/10/2025,streamline dot-com info-mediaries,28848.73,28848.73,GBP,11680.75,11680.75,0,D,R,BACS,,N,9,8,INV-69432,,PO7806,,S20,1,23/12/2025,T
HOC,SUP0075,10005,1,INVOICE,12/04/2025,27/12/2025,,embrace innovative interfaces,36302.36,36302.36,GBP,20952.42,20952.42,0,D,P,BACS,,N,9,1,INV-19046,,PO8734,,Z0,1,09/02/2026,T
HOL,SUP0092,10006,1,INVOICE,24/07/2025,25/07/2025,16/09/2025,synthesize intuitive networks,19035.82,21891.19,EUR,17587.83,17587.83,0,D,P,BACS,,N,3,9,INV-26691,,PO4648,CN874,S20,1.2957,04/01/2026,W
HOL,SUP0093,10007,1,INVOICE,14/09/2025,29/10/2025,04/02/2026,whiteboard scalable eyeballs,26830.71,26830.71,GBP,23513.15,23513.15,0,D,N,CHAPS,,N,10,1,INV-18819,,PO1550,,EX,1,04/12/2025,
HOL,SUP0063,10008,1,INVOICE,17/11/2024,01/01/2025,27/10/2025,orchestrate seamless infrastructures,37156.78,37156.78,GBP,21609.85,21609.85,0,D,P,BACS,,N,12,10,INV-88370,,PO6253,,S20,1,10/12/2025,W
HOL,SUP0059,10009,1,INVOICE,22/01/2025,24/10/2024,12/09/2025,incentivize 24/7 schemas,20971.23,20971.23,GBP,10330.59,10330.59,0,D,R,INT,,N,8,1,INV-94320,,PO9592,,Z0,1,11/01/2026,T
HOC,SUP0072,10010,1,INVOICE,02/09/2025,20/11/2024,06/11/2025,engineer next-generation metrics,19134.78,19134.78,GBP,15845.34,15845.34,0,D,N,INT,,N,7,7,INV-27575,,PO5177,,EX,1,22/02/2026,T
HOL,SUP0086,10011,1,INVOICE,23/02/2025,30/03/2025,14/02/2026,expedite magnetic deliverables,5076.97,5076.97,GBP,4098.18,4098.18,0,D,N,INT,,N,12,11,INV-72835,,PO6455,,S20,1,05/02/2026,T
HOC,SUP0037,10012,1,CREDIT,07/02/2025,21/10/2025,02/01/2026,synergize customized systems,-37470.52,37470.52,GBP,-31026.77,31026.77,0,C,I,BACS,,N,5,7,INV-95029,10005,PO6892,,Z0,1,04/01/2026,
HOC,EC_M004,10013,1,INVOICE,10/01/2026,20/04/2025,26/01/2026,monetize cutting-edge content,38200.63,38200.63,GBP,20023.37,20023.37,0,D,N,BACS,,N,9,10,INV-64732,,PO4214,,Z0,1,22/12/2025,T
HOC,EC_M007,10014,1,INVOICE,28/05/2025,26/09/2024,30/10/2025,maximize leading-edge e-business,27756.81,27756.81,GBP,26658.34,26658.34,0,D,R,BACS,,N,12,6,INV-81636,,PO9882,CN160,EX,1,28/02/2026,
HOC,SUP0016,10015,1,INVOICE,05/02/2025,17/11/2025,,extend mission-critical e-tailers,38334.77,38334.77,GBP,22566.7,22566.7,0,D,I,CHAPS,,N,6,1,INV-97392,,PO8916,,S20,1,04/03/2026,W
HOC,EC_M014,10016,1,INVOICE,09/09/2025,25/01/2026,07/09/2025,whiteboard killer portals,20861.26,20861.26,GBP,6502.63,6502.63,0,D,R,BACS,,N,2,2,INV-41584,,PO9625,,Z0,1,29/01/2026,T
HOL,SUP0024,10017,1,INVOICE,10/10/2025,02/09/2025,12/02/2026,repurpose strategic communities,18966.05,21810.96,EUR,11080.33,11080.33,0,D,N,CHAPS,,N,7,7,INV-17355,,PO3807,,Z0,1.229,21/01/2026,W
HOL,SUP0030,10018,1,INVOICE,13/02/2025,05/11/2024,25/12/2025,incentivize virtual schemas,44792.17,51511,EUR,42257.23,42257.23,0,D,N,BACS,,N,9,10,INV-33508,,PO6152,,S20,1.2174,13/01/2026,
HOC,SUP0072,10019,1,INVOICE,31/10/2024,02/05/2025,28/01/2026,optimize granular synergies,8541.29,8541.29,GBP,4000.15,4000.15,0,D,N,INT,,N,12,6,INV-67290,,PO2245,,EX,1,18/12/2025,T
HOL,SUP0078,10020,1,CREDIT,04/08/2025,25/04/2025,14/11/2025,deploy customized metrics,-1966.47,1966.47,GBP,-966.18,966.18,0,C,N,INT,,N,11,7,INV-91083,10009,PO2204,,S20,1,15/01/2026,T
HOL,SUP0088,10021,1,INVOICE,02/08/2025,09/01/2025,30/01/2026,syndicate distributed paradigms,16175.57,16175.57,GBP,6059.14,6059.14,0,D,N,BACS,,N,7,8,INV-77166,,PO1430,,EX,1,21/02/2026,W
HOL,SUP0078,10022,1,INVOICE,27/01/2025,29/10/2024,01/01/2026,enhance front-end technologies,43254.05,43254.05,GBP,13349.86,13349.86,0,D,I,INT,,N,3,11,INV-28198,,PO5397,,S20,1,11/02/2026,T
HOC,SUP0068,10023,1,INVOICE,29/09/2025,29/01/2025,03/10/2025,scale ubiquitous partnerships,21344.57,21344.57,GBP,13638.37,13638.37,0,D,I,BACS,,N,8,2,INV-10887,,PO6443,CN489,Z0,1,07/01/2026,T
HOL,SUP0097,10024,1,CREDIT,22/08/2025,31/03/2025,12/01/2026,innovate bleeding-edge portals,-40866.04,40866.04,GBP,-36847.11,36847.11,0,C,R,BACS,,N,3,7,INV-48200,10023,PO9044,CN900,S20,1,22/01/2026,T
HOC,SUP0068,10025,1,INVOICE,05/04/2025,10/09/2024,11/09/2025,generate 24/365 e-commerce,40916.48,40916.48,GBP,23529.21,23529.21,0,D,I,BACS,,N,12,8,INV-37479,,PO5773,CN170,Z0,1,08/12/2025,T
HOL,SUP0039,10026,1,INVOICE,25/12/2024,24/07/2025,02/10/2025,embrace magnetic experiences,31850.13,31850.13,GBP,14950.92,14950.92,0,D,R,INT,,N,7,9,INV-64827,,PO6890,,EX,1,18/12/2025,
HOL,SUP0035,10027,1,INVOICE,11/01/2026,20/04/2025,12/09/2025,orchestrate real-time eyeballs,38563.23,38563.23,GBP,29320.44,29320.44,0,D,R,BACS,,N,7,2,,,PO9366,,EX,1,20/12/2025,W
HOL,SUP0059,10028,1,INVOICE,22/05/2025,17/11/2025,26/02/2026,optimize leading-edge communities,22566.04,22566.04,GBP,12948.26,12948.26,0,D,R,BACS,,N,5,7,INV-21253,,PO3321,,Z0,1,05/01/2026,T
HOC,EC_M010,10029,1,INVOICE,23/08/2025,30/12/2025,03/02/2026,generate extensible metrics,24404.84,24404.84,GBP,15455.92,15455.92,0,D,N,BACS,,N,11,2,INV-31542,,PO4996,,EX,1,12/02/2026,T
HOC,EC_M015,10030,1,INVOICE,30/10/2025,12/03/2025,23/11/2025,extend front-end systems,21605.28,21605.28,GBP,13469.55,13469.55,0,D,N,INT,,N,4,8,INV-60965,,,,Z0,1,04/12/2025,
HOL,EC_M017,10031,1,INVOICE,13/06/2025,06/12/2025,30/10/2025,embrace plug-and-play content,5536.73,5536.73,GBP,5040.56,5040.56,0,D,I,BACS,,N,10,7,INV-86939,,PO6766,CN732,S20,1,08/12/2025,T
HOC,EC_M019,10032,1,INVOICE,01/11/2025,26/07/2025,25/10/2025,scale wireless niches,4695.22,4695.22,GBP,1848.81,1848.81,0,D,R,CHAPS,,N,10,3,INV-65448,,PO9804,,EX,1,10/02/2026,W
HOL,SUP0044,10033,1,INVOICE,06/01/2026,16/11/2024,02/03/2026,deliver rich systems,24737.28,24737.28,GBP,9850.57,9850.57,0,D,R,BACS,,N,4,7,INV-76248,,PO7703,,Z0,1,04/12/2025,T
HOC,EC_M006,10034,1,INVOICE,17/01/2026,15/09/2025,21/12/2025,evolve revolutionary e-commerce,8779.05,8779.05,GBP,6108.27,6108.27,0,D,N,CHAPS,,N,10,12,INV-74921,,PO2854,,Z0,1,25/12/2025,T
HOC,EC_M013,10035,1,INVOICE,14/09/2024,30/06/2025,18/09/2025,extend world-class metrics,41219.24,41219.24,GBP,13566.38,13566.38,0,D,N,BACS,,N,1,8,INV-21401,,PO2923,,S20,1,06/02/2026,W
HOL,SUP0081,10036,1,INVOICE,28/12/2024,20/10/2025,17/02/2026,morph proactive infrastructures,43121.91,43121.91,GBP,31357.53,31357.53,0,D,I,BACS,,N,9,5,INV-32069,,PO5794,,Z0,1,29/12/2025,
HOL,SUP0039,10037,1,CREDIT,16/11/2024,04/03/2025,30/01/2026,enhance vertical methodologies,-48157.21,55380.79,EUR,-40932.85,40932.85,0,C,N,BACS,,N,4,11,INV-28634,10036,PO7786,,S20,1.2267,21/02/2026,T
HOC,EC_M009,10038,1,CREDIT,29/05/2025,19/08/2025,09/02/2026,transition real-time networks,-37615.22,37615.22,GBP,-29576.57,29576.57,0,C,R,BACS,,N,2,9,INV-66314,10013,PO6289,CN445,EX,1,21/12/2025,T
HOC,EC_M016,10039,1,CREDIT,10/01/2026,14/12/2025,07/11/2025,integrate virtual info-mediaries,-42694.92,42694.92,GBP,-36368.07,36368.07,0,C,N,BACS,,N,3,8,INV-66072,10012,PO3161,CN409,S20,1,28/01/2026,
HOL,SUP0085,10040,1,CREDIT,15/07/2025,19/03/2025,06/09/2025,mesh visionary niches,-12894.27,12894.27,GBP,-7224.54,7224.54,0,C,N,CHAPS,,N,11,2,INV-10142,10013,PO3174,,EX,1,07/12/2025,T
HOC,SUP0005,10041,1,INVOICE,12/02/2025,27/11/2025,05/01/2026,reinvent user-centric functionalities,899.1,1033.96,USD,485.97,485.97,0,D,N,BACS,,N,2,6,INV-49223,,PO3181,,EX,1.1286,27/12/2025,W
HOC,SUP0005,10042,1,INVOICE,15/01/2025,17/11/2025,28/09/2025,transition holistic infrastructures,30710.8,30710.8,GBP,12741.35,12741.35,0,D,R,BACS,,N,2,2,INV-26142,,PO7291,,Z0,1,23/01/2026,T
HOL,SUP0063,10043,1,INVOICE,28/03/2025,10/09/2025,09/09/2025,syndicate cross-media e-markets,14209.9,14209.9,GBP,5100.99,5100.99,0,D,N,BACS,,N,4,9,INV-34726,,PO5842,,S20,1,31/12/2025,T
HOC,SUP0036,10044,1,INVOICE,27/01/2026,15/09/2024,13/12/2025,facilitate world-class web services,12433.55,14298.58,EUR,9283.6,9283.6,0,D,R,INT,,N,7,6,INV-32645,,PO2195,,S20,1.1028,05/02/2026,
HOC,SUP0017,10045,1,INVOICE,06/01/2025,05/07/2025,22/11/2025,transform granular supply-chains,47459.66,47459.66,GBP,27459.33,27459.33,0,D,N,INT,,N,9,10,INV-20957,,PO9377,CN927,S20,1,26/12/2025,T
HOL,SUP0089,10046,1,INVOICE,28/08/2025,10/02/2025,02/01/2026,deploy rich technologies,29528.64,29528.64,GBP,24634.47,24634.47,0,D,N,BACS,,N,2,7,INV-90254,,PO6067,,EX,1,10/02/2026,
HOC,SUP0005,10047,1,INVOICE,11/05/2025,14/05/2025,28/12/2025,repurpose wireless schemas,35541.08,40872.24,EUR,28114.76,28114.76,0,D,P,BACS,,N,12,5,INV-25473,,PO1480,,Z0,1.1544,24/02/2026,T
HOL,EC_M017,10048,1,INVOICE,20/11/2024,18/04/2025,23/01/2026,integrate ubiquitous infrastructures,31562.88,31562.88,GBP,20430.76,20430.76,0,D,P,BACS,,N,10,11,INV-39937,,PO1042,,S20,1,01/02/2026,
HOC,EC_M004,10049,1,INVOICE,15/01/2026,25/04/2025,18/09/2025,harness dot-com vortals,18516.84,21294.37,USD,17482.83,17482.83,0,D,N,BACS,,N,4,7,INV-51934,,PO2276,,S20,1.2004,26/02/2026,T
HOL,SUP0059,10050,1,CREDIT,09/06/2025,16/11/2024,15/12/2025,embrace wireless mindshare,-40314.73,40314.73,GBP,-39790.22,39790.22,0,C,P,BACS,,N,9,8,,10012,PO5979,,S20,1,04/01/2026,T
HOC,EC_M019,10051,1,INVOICE,29/04/2025,09/01/2025,25/01/2026,transition clicks-and-mortar web services,48606.96,48606.96,GBP,48531.67,48531.67,0,D,N,CHAPS,,N,1,4,INV-93354,,PO1157,CN101,EX,1,15/01/2026,T
HOL,SUP0035,10052,1,INVOICE,23/09/2024,10/09/2024,23/12/2025,cultivate plug-and-play e-markets,10657.12,12255.69,EUR,10531.16,10531.16,0,D,N,BACS,,N,9,7,INV-58823,,PO2391,,EX,1.1267,13/01/2026,
HOC,EC_M019,10053,1,CREDIT,22/09/2025,24/11/2024,24/11/2025,streamline dynamic deliverables,-28607.13,28607.13,GBP,-17292.67,17292.67,0,C,P,BACS,,N,8,5,INV-36569,10008,PO2785,,S20,1,06/01/2026,T
HOL,SUP0076,10054,1,CREDIT,29/08/2025,10/06/2025,02/02/2026,disintermediate rich functionalities,-20622.37,20622.37,GBP,-13923.14,13923.14,0,C,N,BACS,,N,11,5,INV-89076,10002,PO6370,,EX,1,01/02/2026,T
HOL,SUP0089,10055,1,INVOICE,18/01/2026,03/10/2024,09/11/2025,grow scalable e-tailers,25916.25,29803.69,EUR,20059.91,20059.91,0,D,N,CHAPS,,N,2,3,INV-18083,,PO4641,,Z0,1.1744,14/12/2025,
HOC,EC_M018,10056,1,INVOICE,24/10/2025,28/10/2024,31/01/2026,empower end-to-end technologies,29512.88,33939.81,EUR,27807.04,27807.04,0,D,P,BACS,,N,1,8,INV-85220,,PO7471,,Z0,1.2366,10/02/2026,T
HOL,SUP0058,10057,1,INVOICE,25/03/2025,22/03/2025,20/09/2025,grow holistic initiatives,45461.06,45461.06,GBP,22388.99,22388.99,0,D,P,CHAPS,,N,7,9,INV-21497,,PO3248,,EX,1,27/12/2025,T
HOC,EC_M013,10058,1,INVOICE,30/04/2025,29/12/2024,11/10/2025,utilize web-enabled communities,39844.89,39844.89,GBP,39549.34,39549.34,0,D,I,BACS,,N,7,5,INV-51795,,PO1480,CN897,Z0,1,25/02/2026,T
HOC,EC_M011,10059,1,INVOICE,29/09/2025,03/03/2025,19/10/2025,monetize value-added schemas,18192.93,18192.93,GBP,12895.01,12895.01,0,D,N,BACS,,N,10,7,INV-32768,,PO6210,CN814,Z0,1,19/12/2025,
HOC,SUP0084,10060,1,INVOICE,15/09/2024,15/12/2024,29/10/2025,deploy e-business e-services,47404.16,47404.16,GBP,32923.35,32923.35,0,D,I,BACS,,N,3,8,,,,,S20,1,27/12/2025,T
HOL,SUP0001,10061,1,INVOICE,04/11/2025,20/10/2024,12/12/2025,e-enable one-to-one bandwidth,16920.83,16920.83,GBP,12350.42,12350.42,0,D,N,BACS,,N,3,10,INV-28566,,PO9622,CN174,Z0,1,04/12/2025,T
